"复核层级","复核结论","优先级","查询ID","类别","缺口数","已深挖候选数","已分流信号数","剩余数","处理状态","深挖结论","信号分流结论","下一步动作","原因","深挖候选","已分流信号","示例"
"signal-candidate","信号复核","medium","ai_native_social_networks","news","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Series hits 1m iMessage posts as users shun public feeds: https://telconews.ca/story/series-hits-1m-imessage-posts-as-users-shun-public-feeds"
"signal-candidate","信号复核","medium","ai_social_handles","official/social profile","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Discord (@discord) Official  | TikTok: https://www.tiktok.com/@discord"
"signal-candidate","信号复核","medium","ai_social_official_gap_profiles","official/social profile","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","‎status - sims but social media App - App Store: https://apps.apple.com/us/app/status-sim-but-social-media/id6596771144"
"signal-candidate","信号复核","medium","companion_long_tail","company","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Jaimee: https://jaimee.ai/"
"signal-candidate","信号复核","medium","founder_people_background","people","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Taha Hossain: https://linkedin.com/in/tahahossain"
"signal-candidate","信号复核","medium","irl_social_funding_expansion","news","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Smartphones are making people lonely. This app thinks it has the cure - Fast Company: https://www.fastcompany.com/91265745/smartphones-are-making-people-lonely-this-app-thinks-it-has-the-cure"
"signal-candidate","信号复核","medium","irl_social_handles","official/social profile","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Pie: https://uk.linkedin.com/company/pie-app"
"signal-candidate","信号复核","medium","offline_social_company_boundary","company","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Offlyn: https://offlyn.life/"
"signal-candidate","信号复核","medium","offline_social_founders_people","people","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Emini Offutt: https://linkedin.com/in/eminioffutt"
"signal-candidate","信号复核","medium","slowly_growth","company","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Langly Inc.: https://langly.ai/"
"signal-candidate","信号复核","medium","talk4now_growth","company","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Inspired AI: https://talkme.ai/"
"background-source","背景留档","low","ai_social_revenue_download_reports","financial report","8","0","0","8","queued","","","保留为市场、研究、财报或方法论背景，不作为独立产品计数。","更像研究、榜单、市场规模或方法论来源，用于背景判断，不直接升级为产品。","","","Tm2610721d1 ex99 1.htm: https://www.sec.gov/Archives/edgar/data/1814423/000110465926037392/tm2610721d1_ex99-1.htm | Dp246528 ex9901.htm: https://www.sec.gov/Archives/edgar/data/1744676/000095010326007081/dp246528_ex9901.htm | EX-99.1: https://www.sec.gov/Archives/edgar/data/1794350/000119312526229574/yala-ex99_1.htm"
"background-source","背景留档","low","app_market_reports","financial report","8","0","0","8","queued","","","保留为市场、研究、财报或方法论背景，不作为独立产品计数。","更像研究、榜单、市场规模或方法论来源，用于背景判断，不直接升级为产品。","","","life360incq424investorpr: https://www.sec.gov/Archives/edgar/data/1581760/000158176025000009/life360incq424investorpr.htm | a360q324resultspresentat: https://www.sec.gov/Archives/edgar/data/1581760/000158176024000105/a360q324resultspresentat.htm | EX-99.2: https://www.sec.gov/Archives/edgar/data/1828016/000119312524221408/d865610dex992.htm"
"background-source","背景留档","low","offline_loneliness_research","research paper","7","0","0","7","queued","","","保留为市场、研究、财报或方法论背景，不作为独立产品计数。","更像研究、榜单、市场规模或方法论来源，用于背景判断，不直接升级为产品。","","","The effect of peer support networks in alleviating anxiety and enhancing perceived social support: https://www.medrxiv.org/content/10.64898/2026.03.22.26349028v1.full.pdf | Where Is Social Connection Most Needed in Daily Life? - PMC: https://pmc.ncbi.nlm.nih.gov/articles/PMC12442750/ | Is a random human peer better than a highly supportive chatbot in reducing loneliness over time? - ScienceDirect: https://www.sciencedirect.com/science/article/pii/S0022103126000417?dgcid=rss_sd_all"
"background-source","背景留档","low","consumer_ai_app_rankings","financial report","5","0","0","5","queued","","","保留为市场、研究、财报或方法论背景，不作为独立产品计数。","更像研究、榜单、市场规模或方法论来源，用于背景判断，不直接升级为产品。","","","a11102025ex992investorpr: https://www.sec.gov/Archives/edgar/data/1581760/000158176025000225/a11102025ex992investorpr.htm | pltkq12026earningspresen: https://www.sec.gov/Archives/edgar/data/1828016/000182801626000036/pltkq12026earningspresen.htm | a360q224resultspresentat: https://www.sec.gov/Archives/edgar/data/1581760/000158176024000082/a360q224resultspresentat.htm"
"low-relevance","低相关留档","archive","founder_people_background","people","5","0","0","5","queued","","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","","","Brian Kelley: https://linkedin.com/in/brianckelley | Tanmay Ratnaparkhe: https://linkedin.com/in/tanmay-ratnaparkhe-74395420 | Harold Martin: https://linkedin.com/in/harold-martin-98526971"
"low-relevance","低相关留档","archive","conversation_exchange_growth","company","4","2","0","2","queued","候选补证","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","Time2Talk: 候选补证 (unclassified candidate) | Languages Live Gesellschaft Lokalisierung mbH: 候选补证 (unclassified candidate)","","Languages Live Gesellschaft Lokalisierung mbH: https://mylanguageexchange.com/ | Time2Talk: https://time2talk.app/ | Swap Language: https://swaplanguage.com/"
"low-relevance","官方搜索溢出留档","archive","language_official_social_matchalingua","official/social profile","4","0","0","4","queued","","","低相关留档，仅在后续 monitor 反复出现时重新复核。","来自语言官方/社媒 targeted 查询，但未稳定匹配到主表产品；多为官网子页、多语言页、相邻应用或搜索溢出，保留审计但不进入 monitor 观察缺口。","","","Treine seu Inglês com MatchLingue | Home: https://www.matchlingue.com/ | Link Ling - Apps on Google Play: https://play.google.com/store/apps/details?id=com.mycompany.Corner&hl=en_US | Lingua Talk - Apps on Google Play: https://play.google.com/store/apps/details?hl=en&id=com.parsa.lingua_talk"
"low-relevance","低相关留档","archive","matchalingua_growth","company","4","1","0","3","queued","候选补证","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","Languages Live Gesellschaft Lokalisierung mbH: 候选补证 (unclassified candidate)","","Languages Live Gesellschaft Lokalisierung mbH: https://mylanguageexchange.com/ | Elite Lingo App: https://elitelingo.app/ | ZINGR: https://zingr.app/"
"low-relevance","低相关留档","archive","sewayou_growth","company","4","0","0","4","queued","","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","","","ZINGR: https://zingr.app/ | SeeMe: https://seeme-app.com/ | AloYou App: https://aloyou.app/"
"low-relevance","低相关留档","archive","speakyparrot_growth","company","3","1","0","2","queued","候选补证","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","Time2Talk: 候选补证 (unclassified candidate)","","Speaking Partner Official Page: https://speakingpartner.id/ | BeeSpeaker: https://beespeaker.com/ | Time2Talk: https://time2talk.app/"
"low-relevance","低相关留档","archive","talk4now_growth","company","3","1","0","2","queued","候选补证","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","Time2Talk: 候选补证 (unclassified candidate)","","Time2Talk: https://time2talk.app/ | Talky: https://talky-app.com/ | TalkAbroad: https://talkabroad.com/"
"low-relevance","低相关留档","archive","fluently_growth","company","2","0","0","2","queued","","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","","","How do you do?: https://howdoyou.do/ | Fluentworlds: https://fluentworlds.com/"
"low-relevance","低相关留档","archive","langpal_growth","company","2","0","0","2","queued","","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","","","Chatterbox: Language Learning: https://chatterboxlabs.io/ | SpeakingPal: https://speakingpal.com/"
"low-relevance","官方搜索溢出留档","archive","language_official_social_conversation-exchange","official/social profile","2","0","0","2","queued","","","低相关留档，仅在后续 monitor 反复出现时重新复核。","来自语言官方/社媒 targeted 查询，但未稳定匹配到主表产品；多为官网子页、多语言页、相邻应用或搜索溢出，保留审计但不进入 monitor 观察缺口。","","","Intercambio de Idiomas - Practica idiomas con hablantes nativos: https://www.conversationexchange.com/?lg=es | Register: First step: https://www.conversationexchange.com/members/signupFirstStage.php?lg=en"
"low-relevance","低相关留档","archive","lingbe_growth","company","2","0","0","2","queued","","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","","","Elite Lingo App: https://elitelingo.app/ | Lingopanda (previously PingoLearn): https://lingopanda.app/"
"low-relevance","低相关留档","archive","meetalk_growth","company","2","1","0","1","queued","候选补证","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","Time2Talk: 候选补证 (unclassified candidate)","","Meet2Talk: https://meet2talk.online/ | Time2Talk: https://time2talk.app/"
"low-relevance","低相关留档","archive","slowly_growth","company","2","0","0","2","queued","","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","","","PenPal: https://penpal.me/ | FunEasyLearn: https://funeasylearn.com/"
"low-relevance","低相关留档","archive","language_exchange_companies","company","1","0","0","1","queued","","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","","","Inatlantis: https://inatlantis.com/"
"low-relevance","低相关留档","archive","roamchat_growth","news","1","0","0","1","queued","","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","","","リアルタイム翻訳アプリ「Chotto Chat 」をiOS/Androidにてリリース - イザ！: https://www.iza.ne.jp/pressrelease/prtimes/X5ELPHV7UNPARKTDJS5X4K5D2E/"
