"去重键","来源","日期","日期精度","近两年窗口内","产品/公司","金额/事件","金额类型","明确美元融资M","原赛道","归一赛道","IRL/线下真人相关","来源类型","重复组大小","计入唯一事件","结论","证据"
"polybuzz-2026.02","core timeline","2026.02","month","yes","PolyBuzz","约 4200 万月访问量","business/news metric","","China AI companion export","China AI companion export","no","media/news","1","yes","计入主时间线结论","https://news.qq.com/rain/a/20260204A05BK500"
"thursday-2024.08","core timeline","2024.08","month","yes","Thursday","San Francisco launch / offline dating events","business/news metric","","IRL dating boundary","IRL / offline human social","yes","media/news","1","yes","计入主时间线结论","https://techcrunch.com/2024/08/08/thursday-dating-app-san-francisco-launch/"
"bumble-bee","core timeline","2026.03","month","yes","Bumble Bee","AI dating assistant launch","business/news metric","","AI dating feature","AI dating features","yes","media/news","2","yes","计入主时间线结论","https://techcrunch.com/2026/03/12/bumble-introduces-an-ai-dating-assistant-bee/"
"tinder","core timeline","2026.05","month","yes","Tinder Live Events","live events + AI features + group dating","business/news metric","","IRL dating feature","IRL / offline human social","yes","media/news","2","yes","计入主时间线结论","https://www.bloomberg.com/news/features/2026-05-20/tinder-launches-live-events-ai-features-and-group-dating-to-attract-gen-z"
"friend-2024.07","supplemental discovery","2024.07","month","yes","Friend","$5.4M / $99 AI companion necklace","explicit USD funding","5.4","AI friend / wearable companion","AI companion","no","media/news","1","yes","计入唯一候选事件","https://techcrunch.com/2024/07/30/friend-is-an-ai-companion-backed-by-founders-of-solana-perplexity-and-zfellows/"
"friend-2024.12","supplemental discovery","2024.12","month","yes","Friend","$5.4M additional raise / real-world AI friend","explicit USD funding","5.4","AI friend / wearable companion","AI companion","yes","media/news","1","yes","计入唯一候选事件","https://www.theverge.com/2024/12/9/24315126/friend-pendant-artificial-intelligence-companionship-avi-schiffmann"
"limitless-2025.12","supplemental discovery","2025.12","month","yes","Limitless","Meta acquisition","M&A","","AI wearable memory assistant","Other","no","media/news","1","yes","计入唯一候选事件","https://techcrunch.com/2025/12/05/meta-acquires-ai-device-startup-limitless/"
"oasiz-2025.10","supplemental discovery","2025.10","month","yes","Oasiz","$2.5M seed","explicit USD funding","2.5","AI-native social / playable content","AI social / entertainment","no","web source","1","yes","计入唯一候选事件","https://www.gamespress.com/Oasiz-Raises-25M-Seed-Round-to-Launch-Social-Platform-for-Viral-Playab"
"imessage social network-2026.04","supplemental discovery","2026.04","month","yes","AI iMessage social network","$5.1M pre-seed","explicit USD funding","5.1","AI-native social network","AI social / entertainment","no","media/news","1","yes","计入唯一候选事件","https://techcrunch.com/2026/04/24/two-college-kids-raise-a-5-1-million-pre-seed-to-build-an-ai-social-network-in-imessage/"
"tinder","supplemental discovery","2026.03","month","yes","Tinder Live Events","IRL events / virtual speed dating","business/news metric","","IRL dating feature","IRL / offline human social","yes","web source","2","no","重复行，仅留作来源佐证","https://www.startupheist.com/the-anti-tinder-arbitrage/"
"bumble-bee","supplemental discovery","2026.03","month","yes","Bumble Bee","AI dating assistant","business/news metric","","AI dating feature","AI dating features","yes","web source","2","no","重复行，仅留作来源佐证","https://thenextweb.com/news/bumble-bee-ai-assistant-dating-swipe"
"breeze","supplemental discovery","2025.03","month","yes","Breeze","IRL dating US launch","business/news metric","","IRL dating boundary","IRL / offline human social","yes","press release","2","no","重复行，仅留作来源佐证","https://www.businesswire.com/news/home/20250325708326/en/Taking-Online-Dates-Offline-Dating-App-Breeze-Launches-in-the-U.S.-Starting-with-NYC"
"posh-2026.03","supplemental discovery","2026.03","month","yes","Posh","$37M Series B","explicit USD funding","37","IRL events / social planning","IRL / offline human social","yes","web source","1","yes","计入唯一候选事件","https://qoshe.com/fortune/lily-mae-lazarus/exclusive-posh-lands-37m-series-b-to-crack-the-what-are-we-doing-tonight-problem/188187957"
"ditto-2026.02","supplemental discovery","2026.02","month","yes","Ditto","$9.2M / real-date college dating","explicit USD funding","9.2","IRL dating / anti-swipe","IRL / offline human social","yes","media/news","1","yes","计入唯一候选事件","https://markets.businessinsider.com/news/stocks/ditto-raises-9-2m-to-replace-swiping-with-real-dates-for-college-students-1035778345"
"known-2026.05","supplemental discovery","2026.05","month","yes","Known","nearly $10M / AI voice dating app","explicit USD funding","10","AI dating / real dates","AI dating features","yes","web source","1","yes","计入唯一候选事件","https://www.nbcbayarea.com/news/local/stanford-known-dating-app-ai/4091043/"
"companion market-2025.08","supplemental discovery","2025.08","month","yes","AI companion apps market","$120M projected 2025 consumer spend","business/news metric","","AI companion market metric","AI companion","no","web source","1","yes","计入唯一候选事件","https://finance.yahoo.com/news/ai-companion-apps-track-pull-173842786.html"
"astrocade-2026.05","supplemental discovery","2026.05","month","yes","Astrocade","$56M new funding","explicit USD funding","56","AI social / interactive entertainment","AI social / entertainment","no","media/news","1","yes","计入唯一候选事件","https://techcrunch.com/2026/05/19/gamified-social-media-network-status-announces-17m-funding-to-help-usher-in-new-era-of-social-networking/"
