"监控主题","优先级","状态","标题","发布日期","URL","摘要"
"Coverage signal watchlist","medium","known","Investing in Town | Andreessen Horowitz","2026-06-03T14:25:41.000Z","https://a16z.com/announcement/investing-in-town/","and Justine Moore Posted June 3, 2026 [...] Town is a personal AI assistant that works across the tools you already use – email, calendar, Slack, docs, WhatsApp, desktop, web. It learns how you work and starts proactively pitching in. Not because you configured it just right, but because it actually understands you and how you work. [...] Today we’re excited to lead Town’s $55 million Series A, with Forerunner Ventur"
"Coverage signal watchlist","medium","known","Andreessen Horowitz and Forerunner are betting $55 million on Town's deeply personal AI assistants | Fortune","2026-06-03T11:49:43.000Z","https://fortune.com/2026/06/03/towns-ai-assistants-andreessen-horowitz-forerunner-55-million/","Andreessen Horowitz and Forerunner are betting $55 million on Town's deeply personal AI assistants | Fortune [...] # Town’s AI assistants learn your life—Andreessen Horowitz and Forerunner just backed the vision with $55 million [...] Town builds AI assistants with distinct avatars and personalities meant to give users their time back.Courtesy of Town [...] Jean-Denis Gréze’s AI assistant is a silver fox who wears a "
"Residual IRL watchlist","medium","known","Partiful Launches Ticketing, Bringing Paid Events Into the Social Platform Where People Already Make Plans","2026-06-03T00:59:00.000Z","https://www.prnewswire.com/news-releases/partiful-launches-ticketing-bringing-paid-events-into-the-social-platform-where-people-already-make-plans-302789410.html","Hosts can now sell tickets directly through Partiful for everything from supper clubs to indie shows, workshops, and live events. [...] NEW YORK, June 2, 2026 /PRNewswire/ -- Partiful, a social event platform, today launched Ticketing, a feature enabling hosts to sell tickets directly within events on iOS, Android, and web. [...] Ticketing marks Partiful's first major monetization product since the company launched i"
"Residual IRL watchlist","medium","known","Partiful is turning party invites into a payments business - Startup Fortune","2026-06-02T17:39:57.000Z","https://startupfortune.com/partiful-is-turning-party-invites-into-a-payments-business/","# Partiful is turning party invites into a payments business [...] Partiful has launched built-in ticketing in the U.S., letting hosts sell paid event tickets directly inside the app. The move turns a viral invite tool into a payments business and puts it closer to Eventbrite at the casual end of paid events. [...] Partiful is moving beyond free invitations and into paid tickets, a small product change that could res"
"投放 / 付费获客证据","medium","known","Meta’s New Video-First Shopping Ads Are Doubling DTC Conversion Rates – Ecommerce Times","2026-06-02T06:01:57.000Z","https://ecommerce-times.com/metas-new-video-first-shopping-ads-are-doubling-dtc-conversion-rates/","Meta’s latest advertising evolution is reshaping how direct-to-consumer brands approach social commerce, with new video-first shopping ad formats driving conversion rates up to 127% higher than traditional image-based campaigns, according to internal data shared with select advertising partners. [...] The social media giant quietly rolled out its enhanced Video Shopping Ads to a limited group of advertisers in May, m"
"Coverage signal watchlist","medium","known","Aippy Raises Tens of Millions of Dollars at a $250 Million Valuation to Build the Future of AI-Native Interactive Entertainment","2026-06-02T03:31:00.000Z","https://www.prnewswire.com/apac/news-releases/aippy-raises-tens-of-millions-of-dollars-at-a-250-million-valuation-to-build-the-future-of-ai-native-interactive-entertainment-302787864.html","SINGAPORE, June 2, 2026 /PRNewswire/ -- Aippy, the world's first AI-native game community developed by NADA AI, today announced that it has raised tens of millions of dollars in its first funding round led by Glowill Capital, bringing its post-money valuation to US$250 million. The proceeds will be used to attract top global talent and support user growth as Aippy continues to expand its creator ecosystem. [...] ""Loo"
"投放 / 付费获客证据","medium","known","Doubao Accelerates Monetization: Paid Subscriptions Launch Late June, Douyin E-Commerce Becomes Key Revenue Channel — BigGo Finance","2026-06-02T01:05:43.000Z","https://finance.biggo.com/news/i9HdhZ4BLfE1EzqPdSqH","# Doubao Accelerates Monetization: Paid Subscriptions Launch Late June, Douyin E-Commerce Becomes Key Revenue Channel [...] ByteDance's AI conversational product Doubao plans to officially launch paid subscriptions in late June and will integrate with Douyin e-commerce in the third quarter, creating a closed-loop AI shopping experience. The move comes amid mounting pressure from ByteDance's escalating AI investments,"
"投放 / 付费获客证据","medium","known","Meta Advantage+ Shopping Costs Surge 31% as DTC Brands Rethink Paid Social Mix – Online Store News","2026-06-02T00:44:24.000Z","https://onlinestorenews.com/meta-advantage-shopping-costs-surge-31-as-dtc-brands-rethink-paid-social-mix/","The digital marketing news cycle this week is dominated by a single uncomfortable number: a 31% year-over-year increase in average CPMs for Meta Advantage+ Shopping campaigns, according to aggregated spend data from four independent performance agencies covering more than 2,400 DTC accounts. For store operators who built their customer acquisition engine almost entirely on Meta’s automated ad product over the past 18"
"投放 / 付费获客证据","medium","known","Meta’s Advantage+ Creative Is Rewriting DTC Ad Economics in 2026 – Ecommerce Times","2026-05-31T00:06:57.000Z","https://ecommerce-times.com/metas-advantage-creative-is-rewriting-dtc-ad-economics-in-2026/","For the past six months, a quiet restructuring has been underway inside the Meta ad accounts of mid-market DTC brands. Advantage+ Creative — Meta’s automated creative optimization layer — has moved from a cautious experiment to a core campaign architecture for brands spending $50K to $2M per month on the platform. The results, according to agency operators and brand-side media buyers, are real but uneven, and the ope"
"Residual IRL watchlist","medium","known","AppLovin Launches Its Own TikTok Rival","2026-05-28T21:29:13.000Z","https://wersm.com/applovin-launches-its-own-tiktok-rival/","After unsuccessfully trying to buy TikTok last year, adtech giant AppLovin is taking a different route: building its own social platform. [...] The company has quietly launched a new app called **Gist**, an invite-only social feed that feels like a mix between TikTok, Lemon8, Pinterest, and RedNote. Users can browse videos, photo carousels, mini-games, lifestyle content, travel recommendations, career advice, and eve"
"投放 / 付费获客证据","medium","known","OpenAI turns on cost-per-action ads inside ChatGPT","2026-05-28T14:40:31.000Z","https://digiday.com/marketing/openai-turns-on-cost-per-action-ads-inside-chatgpt/","OpenAI has switched on cost-per-action ads inside its ads manager, Digiday has learned. [...] The feature, which is currently available to select advertisers only, lets them pay for ads in ChatGPT only when a user takes a specific action, whether that’s clicking through to a site, signing up or making a purchase. Until now, advertisers have had to pay for every thousand impressions or click regardless of what happens"
"投放 / 付费获客证据","medium","known","Pinterest’s New AI-Powered Shopping Ads Are Forcing DTC Brands to Rethink Their Upper-Funnel Spend – Online Store News","2026-05-28T02:44:28.000Z","https://onlinestorenews.com/pinterests-new-ai-powered-shopping-ads-are-forcing-dtc-brands-to-rethink-their-upper-funnel-spend/","For most of the last five years, Pinterest has occupied an awkward spot in the DTC media mix — respected for its purchase-intent signals but perpetually overshadowed by Meta’s scale and TikTok’s cultural pull. That dynamic is shifting fast. Pinterest’s Performance+ suite, which rolled out broadly to Shopify and WooCommerce merchants in late April 2026, is generating enough early return-on-ad-spend data to push seriou"
