"复核层级","复核结论","优先级","查询ID","类别","缺口数","已深挖候选数","已分流信号数","剩余数","处理状态","深挖结论","信号分流结论","下一步动作","原因","深挖候选","已分流信号","示例"
"signal-candidate","信号复核","medium","ai_dating_funding_expansion","news","3","1","0","2","queued","信号复核","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","SoMe AI: 信号复核 (AI-native social candidate)","","Sitch's new dating app fuses human matchmaking and AI | TechCrunch: https://techcrunch.com/2025/06/25/sitch-wants-to-fuse-human-personality-and-ai-for-matchmaking/ | Sitch Bets on Intentional Dating with AI-Powered Matchmaker Model - Global Dating Insights: https://www.globaldatinginsights.com/featured/sitch-bets-on-intentional-dating-with-ai-powered-matchmaker-model/ | Single 20-somethings need AI to make first move on dating apps, says Hinge boss: https://www.bbc.com/news/articles/c052397y6ygo"
"signal-candidate","信号复核","medium","companion_long_tail","company","3","0","0","3","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Jaimee: https://jaimee.ai/ | nunu.ai: https://nunu.ai/ | Candy AI Clone: https://nsfwcoders.com/"
"signal-candidate","信号复核","medium","irl_social_handles","official/social profile","3","0","0","3","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Pie: https://uk.linkedin.com/company/pie-app | Instagram - YouTube: https://www.youtube.com/@Instagram | Social Media: Definition, Importance, Top Websites, and Apps: https://www.investopedia.com/terms/s/social-media.asp"
"signal-candidate","信号复核","medium","langpal_growth","company","3","1","0","2","queued","候选补证","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","Plang, Inc.: 候选补证 (unclassified candidate)","","Talkpal: https://talkpal.ai/ | EZ Speak: https://ezspeak.ai/ | Plang, Inc.: https://plang.ai/"
"signal-candidate","信号复核","medium","sewayou_growth","company","3","1","0","2","queued","候选补证","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","Plang, Inc.: 候选补证 (unclassified candidate)","","youe: https://play.google.com/store/apps/details | needyou AI: https://needyou.app/ | Plang, Inc.: https://plang.ai/"
"signal-candidate","信号复核","medium","ai_companion_roleplay_funding_news","news","2","0","0","2","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Andreessen Horowitz and Forerunner are betting $55 million on Town's deeply personal AI assistants | Fortune: https://fortune.com/2026/06/03/towns-ai-assistants-andreessen-horowitz-forerunner-55-million/ | Aippy Raises Tens of Millions of Dollars at a $250 Million Valuation to Build the Future of AI-Native Interactive Entertainment: https://www.prnewswire.com/apac/news-releases/aippy-raises-tens-of-millions-of-dollars-at-a-250-million-valuation-to-build-the-future-of-ai-native-interactive-entertainment-302787864.html"
"signal-candidate","信号复核","medium","ai_social_handles","official/social profile","2","0","0","2","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Discord (@discord) Official  | TikTok: https://www.tiktok.com/@discord | OpenAI (@openai) | TikTok: https://www.tiktok.com/@openai"
"signal-candidate","信号复核","medium","ai_dating_discovery","news","1","1","0","0","queued","信号复核","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","SoMe AI: 信号复核 (AI-native social candidate)","","Single 20-somethings need AI to make first move on dating apps, says Hinge boss - BBC News: https://www.bbc.co.uk/news/articles/c052397y6ygo"
"signal-candidate","信号复核","medium","ai_friend_wearables","news","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Amazon has big hopes for wearable AI - starting with this US$50 gadget - The Business Times: https://www.businesstimes.com.sg/companies-markets/telcos-media-tech/amazon-has-big-hopes-wearable-ai-starting-us50-gadget"
"signal-candidate","信号复核","medium","ai_social_entertainment_news","news","1","0","1","0","signal review complete","","已覆盖/重复佐证","已有 1 条信号进入 funding candidate review、market decision 或 funding event audit；结论为 已覆盖/重复佐证。剩余 0 条继续由 monitor 观察。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","Series: 已覆盖/重复佐证 (AI social / entertainment)","Sekai raises $20 million as people create 15 million AI mini apps: https://www.axios.com/2026/06/01/sekai-mini-app-startup-funding"
"signal-candidate","信号复核","medium","ai_social_games_funding","news","1","0","1","0","signal review complete","","已覆盖/重复佐证","已有 1 条信号进入 funding candidate review、market decision 或 funding event audit；结论为 已覆盖/重复佐证。剩余 0 条继续由 monitor 观察。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","Series: 已覆盖/重复佐证 (AI social / entertainment)","Sekai raises $20 million as people create 15 million AI mini apps: https://www.axios.com/2026/06/01/sekai-mini-app-startup-funding"
"signal-candidate","信号复核","medium","ai_social_official_gap_profiles","official/social profile","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","‎status - sims but social media App - App Store: https://apps.apple.com/us/app/status-sim-but-social-media/id6596771144"
"signal-candidate","信号复核","medium","founder_people_background","people","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Taha Hossain: https://linkedin.com/in/tahahossain"
"signal-candidate","信号复核","medium","irl_social_funding_expansion","news","1","0","1","0","signal review complete","","已覆盖/重复佐证","已有 1 条信号进入 funding candidate review、market decision 或 funding event audit；结论为 已覆盖/重复佐证。剩余 0 条继续由 monitor 观察。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","Series: 已覆盖/重复佐证 (IRL / offline social)","Series’ $5.1M Pre-Seed Validates AI-First Social Networks Inside Legacy Messaging – Crunch Insight: https://crunchinsight.com/digest/series-5-1m-pre-seed-validates-ai-first-social-networks-inside-legacy-messaging/"
"signal-candidate","信号复核","medium","irl_social_long_tail","company","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","4rl: https://4rlapp.com/"
"signal-candidate","信号复核","medium","language_exchange_companies","company","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Govar – AI English speaking club: https://govar.online/"
"signal-candidate","信号复核","medium","language_social_profiles_more","official/social profile","1","1","0","0","queued","候选补证","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","Languages Live Gesellschaft Lokalisierung mbH: 候选补证 (unclassified candidate)","","Language Exchange App - Practice and Learn Foreign Languages!: https://www.mylanguageexchange.com/"
"signal-candidate","信号复核","medium","lingbe_growth","company","1","1","0","0","queued","候选补证","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","Plang, Inc.: 候选补证 (unclassified candidate)","","Plang, Inc.: https://plang.ai/"
"signal-candidate","信号复核","medium","offline_social_company_boundary","company","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Offlyn: https://offlyn.life/"
"signal-candidate","信号复核","medium","offline_social_discovery_companies","company","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Talesbrew: https://talesbrew.com/"
"signal-candidate","信号复核","medium","roamchat_growth","news","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","SconAI Inc. to Unveil AI Simultaneous Interpretation Service ‘SconChat’ at VIVATECH 2026… “Tearing Down Language Barriers” |: https://kr.aving.net/news/articleViewAmp.html?idxno=1811480"
"signal-candidate","信号复核","medium","slowly_growth","company","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Langly Inc.: https://langly.ai/"
"signal-candidate","信号复核","medium","talk4now_growth","company","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Inspired AI: https://talkme.ai/"
"background-source","背景留档","low","ai_social_revenue_download_reports","financial report","6","0","0","6","queued","","","保留为市场、研究、财报或方法论背景，不作为独立产品计数。","更像研究、榜单、市场规模或方法论来源，用于背景判断，不直接升级为产品。","","","Tm2610721d1 ex99 1.htm: https://www.sec.gov/Archives/edgar/data/1814423/000110465926037392/tm2610721d1_ex99-1.htm | Document: https://www.sec.gov/Archives/edgar/data/1828016/000182801626000036/a2026q1ex991-earningsrelea.htm | EX-99.1: https://www.sec.gov/Archives/edgar/data/1803901/000119312526058146/talk-ex99_1.htm"
"background-source","背景留档","low","app_market_reports","financial report","6","0","0","6","queued","","","保留为市场、研究、财报或方法论背景，不作为独立产品计数。","更像研究、榜单、市场规模或方法论来源，用于背景判断，不直接升级为产品。","","","Document: https://www.sec.gov/Archives/edgar/data/317788/000162828025031557/form8-kxexhibit991q4fy2025.htm | Document: https://www.sec.gov/Archives/edgar/data/317788/000162828026038067/form8-kxexhibit991q4fy2026.htm | Tm2610721d1 ex99 1.htm: https://www.sec.gov/Archives/edgar/data/1814423/000110465926037392/tm2610721d1_ex99-1.htm"
"background-source","背景留档","low","consumer_ai_app_rankings","financial report","6","0","0","6","queued","","","保留为市场、研究、财报或方法论背景，不作为独立产品计数。","更像研究、榜单、市场规模或方法论来源，用于背景判断，不直接升级为产品。","","","Document: https://www.sec.gov/Archives/edgar/data/1836981/000183698126000016/earningsrelease-4q25.htm | Document: https://www.sec.gov/Archives/edgar/data/1326801/000162828026028364/meta-03312026xexhibit991.htm | pltkq12026earningspresen: https://www.sec.gov/Archives/edgar/data/1828016/000182801626000036/pltkq12026earningspresen.htm"
"background-source","背景留档","low","consumer_ai_financial_reports","financial report","5","0","0","5","queued","","","保留为市场、研究、财报或方法论背景，不作为独立产品计数。","更像研究、榜单、市场规模或方法论来源，用于背景判断，不直接升级为产品。","","","EX-99.1: https://www.sec.gov/Archives/edgar/data/1803901/000119312526058146/talk-ex99_1.htm | EX-99.1: https://www.sec.gov/Archives/edgar/data/1610601/000119312526112578/d115842dex991.htm | Ex99 1.htm: https://www.sec.gov/Archives/edgar/data/2058584/000149315226006949/ex99-1.htm"
"background-source","背景留档","low","offline_loneliness_research","research paper","3","0","0","3","queued","","","保留为市场、研究、财报或方法论背景，不作为独立产品计数。","更像研究、榜单、市场规模或方法论来源，用于背景判断，不直接升级为产品。","","","Hyper-Connectivity and Loneliness: A Thematic Analysis of Digital Relationships in the Modern World | Contemporary Family Therapy | Springer Nature Link: https://link.springer.com/article/10.1007/s10591-026-09779-x | Exploring Trade-Offs for Online Mental Health Matching: Agent-Based Modeling Study: https://pmc.ncbi.nlm.nih.gov/articles/PMC11480686/ | Is a random human peer better than a highly supportive chatbot in reducing loneliness over time? - ScienceDirect: https://www.sciencedirect.com/science/article/pii/S0022103126000417?dgcid=rss_sd_all"
"low-relevance","低相关留档","archive","founder_people_background","people","6","0","0","6","queued","","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","","","Brian Kelley: https://linkedin.com/in/brianckelley | David Zeng: https://linkedin.com/in/david-zeng-74a55a45 | Amod Dange: https://linkedin.com/in/amoddange"
"low-relevance","低相关留档","archive","conversation_exchange_growth","company","4","2","0","2","queued","候选补证","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","Time2Talk: 候选补证 (unclassified candidate) | Languages Live Gesellschaft Lokalisierung mbH: 候选补证 (unclassified candidate)","","Languages Live Gesellschaft Lokalisierung mbH: https://mylanguageexchange.com/ | Time2Talk: https://time2talk.app/ | LanguageConvo: https://languageconvo.com/"
"low-relevance","低相关留档","archive","matchalingua_growth","company","4","1","0","3","queued","候选补证","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","Languages Live Gesellschaft Lokalisierung mbH: 候选补证 (unclassified candidate)","","Languages Live Gesellschaft Lokalisierung mbH: https://mylanguageexchange.com/ | ZINGR: https://zingr.app/ | Together App: https://youtube.com/watch"
"low-relevance","低相关留档","archive","speakyparrot_growth","company","4","1","0","3","queued","候选补证","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","Time2Talk: 候选补证 (unclassified candidate)","","Speaking Partner Official Page: https://speakingpartner.id/ | BeeSpeaker: https://beespeaker.com/ | Time2Talk: https://time2talk.app/"
"low-relevance","低相关留档","archive","langpal_growth","company","3","0","0","3","queued","","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","","","Chatterbox: Language Learning: https://chatterboxlabs.io/ | SpeakingPal: https://speakingpal.com/ | PickLang: https://picklang.ml/"
"low-relevance","官方搜索溢出留档","archive","language_official_social_matchalingua","official/social profile","3","0","0","3","queued","","","低相关留档，仅在后续 monitor 反复出现时重新复核。","来自语言官方/社媒 targeted 查询，但未稳定匹配到主表产品；多为官网子页、多语言页、相邻应用或搜索溢出，保留审计但不进入 monitor 观察缺口。","","","Treine seu Inglês com MatchLingue | Home: https://www.matchlingue.com/ | ‎Linglo - Language Exchange App - App Store: https://apps.apple.com/us/app/linglo-language-exchange/id6747976041 | Foxylingo - Connect with Language Partners Worldwide: https://foxylingo.app/"
"low-relevance","低相关留档","archive","talk4now_growth","company","3","1","0","2","queued","候选补证","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","Time2Talk: 候选补证 (unclassified candidate)","","Talky: https://talky-app.com/ | Time2Talk: https://time2talk.app/ | TalkAbroad: https://talkabroad.com/"
"low-relevance","低相关留档","archive","fluently_growth","company","2","0","0","2","queued","","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","","","Lingora: https://elingora.com/ | Fluentworlds: https://fluentworlds.com/"
"low-relevance","低相关留档","archive","lingbe_growth","company","2","1","0","1","queued","候选补证","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","Lingopanda (previously PingoLearn): 候选补证 (unclassified candidate)","","Lingora: https://elingora.com/ | Lingopanda (previously PingoLearn): https://lingopanda.app/"
"low-relevance","低相关留档","archive","meetalk_growth","company","2","1","0","1","queued","候选补证","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","Time2Talk: 候选补证 (unclassified candidate)","","Meet2Talk: https://meet2talk.online/ | Time2Talk: https://time2talk.app/"
"low-relevance","低相关留档","archive","sewayou_growth","company","2","0","0","2","queued","","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","","","ZINGR: https://zingr.app/ | AloYou App: https://aloyou.app/"
"low-relevance","低相关留档","archive","slowly_growth","company","2","0","0","2","queued","","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","","","PenPal: https://penpal.me/ | Hello Pal: https://hellopal.com/"
"low-relevance","低相关留档","archive","language_exchange_companies","company","1","0","0","1","queued","","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","","","Learn together 学 יחד: https://langroops.com/"
"low-relevance","官方搜索溢出留档","archive","language_official_social_conversation-exchange","official/social profile","1","0","0","1","queued","","","低相关留档，仅在后续 monitor 反复出现时重新复核。","来自语言官方/社媒 targeted 查询，但未稳定匹配到主表产品；多为官网子页、多语言页、相邻应用或搜索溢出，保留审计但不进入 monitor 观察缺口。","","","Register: First step: https://www.conversationexchange.com/members/signupFirstStage.php?lg=en"
"low-relevance","官方搜索溢出留档","archive","language_official_social_speakyparrot","official/social profile","1","0","0","1","queued","","","低相关留档，仅在后续 monitor 反复出现时重新复核。","来自语言官方/社媒 targeted 查询，但未稳定匹配到主表产品；多为官网子页、多语言页、相邻应用或搜索溢出，保留审计但不进入 monitor 观察缺口。","","","About Us – Speaky: https://www.speaky.com/about-us/"
"low-relevance","低相关留档","archive","roamchat_growth","news","1","0","0","1","queued","","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","","","Roam: Empowering Communities To Drive the Future of Decentralized Connectivity - TheNewsCrypto: https://thenewscrypto.com/roam-empowering-communities-to-drive-the-future-of-decentralized-connectivity/"
