"扫描ID","扫描主题","候选名称","发布日期/月","赛道","金额/规模信号","处理状态","下一步动作","原始标题","证据","摘要"
"irl_social_funding_expansion","IRL social funding expansion","Series","2026.04","IRL / offline social","$5.1M","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Series’ $5.1M Pre-Seed Validates AI-First Social Networks Inside Legacy Messaging – Crunch Insight","https://crunchinsight.com/digest/series-5-1m-pre-seed-validates-ai-first-social-networks-inside-legacy-messaging/","Series’ $5.1M Pre-Seed Validates AI-First Social Networks Inside Legacy Messaging – Crunch Insight [...] Series, a student-focused social networking platform, closed a $5.1 million pre-seed round to scale its AI-agent infrastructure. Founded by Yale undergraduates Nathaneo Johnson and Sean Hargrow, the company leverages AI to facilitate double opt-in introdu"
"irl_social_funding_expansion","IRL social funding expansion","Series","2026.03","IRL / offline social","$37M","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","QOSHE - Exclusive: Posh lands $37M Series B to crack the ‘what are we doing tonight?’ problem - Lily Mae Lazarus","https://qoshe.com/fortune/lily-mae-lazarus/exclusive-posh-lands-37m-series-b-to-crack-the-what-are-we-doing-tonight-problem/188187957","QOSHE - Exclusive: Posh lands $37M Series B to crack the ‘what are we doing tonight?’ problem - Lily Mae Lazarus info brightness_medium left_panel_close view_agenda grid_view [...] Exclusive: Posh lands $37M Series B to crack the ‘what are we doing tonight?’ problem [...] Event platform Posh raised a fresh $37 million to solve one of the quintessential “tarp"
"ai_dating_discovery","AI dating / offline dating","Ditto","2026.02","AI dating / IRL dating","raises","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Ditto raises $9.2M to replace swiping with real dates for college students | Markets Insider","https://markets.businessinsider.com/news/stocks/ditto-raises-9-2m-to-replace-swiping-with-real-dates-for-college-students-1035778345","Berkeley, Feb. 03, 2026 (GLOBE NEWSWIRE) -- For a generation that lives on their phones, dating has somehow become more time-consuming and less social. College students swipe endlessly, juggle multiple chats, and still struggle to turn matches into actual dates. Ditto was created to remove that friction entirely. Today, the company announced a $9.2 million f"
"ai_dating_funding_expansion","AI dating / matchmaking funding expansion","Ditto","2026.02","AI dating / IRL dating","$9.2M","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Exclusive: Peak XV leads Ditto's $9.2M to end college swipe fatigue with AI dates — TFN","https://techfundingnews.com/ditto-9-2m-seed-peak-xv-ai-college-dates/","Exclusive: Peak XV leads Ditto's $9.2M to end college swipe fatigue with AI dates — TFN [...] # Exclusive: Peak XV leads Ditto’s $9.2M to end college swipe fatigue with AI dates [...] A lot of college students get tired of endless swiping and messaging on dating apps, and often never meet in person. Ditto uses iMessage to match people up, skipping profiles a"
"ai_friend_wearables","AI friend / wearable companion","Limitless","2025.12","AI friend / wearable companion","acquires","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Meta acquires AI device startup Limitless | TechCrunch","https://techcrunch.com/2025/12/05/meta-acquires-ai-device-startup-limitless/","Limitless, the AI startup formerly known as Rewind, has been acquired by Meta, the company announced Friday on its website. The company, which made an AI-powered pendant to record your conversations, says it will no longer sell its hardware devices and will maintain support for its existing customers for a year. [...] Customers will no longer have to pay a s"
"ai_social_games_funding","AI social games / playable social funding","Oasiz","2025.10","AI social / entertainment","Raises","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","""Oasiz Raises $2.5M Seed Round to Launch Social Platform for Viral Playable Content"" - Games Press","https://www.gamespress.com/Oasiz-Raises-25M-Seed-Round-to-Launch-Social-Platform-for-Viral-Playab","""Oasiz Raises $2.5M Seed Round to Launch Social Platform for Viral Playable Content"" - Games Press Skip to main content [...] # Oasiz Raises $2.5M Seed Round to Launch Social Platform for Viral Playable Content [...] ## With 5,000+ games already built in beta, Oasiz combines the viral momentum of TikTok with the creative depth of Roblox SAN FRANCISCO, Calif."
"ai_social_games_funding","AI social games / playable social funding","Oasiz","2025.10","AI social / entertainment","raises","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Oasiz raises $2.5M to make TikTok-style “playable content” a thing — here’s what that actually means | FinalBoss | FinalBoss.io","https://finalboss.io/oasiz-raises-2-5m-to-make-tiktok-style","Oasiz raises $ [...] .5M to [...] Oasiz just raised $2.5 million to chase a big idea: a TikTok-style feed where the posts aren’t videos or photos, but tiny multiplayer games you can make, remix, and share in seconds. This caught my attention because I’ve watched platform after platform try to mash TikTok’s virality with Roblox’s creation tools-and most of th"
"ai_social_games_funding","AI social games / playable social funding","Oasiz","2025.10","AI social / entertainment","Raises","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Oasiz Raises $2.5M Seed Round Funding—TikTok Meets Roblox","https://www.digitalmusicnews.com/2025/10/09/oasiz-raises-2-5m-seed-round/","Oasiz Raises $2.5M Seed Round Funding—TikTok Meets Roblox [...] # Oasiz Raises $2.5 Million In Seed Round Funding—But Will ‘TikTok Meets Roblox’ Fly? [...] October 9, 2025 [...] ## Oasiz, a new social creation platform based in San Francisco, has closed a $2.5 million seed round. The platform targets the intersection of gaming, social sharing, and virality—t"
"irl_social_funding_expansion","IRL social funding expansion","Meet5","2025.09","IRL / offline social","€8M","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Meet5, Europe’s largest social app for over-40s, grabs €8M to fuel global expansion — TFN","https://techfundingnews.com/meet5-europes-largest-social-app-for-over-40s-grabs-e8m-to-fuel-global-expansion/","Meet5, Europe’s largest social app for over-40s, grabs €8M to fuel global expansion — TFN [...] # Meet5, Europe’s largest social app for over-40s, grabs €8M to fuel global expansion [...] September 10, 2025 [...] Loneliness is increasingly being recognised as a public health crisis, with a June 2025 WHO study revealing that one in six people struggles with i"
"irl_social_funding_expansion","IRL social funding expansion","Meet5","2025.09","IRL / offline social","raise","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Read the pitch deck that an IRL social startup targeting Gen X and boomers used to raise about $9M and expand to the US | Business Insider Africa","https://africa.businessinsider.com/news/read-the-pitch-deck-that-an-irl-social-startup-targeting-gen-x-and-boomers-used-to/1vbfey0","Read the pitch deck that an IRL social startup targeting Gen X and boomers used to raise about $9M and expand to the US | Business Insider Africa [...] that an IRL social startup targeting Gen X and boomers used [...] raise about $9M and expand to the US [...] Meet5 wants to help Gen X and baby boomers make more friends. [...] - Read the pitch deck the start"
"ai_companion_funding_expansion","AI companion funding expansion","Tolan","2025.07","AI companion","raises","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","AI companionship app Tolan raises $20M to help more people grow with a virtual alien friend – GeekWire","https://www.geekwire.com/2025/ai-companionship-app-tolan-raises-20m-to-help-more-people-grow-with-a-virtual-alien-friend/","AI companionship app Tolan raises $20M to help more people grow with a virtual alien friend – GeekWire [...] The Tolan app features AI companions from Planet Portola. They are designed to help users feel grounded and confident, according to the startup that created them. (Tolan Image) [...] The startup behind the colorful, animated AI companions called Tolan"
"ai_dating_funding_expansion","AI dating / matchmaking funding expansion","Sitch launches AI matchmaking app to reinvent modern dating","2025.06","AI dating / IRL dating","$5M","已覆盖/重复佐证","Sitch 已作为 AI dating / human matchmaking 的补充融资/发布信号留档；该来源保留为重复佐证，不再进入候选升级队列。","Sitch launches AI matchmaking app to reinvent modern dating","https://www.m13.co/article/sitch-launches-ai-matchmaking-app-to-reinvent-modern-dating","Sitch launches AI matchmaking app to reinvent modern dating [...] # Sitch launches AI matchmaking app to reinvent modern dating [...] The newly-launched AI match-making app, created by co-founders Nandini Mullaji and Chad DePue, already has over 10,000 profiles in New York City. [...] June 25, 2025 [...] M13 is excited to lead the $5M seed in Sitch, AI datin"
"ai_friend_wearables","AI friend / wearable companion","Limitless","2025.05","AI friend / wearable companion","$50 B","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Wearing three AI-powered devices, the $50 Bee Pioneer, $199 Limitless Pendant, and $159 Plaud NotePin, shows how the wearables can be useful but also creepy (Joanna Stern/Wall Street Journal) - Nexpressdaily.com","https://nexpressdaily.com/wearing-three-ai-powered-devices-the-50-bee-pioneer-199-limitless-pendant-and-159-plaud-notepin-shows-how-the-wearables-can-be-useful-but-also-creepy-joanna-stern-wall-street-journal/","Wearing three AI-powered devices, the $50 Bee Pioneer, $199 Limitless Pendant, and $159 Plaud NotePin, shows how the wearables can be useful but also creepy (Joanna Stern/Wall Street Journal) - Nexpressdaily.com [...] Joanna Stern / Wall Street Journal: Wearing three AI-powered devices, the $50 Bee Pioneer, $199 Limitless Pendant, and $159 Plaud NotePin, sho"
"ai_dating_funding_expansion","AI dating / matchmaking funding expansion","AI Dating App Sitch Raises $2M, Launches Matchmaker Chatbot","2025.04","AI dating / IRL dating","Raises","已覆盖/重复佐证","Sitch 已作为 AI dating / human matchmaking 的补充融资/发布信号留档；该来源保留为重复佐证，不再进入候选升级队列。","AI Dating App Sitch Raises $2M, Launches Matchmaker Chatbot - Global Dating Insights","https://www.globaldatinginsights.com/featured/ai-dating-app-sitch-raises-2m-launches-matchmaker-chatbot/","AI Dating App Sitch Raises $2M, Launches Matchmaker Chatbot - Global Dating Insights [...] New York-based dating startup Sitch has raised$2 million in pre-seed funding to fuel its expansion and enha nce its AI-powered matchmaking platform. The round was led by Andreessen Horowitz’s accelerator program Speedrun, with participation from previous angel investor"
"ai_friend_wearables","AI friend / wearable companion","Friend","2024.12","AI friend / wearable companion","raise","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Friend’s AI chatbots have issues — and they want your help | The Verge","https://www.theverge.com/2024/12/9/24315126/friend-pendant-artificial-intelligence-companionship-avi-schiffmann","Friend just raised another $5.4 million to bring AI friends into the real world. [...] Friend just raised another $5.4 million to bring AI friends into the real world. [...] This is the feeling Avi Schiffmann wants to bottle with his AI companion startup, Friend. Friend debuted earlier this year with a soothing vision: it offered an AI therapist that was alw"
"irl_social_funding_expansion","IRL social funding expansion","Partiful","2024.11","IRL / offline social","$20 M","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Partiful Secures $20 Million in Series A Funding to Revolutionize Social Event Planning and Foster Meaningful Connections | Signalbase","https://www.trysignalbase.com/news/funding/partiful-secures-20-million-in-series-a-funding-to-revolutionize-social-event-planning-and-foster-meaningful-connections","Partiful Secures $20 Million in Series A Funding to Revolutionize Social Event Planning and Foster Meaningful Connections | Signalbase [...] Funding news Published November 18, 2024 [...] Partiful, the innovative company dedicated to fostering friendships through expertly planned social events, has successfully raised $20 million in its latest funding round."
"ai_companion_funding_expansion","AI companion funding expansion","Dippy AI","2024.10","AI companion","Raises","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Dippy AI Raises $2.1M in Pre-Seed Funding","https://www.finsmes.com/2024/10/dippy-ai-raises-2-1m-in-pre-seed-funding.html","Home**Canada**Dippy AI Raises $2.1M in Pre-Seed Funding Canada # Dippy AI Raises $2.1M in Pre-Seed Funding FinSMEs ByFinSMEs - October 23, 2024 ** [...] **Dippy AI**, a Toronto, Canada-based mobile-first AI app product company, raised $2.1M in Pre-Seed funding. The round was led by Drive Capital with participation from Carya VC, Cory Levy, Hustle Fund and Pa"
"ai_native_social_networks","AI-native social networks","Butterflies","2024.06","AI social / entertainment","$4.8M","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Butterflies takes flight with $4.8M, launches social media platform combining AI and human content – GeekWire","https://www.geekwire.com/2024/butterflies-takes-flight-with-4-8m-launches-social-media-platform-combining-ai-and-human-content/","Butterflies takes flight with $4.8M, launches social media platform combining AI and human content – GeekWire [...] Butterflies, a Bellevue, Wash.-based social media platform that combines human and AI-generated content, launched Tuesday after raising $4.8 million in seed funding. [...] After five months in beta, Butterflies is billed as an app where “humans"
"ai_social_games_funding","AI social games / playable social funding","Friend","","AI social / entertainment","$2 m","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Breakthrough Ventures","https://breakvc.com/portfolio/oasiz","Breakthrough announces debut $2 million fund [...] Oasiz [...] ##### Make and play games with friends [...] Abel Dagne [...] Oasiz is building a game-first platform where playing, remixing, and creating games happen inside a single interactive system. By structuring the platform itself as a game, Oasiz lets people move through experiences, discover what othe"
"ai_friend_wearables","AI friend / wearable companion","Limitless","","AI friend / wearable companion","acquire","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Limitless","https://www.limitless.ai/","# Limitless has been acquired by Meta [...] I'm excited to share that Limitless has been acquired by Meta. I'm going to share why we joined forces, what this means for customers, and what comes next. [...] Meta recently announced a new vision to bring personal superintelligence to everyone and a key part of that vision is building incredible AI-enabled weara"
"ai_social_games_funding","AI social games / playable social funding","Oasiz","","AI social / entertainment","Raises","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Oasiz Raises $2.5M for Playable Content | Dealroom.co","https://app.dealroom.co/news/feed/oasiz-raises-2-5m-for-playable-content","Oasiz Raises $2.5M for Playable Content | Dealroom.co [...] Oasiz [...] ● Oct 2025 [...] Oasiz, a social creation platform for instant interactive experiences, has raised $2.5M in seed funding led by a16z Speedrun and The Venture Reality Fund. Oasiz introduces ""playable content,"" allowing users to create and share games as quickly as memes or videos. The pla"
