"来源层","查询ID","类别","requestId","关联状态","复核层级","复核结论","匹配实体","匹配类型","复核原因","发布日期","原始标题","URL"
"main research","new_language_exchange_companies","company","bf8223824a6278d1fc3e08132c3db734","linked","linked","已关联","Tandem | Conversation Exchange","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2026-05-03T00:00:00.000Z","Tandem","https://tandem.net/"
"main research","new_language_exchange_companies","company","bf8223824a6278d1fc3e08132c3db734","linked","linked","已关联","Hilokal | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-04-23T00:00:00.000Z","Hilokal","https://hilokal.com/"
"main research","new_language_exchange_companies","company","bf8223824a6278d1fc3e08132c3db734","linked","linked","已关联","Conversation Exchange","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2026-04-23T00:00:00.000Z","Conversation Exchange","https://conversationexchange.com/"
"main research","new_language_exchange_companies","company","bf8223824a6278d1fc3e08132c3db734","linked","linked","已关联","FluentPal | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-04-27T00:00:00.000Z","FluentPal AB","https://fluentpal.net/"
"main research","new_language_exchange_companies","company","bf8223824a6278d1fc3e08132c3db734","linked","linked","已关联","HelloTalk","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2026-04-30T00:00:00.000Z","HelloTalk","https://hellotalk.com/"
"main research","new_language_exchange_companies","company","bf8223824a6278d1fc3e08132c3db734","unlinked-review","product-candidate","候选补证","","","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","2026-04-26T00:00:00.000Z","LingoPraxis - English Speaking Club","https://lingopraxis.com/"
"main research","new_language_exchange_companies","company","bf8223824a6278d1fc3e08132c3db734","unlinked-review","product-candidate","候选补证","","","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","2026-05-03T00:00:00.000Z","Ananas B.V.","https://ananas.club/"
"main research","ai_social_funding_news","news","fd8c5ecf9ee7c8e0261bb08a6462ebb9","linked","linked","已关联","Status AI | Character.AI / Replika / Chai | Friend | Fai Nur","official/social evidence | funding candidate review | residual signal review","已关联到主表、时间线或官方/社媒证据。","2026-05-19T14:00:00.000Z","Forget the feed: Status AI raises $17M to turn social media into interactive entertainment | TechCrunch","https://techcrunch.com/2026/05/19/gamified-social-media-network-status-announces-17m-funding-to-help-usher-in-new-era-of-social-networking/"
"main research","ai_social_funding_news","news","fd8c5ecf9ee7c8e0261bb08a6462ebb9","linked","linked","已关联","Born / Pengu | Friend | Known","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2025-09-10T13:00:00.000Z","AI gaming startup Born raises $15M to build 'social' AI companions that combat loneliness | TechCrunch","https://techcrunch.com/2025/09/10/born-maker-of-virtual-pet-pengu-raises-15m-to-launch-a-new-wave-of-social-ai-companions/"
"main research","ai_social_funding_news","news","fd8c5ecf9ee7c8e0261bb08a6462ebb9","linked","linked","已关联","Character.AI / Replika / Chai | Butterflies","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2024-06-18T16:00:00.000Z","Former Snap engineer launches Butterflies, a social network where AIs and humans coexist | TechCrunch","https://techcrunch.com/2024/06/18/former-snap-engineer-launches-butterflies-a-social-network-where-ais-and-humans-coexist/"
"main research","ai_social_funding_news","news","fd8c5ecf9ee7c8e0261bb08a6462ebb9","linked","linked","已关联","Character.AI / Replika / Chai | Butterflies","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2024-06-18T18:49:43.000Z","AIs are coming for social networks | The Verge","https://www.theverge.com/2024/6/18/24181196/butterflies-app-ai-chatbots-social-media"
"main research","ai_social_funding_news","news","fd8c5ecf9ee7c8e0261bb08a6462ebb9","linked","linked","已关联","Character.AI / Replika / Chai | Dippy AI","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2024-10-23T00:00:00.000Z","Dippy AI launches censorship-free, proactive AI Companions – Intelligent CIO North America","https://www.intelligentcio.com/north-america/2024/10/23/dippy-ai-launches-censorship-free-proactive-ai-companions/"
"main research","ai_social_funding_news","news","fd8c5ecf9ee7c8e0261bb08a6462ebb9","linked","linked","已关联","Tolan / Portola | Tolan | Friend","product matrix | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2025-07-07T17:26:11.000Z","AI companionship app Tolan raises $20M to help more people grow with a virtual alien friend – GeekWire","https://www.geekwire.com/2025/ai-companionship-app-tolan-raises-20m-to-help-more-people-grow-with-a-virtual-alien-friend/"
"main research","ai_social_funding_news","news","fd8c5ecf9ee7c8e0261bb08a6462ebb9","linked","linked","已关联","Character.AI / Replika / Chai | Born / Pengu","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2025-09-12T00:00:00.000Z","AI-powered Pengu app maker Born raises $15m | PocketGamer.biz","https://www.pocketgamer.biz/ai-powered-pengu-app-maker-born-raises-15m/"
"main research","ai_social_funding_news","news","fd8c5ecf9ee7c8e0261bb08a6462ebb9","linked","linked","已关联","Butterflies AI | Friend | Butterflies","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2024-06-27T21:08:15.000Z","Butterflies AI: Social Media Company Raises $4.8 Million To Help People Connect With AI Characters","https://pulse2.com/butterflies-ai-social-media-company-raises-4-8-million-to-help-people-connect-with-ai-characters/"
"main research","ai_social_funding_news","news","fd8c5ecf9ee7c8e0261bb08a6462ebb9","linked","linked","已关联","Born / Pengu | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2024-06-20T00:00:00.000Z","Pengu creator Slay raises $5M for social gaming platform - GamesBeat","https://gamesbeat.com/pengu-creator-slay-raises-5m-for-social-gaming-platform/"
"main research","ai_social_funding_news","news","fd8c5ecf9ee7c8e0261bb08a6462ebb9","linked","linked","已关联","Butterflies AI | Friend | Butterflies","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2024-06-18T12:00:00.000Z","Butterflies AI Raises Seed Round, Launches First Social","https://www.globenewswire.com/news-release/2024/06/18/2900674/0/en/Butterflies-AI-Raises-Seed-Round-Launches-First-Social-Media-Platform-Where-People-and-AI-Friends-Co-Exist.html"
"main research","ai_social_funding_news","news","fd8c5ecf9ee7c8e0261bb08a6462ebb9","linked","linked","已关联","Character.AI / Replika / Chai | Dippy AI | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2024-10-23T11:20:08.000Z","Dippy AI Launches Censorship-Free, Proactive AI Companions to Help People Deal with Loneliness and Personal Concerns","https://www.einpresswire.com/article/754052618/dippy-ai-launches-censorship-free-proactive-ai-companions-to-help-people-deal-with-loneliness-and-personal-concerns"
"main research","ai_social_funding_news","news","fd8c5ecf9ee7c8e0261bb08a6462ebb9","linked","linked","已关联","Shapes","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2026-04-29T13:00:00.000Z","Meet Shapes, the app bringing humans and AI into the same group chats | TechCrunch","https://techcrunch.com/2026/04/29/meet-shapes-the-app-bringing-humans-and-ai-into-the-same-group-chats/"
"main research","ai_companion_roleplay_funding_news","news","39607f4b058481de6c2db2a117e310fc","linked","linked","已关联","Character.AI / Replika / Chai | Kindroid / Nomi / Blush | Known | Janitor AI | Janitor AI / DreamGF / EverAI","official/social evidence | product matrix | funding candidate review | candidate review | discovery review","已关联到主表、时间线或官方/社媒证据。","2025-08-20T15:10:09.000Z","Character.AI in talks to sell or raise new funding as chatbot costs pile up - Tech Startups","https://techstartups.com/2025/08/20/character-ai-in-talks-to-sell-or-raise-new-funding-as-chatbot-costs-pile-up/"
"main research","ai_companion_roleplay_funding_news","news","39607f4b058481de6c2db2a117e310fc","linked","linked","已关联","Character.AI / Replika / Chai","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2023-03-23T00:00:00.000Z","Personalized Superintelligence Platform Character.AI Secures $150M in Series A Funding Led by Andreessen Horowitz","https://www.businesswire.com/news/home/20230323005299/en/Personalized-Superintelligence-Platform-Character.AI-Secures-%24150M-in-Series-A-Funding-Led-by-Andreessen-Horowitz"
"main research","ai_companion_roleplay_funding_news","news","39607f4b058481de6c2db2a117e310fc","linked","linked","已关联","Character.AI / Replika / Chai | Talkie / MiniMax | PolyBuzz / HiWaifu / Linky | HiWaifu","official/social evidence | funding timeline","已关联到主表、时间线或官方/社媒证据。","2024-10-31T00:00:13.000Z","Chinese AI unicorn MiniMax scores big in US with Talkie chatbot entertainment app | South China Morning Post","https://www.scmp.com/tech/tech-trends/article/3284511/chinese-ai-unicorn-minimax-scores-big-us-talkie-chatbot-entertainment-app"
"main research","ai_companion_roleplay_funding_news","news","39607f4b058481de6c2db2a117e310fc","linked","linked","已关联","Caveduck / Charms / Pictoria / CODE27 | Caveduck","product matrix | funding timeline","已关联到主表、时间线或官方/社媒证据。","2026-04-02T00:56:56.000Z","Caveduck's $3.2M Series A Validates the AI Roleplay Creator Economy | StartupXO","https://startupxo.com/en/news/2026/04/caveduck-s-3-2m-series-a-validates-the-ai-roleplay-creator-economy/"
"main research","ai_companion_roleplay_funding_news","news","39607f4b058481de6c2db2a117e310fc","linked","linked","已关联","Caveduck / Charms / Pictoria / CODE27 | Charms","product matrix | funding timeline","已关联到主表、时间线或官方/社媒证据。","2026-05-12T13:00:00.000Z","Charms closes $1.5M pre-seed to launch the AI character economy | TechCrunch","https://techcrunch.com/press-release/charms-closes-1-5m-pre-seed-to-launch-the-ai-character-economy/"
"main research","ai_companion_roleplay_funding_news","news","39607f4b058481de6c2db2a117e310fc","linked","linked","已关联","Tandem | Character.AI / Replika / Chai | Talkie / MiniMax | PolyBuzz / HiWaifu / Linky | PolyBuzz | Friend","official/social evidence | funding timeline | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2025-05-08T09:00:00.000Z","'AI boyfriends': CT students are dating uncensored chatbots","https://www.ctinsider.com/projects/2025/ct-students-ai-chatbot-boyfriends-dating-schools/"
"main research","ai_companion_roleplay_funding_news","news","39607f4b058481de6c2db2a117e310fc","linked","linked","已关联","Caveduck / Charms / Pictoria / CODE27 | Pictoria","product matrix | funding timeline","已关联到主表、时间线或官方/社媒证据。","2026-04-30T09:45:21.000Z","Pictoria, an AI Character Company, Raises ¥330 Million in Funding – BRIDGE","https://thebridge.jp/en/2026/04/pictoria-an-ai-character-company-raises-%c2%a5330-million-in-funding"
"main research","ai_companion_roleplay_funding_news","news","39607f4b058481de6c2db2a117e310fc","linked","linked","已关联","Caveduck / Charms / Pictoria / CODE27","product matrix","已关联到主表、时间线或官方/社媒证据。","2026-03-28T15:34:30.000Z","CODE27 Secures Over $10 Million in Funding to Build Immersive Interactive Character Companion Hardware | Markets Insider","https://markets.businessinsider.com/news/stocks/code27-secures-over-10-million-in-funding-to-build-immersive-interactive-character-companion-hardware-1035973726"
"main research","ai_companion_roleplay_funding_news","news","39607f4b058481de6c2db2a117e310fc","linked","linked","已关联","Character.AI / Replika / Chai","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2023-05-31T18:59:09.000Z","Character.AI, the a16z-backed chatbot startup, tops 1.7M installs in first week | TechCrunch","https://techcrunch.com/2023/05/31/character-ai-the-a16z-backed-chatbot-startup-tops-1-7m-installs-in-first-week/"
"main research","ai_companion_roleplay_funding_news","news","39607f4b058481de6c2db2a117e310fc","linked","linked","已关联","Character.AI / Replika / Chai | Caveduck / Charms / Pictoria / CODE27 | Charms","official/social evidence | product matrix | funding timeline","已关联到主表、时间线或官方/社媒证据。","2026-05-12T13:00:20.000Z","Charms Raises $1.5M Pre-Seed to Bring the AI Character Economy Onchain | Currency News |  Financial and Business News | Markets Insider","https://markets.businessinsider.com/news/currencies/charms-raises-1-5m-pre-seed-to-bring-the-ai-character-economy-onchain-1036143105"
"main research","ai_companion_roleplay_funding_news","news","39607f4b058481de6c2db2a117e310fc","linked","linked","已关联","Character.AI / Replika / Chai | Caveduck / Charms / Pictoria / CODE27 | Charms","official/social evidence | product matrix | funding timeline","已关联到主表、时间线或官方/社媒证据。","2026-05-13T07:05:26.000Z","Charms Raises $1.5M Pre-Seed to Bring the AI Character Economy Onchain - Optimisus","https://optimisus.com/news/crypto-news/charms-raises-1-5m-pre-seed-to-bring-the-ai-character-economy-onchain/"
"main research","ai_companion_roleplay_funding_news","news","39607f4b058481de6c2db2a117e310fc","linked","linked","已关联","Character.AI / Replika / Chai | Caveduck / Charms / Pictoria / CODE27 | Charms","official/social evidence | product matrix | funding timeline","已关联到主表、时间线或官方/社媒证据。","2026-05-27T03:58:14.000Z","Charms Interactive, Inc. Raises $1.5M Pre-Seed","https://www.thesaasnews.com/news/charms-interactive-inc-raises-1-5m-pre-seed-2/"
"main research","mature_ai_companion_products","company","1d77cb022e4ae1ea927c3542ec0e76a0","linked","linked","已关联","Character.AI / Replika / Chai | Caveduck / Charms / Pictoria / CODE27 | Charms | Known","official/social evidence | product matrix | funding timeline | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-04-26T00:00:00.000Z","Character.ai","https://character.ai/"
"main research","mature_ai_companion_products","company","1d77cb022e4ae1ea927c3542ec0e76a0","linked","linked","已关联","Kindroid / Nomi / Blush","product matrix","已关联到主表、时间线或官方/社媒证据。","2026-04-29T00:00:00.000Z","Kindroid","https://kindroid.ai/"
"main research","mature_ai_companion_products","company","1d77cb022e4ae1ea927c3542ec0e76a0","linked","linked","已关联","Talkie / MiniMax","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2026-04-29T00:00:00.000Z","Talkie","https://talkie-ai.com/"
"main research","mature_ai_companion_products","company","1d77cb022e4ae1ea927c3542ec0e76a0","linked","linked","已关联","PolyBuzz / HiWaifu / Linky | PolyBuzz","official/social evidence | funding timeline","已关联到主表、时间线或官方/社媒证据。","2026-05-03T00:00:00.000Z","PolyBuzz","https://polyai.ai/"
"main research","mature_ai_companion_products","company","1d77cb022e4ae1ea927c3542ec0e76a0","linked","linked","已关联","Character.AI / Replika / Chai | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-04-25T00:00:00.000Z","Replika","https://replika.com/"
"main research","mature_ai_companion_products","company","1d77cb022e4ae1ea927c3542ec0e76a0","linked","linked","已关联","Character.AI / Replika / Chai | SocialAI / Oasiz","official/social evidence | discovery review","已关联到主表、时间线或官方/社媒证据。","2026-05-01T00:00:00.000Z","CHAI AI","https://chai.ai/"
"main research","mature_ai_companion_products","company","1d77cb022e4ae1ea927c3542ec0e76a0","linked","linked","已关联","Character.AI / Replika / Chai | Kindroid / Nomi / Blush","official/social evidence | product matrix","已关联到主表、时间线或官方/社媒证据。","2026-04-24T00:00:00.000Z","Blush AI","https://blush.ai/"
"main research","mature_ai_companion_products","company","1d77cb022e4ae1ea927c3542ec0e76a0","linked","linked","已关联","Character.AI / Replika / Chai | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-04-30T00:00:00.000Z","Kindred Labs","https://kindredlabs.ai/"
"main research","mature_ai_companion_products","company","1d77cb022e4ae1ea927c3542ec0e76a0","linked","linked","已关联","Janitor AI | Janitor AI / DreamGF / EverAI","candidate review | discovery review","已关联到主表、时间线或官方/社媒证据。","2026-04-30T00:00:00.000Z","Janitor AI","https://janitor-ai.org/"
"main research","mature_ai_companion_products","company","1d77cb022e4ae1ea927c3542ec0e76a0","linked","linked","已关联","Friend | Janitor AI / DreamGF / EverAI | EverAI","funding candidate review | discovery review | residual signal review","已关联到主表、时间线或官方/社媒证据。","2026-05-03T00:00:00.000Z","EverAI","https://everai.ai/"
"main research","mature_ai_companion_products","company","1d77cb022e4ae1ea927c3542ec0e76a0","linked","linked","已关联","Character.AI / Replika / Chai | ChatFai","official/social evidence | residual signal review","已关联到主表、时间线或官方/社媒证据。","2026-04-27T00:00:00.000Z","ChatFai","https://chatfai.com/"
"main research","mature_ai_companion_products","company","1d77cb022e4ae1ea927c3542ec0e76a0","linked","linked","已关联","Character.AI / Replika / Chai | janitorai","official/social evidence | residual signal review","已关联到主表、时间线或官方/社媒证据。","2026-04-29T00:00:00.000Z","janitorai","https://janitorai.com/"
"main research","mature_ai_companion_news","news","5da072280cab37e8423dfa266136685f","linked","linked","已关联","Character.AI / Replika / Chai | Known | Janitor AI | Janitor AI / DreamGF / EverAI","official/social evidence | funding candidate review | candidate review | discovery review","已关联到主表、时间线或官方/社媒证据。","2025-08-20T15:10:09.000Z","Character.AI in talks to sell or raise new funding as chatbot costs pile up - Tech Startups","https://techstartups.com/2025/08/20/character-ai-in-talks-to-sell-or-raise-new-funding-as-chatbot-costs-pile-up/"
"main research","mature_ai_companion_news","news","5da072280cab37e8423dfa266136685f","linked","linked","已关联","Character.AI / Replika / Chai","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2026-01-08T01:32:00.000Z","Google and Character.AI negotiate first major settlements in teen chatbot death cases | TechCrunch","https://techcrunch.com/2026/01/07/google-and-character-ai-negotiate-first-major-settlements-in-teen-chatbot-death-cases/"
"main research","mature_ai_companion_news","news","5da072280cab37e8423dfa266136685f","linked","linked","已关联","Character.AI / Replika / Chai | Kindroid / Nomi / Blush | Friend","official/social evidence | product matrix | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-03-23T10:42:31.000Z","eSafety report shows AI companions are putting children at risk | eSafety Commissioner","https://www.esafety.gov.au/newsroom/media-releases/esafety-report-shows-ai-companions-are-putting-children-at-risk"
"main research","mature_ai_companion_news","news","5da072280cab37e8423dfa266136685f","linked","linked","已关联","Character.AI / Replika / Chai","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2026-05-05T19:56:41.000Z","Pennsylvania sues Character.AI for unlawful medical practice after chatbot posed as licensed psychiatrist with fake credentials","https://thenextweb.com/news/pennsylvania-character-ai-chatbot-doctor-lawsuit"
"main research","mature_ai_companion_news","news","5da072280cab37e8423dfa266136685f","linked","linked","已关联","Character.AI / Replika / Chai | Known","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-01-07T22:30:22.000Z","Character.AI and Google settle teen suicide and self-harm suits | The Verge","https://www.theverge.com/news/858102/characterai-google-teen-suicide-settlement"
"main research","mature_ai_companion_news","news","5da072280cab37e8423dfa266136685f","linked","linked","已关联","Character.AI / Replika / Chai | Known","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2025-08-21T17:37:00.000Z","Character.AI Weighs Sale or New Funding Amid Legal and Cost Pressures","https://www.ainews.com/p/character-ai-weighs-sale-or-new-funding-amid-legal-and-cost-pressures"
"main research","mature_ai_companion_news","news","5da072280cab37e8423dfa266136685f","linked","linked","已关联","Shapes | Character.AI / Replika / Chai | PolyBuzz / HiWaifu / Linky | PolyBuzz | Known","official/social evidence | funding timeline | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-04-08T00:26:40.000Z","AI companion app revenue up 30 percent, Zeta tops growth ranking","https://www.digitaltoday.co.kr/en/view/46285/ai-companion-app-revenue-up-30-percent-zeta-tops-growth-ranking"
