"名称","覆盖状态","线下模式","进入主表","融资/新闻事件数","monitor 近窗信号数","证据强度","来源层","所有结论","原因","下一步校验","融资/新闻证据","monitor 证据","原始证据"
"WeMeet by WeRoad","core","group travel","yes","1","0","solid","competitive matrix","已入 IRL 主表","Exa official/social pass 返回 WeRoad 的 WeMeet 官网和 Google Play：local events to connect with new people in real life，帮助用户参加本地活动并认识新人。","补一轮官方、社媒或下载量证据，再决定是否提升展示优先级。","2026.05 WeRoad $58M Series C: https://www.weroad.com/blog/weroad-closes-a-58-million-launch-us","","官网: https://www.weroad.com/wemeet | Google Play: https://play.google.com/store/apps/details?id=com.weroad.wemeet&hl=en_US"
"WeRoad","core-boundary","group travel","yes","1","0","solid","competitive matrix | funding/news timeline","已入 IRL 主表 | 已入近两年 IRL/边界事件","Exa monitor 新增提醒返回 WeRoad/Pulse2：2026-05 完成 5800 万美元 Series C，并与 Airbnb 相关资本一起扩张美国。 / $58M Series C","补一轮官方、社媒或下载量证据，再决定是否提升展示优先级。","2026.05 WeRoad $58M Series C: https://www.weroad.com/blog/weroad-closes-a-58-million-launch-us","","$58M Series C: https://www.weroad.com/blog/weroad-closes-a-58-million-launch-us | Pulse2: https://pulse2.com/weroad-58-million-series-c-raised-to-expand-group-travel-platform-into-the-united-states/"
"Bumble Bee","funding-news","dating / matchmaking","no","1","0","watch","funding/news timeline | supplemental funding/news","已入近两年 IRL/边界事件 | 补充 IRL/AI dating 信号","AI dating assistant launch","继续由 monitor 观察，出现产品级官网/融资/增长证据后再升级。","2026.03 Bumble Bee AI dating assistant launch: https://techcrunch.com/2026/03/12/bumble-introduces-an-ai-dating-assistant-bee/","","AI dating assistant launch: https://techcrunch.com/2026/03/12/bumble-introduces-an-ai-dating-assistant-bee/ | Bumble’s AI assistant Bee will learn what you want from a relationship: https://thenextweb.com/news/bumble-bee-ai-assistant-dating-swipe"
"Friend","supplemental-signal","dating / matchmaking","no","1","0","watch","supplemental funding/news","补充 IRL/AI dating 信号","$5.4M additional raise / real-world AI friend","继续由 monitor 观察，出现产品级官网/融资/增长证据后再升级。","2024.12 Friend $5.4M additional raise / real-world AI friend: https://www.theverge.com/2024/12/9/24315126/friend-pendant-artificial-intelligence-companionship-avi-schiffmann","","Friend’s AI chatbots have issues — and they want your help | The Verge: https://www.theverge.com/2024/12/9/24315126/friend-pendant-artificial-intelligence-companionship-avi-schiffmann"
"Known","supplemental-signal","dating / matchmaking","no","1","0","watch","supplemental funding/news","补充 IRL/AI dating 信号","nearly $10M / AI voice dating app","继续由 monitor 观察，出现产品级官网/融资/增长证据后再升级。","2026.05 Known nearly $10M / AI voice dating app: https://www.nbcbayarea.com/news/local/stanford-known-dating-app-ai/4091043/","","Stanford dropouts raise nearly $10M to launch AI dating app – NBC Bay Area: https://www.nbcbayarea.com/news/local/stanford-known-dating-app-ai/4091043/"
"Sitch / AI matchmaking apps","supplemental-signal","dating / matchmaking","no","1","0","watch","supplemental funding/news","补充 IRL/AI dating 信号","AI + human matchmaking launch/funding signal","继续由 monitor 观察，出现产品级官网/融资/增长证据后再升级。","2025.06 Sitch / AI matchmaking apps AI + human matchmaking launch/funding signal: https://techcrunch.com/2026/03/12/bumble-introduces-an-ai-dating-assistant-bee/","","Bumble introduces an AI dating assistant, 'Bee' | TechCrunch: https://techcrunch.com/2026/03/12/bumble-introduces-an-ai-dating-assistant-bee/"
"Tinder Live Events","funding-news","dating / matchmaking","no","1","0","watch","funding/news timeline | supplemental funding/news","已入近两年 IRL/边界事件 | 补充 IRL/AI dating 信号","live events + AI features + group dating / IRL events / virtual speed dating","继续由 monitor 观察，出现产品级官网/融资/增长证据后再升级。","2026.05 Tinder Live Events live events + AI features + group dating: https://www.bloomberg.com/news/features/2026-05-20/tinder-launches-live-events-ai-features-and-group-dating-to-attract-gen-z","","live events + AI features + group dating: https://www.bloomberg.com/news/features/2026-05-20/tinder-launches-live-events-ai-features-and-group-dating-to-attract-gen-z | Dating Apps Bet on IRL Events | Dating Industry Insights: https://www.datingindustryinsights.com/resources/singles-economy/thursday-hinge-experience-led-dating-shift"
"China&#039;s AI Companion Apps Hit $7 Billion — Tech Giants Race to Cash In | singaporeinformer.com","monitor-known","local activity / nearby","no","0","4","watch","monitor recent","已覆盖/继续观察","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","继续由 monitor 观察，出现产品级官网/融资/增长证据后再升级。","","2026-06-18 monitor · 线下真人社交 OpenToBites Launches App That Enables Diners to Find Company by Sharing Tables: https://www.pureeconomic.com/2026/06/18/opentobites-launches-app-that-enables-diners-to-find-company-by-sharing-tables/ | 2026-06-17 monitor · 中国 AI 社交出海 China&#039;s AI Companion Apps Hit $7 Billion — Tech Giants Race to Cash In | singaporeinformer.com: https://singaporeinformer.com/2026/06/17/chinas-ai-companion-apps-hit-7-billion-tech-giants-race-to-cash-in/ | 2026-06-17 monitor · 投放 / 付费获客证据 Twice As Many Americans Are Now Using AI Companions Than Dating Apps: SensorTower Data: https://officechai.com/ai/twice-as-many-americans-are-now-using-ai-companions-than-dating-apps-sensortower-data/ | 2026-06-17 monitor · 投放 / 付费获客证据 China&#039;s AI Companion Apps Hit $7 Billion — Tech Giants Race to Cash In | singaporeinformer.com: https://singaporeinformer.com/2026/06/17/chinas-ai-companion-apps-hit-7-billion-tech-giants-race-to-cash-in/","投放 / 付费获客证据: https://singaporeinformer.com/2026/06/17/chinas-ai-companion-apps-hit-7-billion-tech-giants-race-to-cash-in/"
"Happn Expands Its Presence in London With First Outdoor Advertising Campaign – Topgmnews","monitor-known","local activity / nearby","no","0","1","watch","monitor recent","已覆盖/继续观察","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","继续由 monitor 观察，出现产品级官网/融资/增长证据后再升级。","","2026-06-17 monitor · 投放 / 付费获客证据 Happn Expands Its Presence in London With First Outdoor Advertising Campaign – Topgmnews: https://www.topgmnews.com/2026/06/17/happn-expands-its-presence-in-london-with-first-outdoor-advertising-campaign/","投放 / 付费获客证据: https://www.topgmnews.com/2026/06/17/happn-expands-its-presence-in-london-with-first-outdoor-advertising-campaign/"
"OpenToBites Launches App That Enables Diners to Find Company by Sharing Tables","monitor-known","dinner / restaurant","no","0","1","watch","monitor recent","已覆盖/继续观察","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","继续由 monitor 观察，出现产品级官网/融资/增长证据后再升级。","","2026-06-18 monitor · 线下真人社交 OpenToBites Launches App That Enables Diners to Find Company by Sharing Tables: https://www.pureeconomic.com/2026/06/18/opentobites-launches-app-that-enables-diners-to-find-company-by-sharing-tables/","线下真人社交: https://www.pureeconomic.com/2026/06/18/opentobites-launches-app-that-enables-diners-to-find-company-by-sharing-tables/"
"Aglow Life","core","local activity / nearby","yes","0","0","seed","competitive matrix","已入 IRL 主表","Exa company 专项结果返回 Aglow Life：+300% YoY 团队增长，定位 local、unfiltered、get people off their phones and back into community。","补一轮官方、社媒或下载量证据，再决定是否提升展示优先级。","","","官网: https://aglow.life/"
"MeetMux","core","local activity / nearby","yes","0","0","seed","competitive matrix","已入 IRL 主表","Exa company 专项结果返回 MeetMux：AI-powered、activity-first social platform，25 人团队、+216.7% YoY，基于实时和计划活动发现附近的人。","补一轮官方、社媒或下载量证据，再决定是否提升展示优先级。","","","官网: https://meetmux.com/"
"Paxmeet","core","events / party","yes","0","0","seed","competitive matrix","已入 IRL 主表","Exa company 专项结果返回 Paxmeet：2025 年成立，KYC-verified people around you，通过 house party、poetry slam、wellness workshop、food crawl 连接陌生人。","补一轮官方、社媒或下载量证据，再决定是否提升展示优先级。","","","官网: https://paxmeet.com/"
"Weekend","core","local activity / nearby","yes","0","0","seed","competitive matrix","已入 IRL 主表","Exa company 专项结果返回 Weekend：帮助 young professionals build local communities and great friendships。","补一轮官方、社媒或下载量证据，再决定是否提升展示优先级。","","","官网: https://weekend.network/"
