"来源层","查询ID","类别","requestId","关联状态","复核层级","复核结论","匹配实体","匹配类型","复核原因","发布日期","原始标题","URL"
"main research","language_exchange_growth_signals","news","b7f2b1bb2fd379f81c7b5d08f91af595","linked","linked","已关联","Tandem | Conversation Exchange","official/social evidence","已关联到主表、时间线或官方/社媒证据。","","Tandem Language Exchange App | Find Conversation Exchange Partners","https://tandem.net/"
"main research","language_exchange_growth_signals","news","b7f2b1bb2fd379f81c7b5d08f91af595","linked","linked","已关联","HelloTalk | Tandem | Lingbe | Known | Lingbe / SpeakyParrot / Fluently","official/social evidence | funding candidate review | discovery review","已关联到主表、时间线或官方/社媒证据。","2020-06-10T16:37:08.000Z","12 best language exchange apps and websites in 2026","https://preply.com/en/blog/language-exchange-app/"
"main research","language_exchange_growth_signals","news","b7f2b1bb2fd379f81c7b5d08f91af595","linked","linked","已关联","HelloTalk | Tandem | Hilokal | Friend | Bumble Bee","official/social evidence | funding candidate review | funding timeline","已关联到主表、时间线或官方/社媒证据。","","HelloTalk - Learn Languages - Apps on Google Play","https://play.google.com/store/apps/details?hl=en_US&id=com.hellotalk"
"main research","language_exchange_growth_signals","news","b7f2b1bb2fd379f81c7b5d08f91af595","linked","linked","已关联","HelloTalk | Tandem | Slowly","official/social evidence","已关联到主表、时间线或官方/社媒证据。","","Slowly: Cari Teman Curhat","https://play.google.com/store/apps/details?id=com.slowlyapp&hl=id"
"main research","language_exchange_growth_signals","news","b7f2b1bb2fd379f81c7b5d08f91af595","linked","linked","已关联","HelloTalk | Tinder Live Events","official/social evidence | funding timeline","已关联到主表、时间线或官方/社媒证据。","2025-06-19T18:36:36.000Z","96%的自然增长，在大厂没做成的赛道，这家创业公司悄悄做到6000万用户｜对话一线_腾讯新闻","https://news.qq.com/rain/a/20250619A08BA600"
"main research","language_exchange_growth_signals","news","b7f2b1bb2fd379f81c7b5d08f91af595","linked","linked","已关联","HelloTalk | Slowly","official/social evidence","已关联到主表、时间线或官方/社媒证据。","","Best Language Exchange Apps in 2026 - Ranked for Real Speaking Practice","https://www.hellotalk.com/en/blog/best-language-exchange-apps"
"main research","language_exchange_growth_signals","news","b7f2b1bb2fd379f81c7b5d08f91af595","linked","linked","已关联","HelloTalk | Tandem","official/social evidence","已关联到主表、时间线或官方/社媒证据。","","美国留学语言社交必备 APP，HelloTalk 领衔来袭 —广东站—教育在线","https://www.eol.cn/guangdong/gdjc/202603/t20260331_2725641.shtml"
"main research","language_exchange_growth_signals","news","b7f2b1bb2fd379f81c7b5d08f91af595","linked","linked","已关联","HelloTalk | Tandem | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2025-12-23T14:34:50.000Z","HelloTalk App Review: Is This the Smartest Way to Learn a Language in 2025?","https://www.youtube.com/watch?v=P9RhXJNnfUM"
"main research","language_exchange_growth_signals","news","b7f2b1bb2fd379f81c7b5d08f91af595","linked","linked","已关联","HelloTalk","official/social evidence","已关联到主表、时间线或官方/社媒证据。","","96%的自然增长，在大厂没做成的赛道，这家创业公司悄悄做到6000万用户｜对话一线","https://www.10100.com/article/1173965"
"main research","new_language_exchange_companies","company","2b1b35cb9e9c34898818f87b3c40c055","linked","linked","已关联","MatchaLingua","product matrix","已关联到主表、时间线或官方/社媒证据。","2026-04-16T00:00:00.000Z","MatchaLingua","https://matchalingua.com/"
"main research","new_language_exchange_companies","company","2b1b35cb9e9c34898818f87b3c40c055","linked","linked","已关联","Linguado","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2026-04-30T00:00:00.000Z","Linguado","https://linguado.com/"
"main research","new_language_exchange_companies","company","2b1b35cb9e9c34898818f87b3c40c055","linked","linked","已关联","LangPal","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2026-05-01T00:00:00.000Z","LangPal","https://lang-pal.com/"
"main research","new_language_exchange_companies","company","2b1b35cb9e9c34898818f87b3c40c055","linked","linked","已关联","SewaYou | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-05-02T00:00:00.000Z","SewaYou","https://sewayou.com/"
"main research","new_language_exchange_companies","company","2b1b35cb9e9c34898818f87b3c40c055","linked","linked","已关联","Talk4Now | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-05-03T00:00:00.000Z","Talk4Now","https://talk4now.com/"
"main research","new_language_exchange_companies","company","2b1b35cb9e9c34898818f87b3c40c055","linked","linked","已关联","Hilokal | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-04-23T00:00:00.000Z","Hilokal","https://hilokal.com/"
"main research","new_language_exchange_companies","company","2b1b35cb9e9c34898818f87b3c40c055","linked","linked","已关联","Tandem | Conversation Exchange","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2026-05-21T00:00:00.000Z","Tandem","https://tandem.net/"
"main research","new_language_exchange_companies","company","2b1b35cb9e9c34898818f87b3c40c055","linked","linked","已关联","Conversation Exchange","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2026-04-23T00:00:00.000Z","Conversation Exchange","https://conversationexchange.com/"
"main research","new_language_exchange_companies","company","2b1b35cb9e9c34898818f87b3c40c055","linked","linked","已关联","HelloTalk","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2026-04-30T00:00:00.000Z","HelloTalk","https://hellotalk.com/"
"main research","new_language_exchange_companies","company","2b1b35cb9e9c34898818f87b3c40c055","unlinked-review","product-candidate","候选补证","","","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","2026-04-26T00:00:00.000Z","LingoPraxis - English Speaking Club","https://lingopraxis.com/"
"main research","new_language_exchange_companies","company","2b1b35cb9e9c34898818f87b3c40c055","linked","linked","已关联","FluentPal | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-04-27T00:00:00.000Z","FluentPal Ltd","https://fluentpal.net/"
"main research","new_language_exchange_companies","company","2b1b35cb9e9c34898818f87b3c40c055","unlinked-review","signal-candidate","信号复核","","","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","2026-04-25T00:00:00.000Z","Parlai","https://parlai.app/"
"main research","ai_social_funding_news","news","24194d6d0837a90f3f6b2c26823d636a","linked","linked","已关联","Status AI | Friend | Fai Nur","official/social evidence | funding candidate review | residual signal review","已关联到主表、时间线或官方/社媒证据。","2026-05-19T14:00:00.000Z","Forget the feed: Status AI raises $17M to turn social media into interactive entertainment | TechCrunch","https://techcrunch.com/2026/05/19/gamified-social-media-network-status-announces-17m-funding-to-help-usher-in-new-era-of-social-networking/"
"main research","ai_social_funding_news","news","24194d6d0837a90f3f6b2c26823d636a","linked","linked","已关联","Character.AI / Replika / Chai | Butterflies","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2024-06-18T16:00:00.000Z","Former Snap engineer launches Butterflies, a social network where AIs and humans coexist | TechCrunch","https://techcrunch.com/2024/06/18/former-snap-engineer-launches-butterflies-a-social-network-where-ais-and-humans-coexist/"
"main research","ai_social_funding_news","news","24194d6d0837a90f3f6b2c26823d636a","linked","linked","已关联","Tolan / Portola | Tolan | Friend","product matrix | funding timeline | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2025-07-07T17:26:11.000Z","AI companionship app Tolan raises $20M to help more people grow with a virtual alien friend – GeekWire","https://www.geekwire.com/2025/ai-companionship-app-tolan-raises-20m-to-help-more-people-grow-with-a-virtual-alien-friend/"
"main research","ai_social_funding_news","news","24194d6d0837a90f3f6b2c26823d636a","linked","linked","已关联","Character.AI / Replika / Chai | Dippy AI","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2024-10-23T00:00:00.000Z","Dippy AI launches censorship-free, proactive AI Companions – Intelligent CIO North America","https://www.intelligentcio.com/north-america/2024/10/23/dippy-ai-launches-censorship-free-proactive-ai-companions/"
"main research","ai_social_funding_news","news","24194d6d0837a90f3f6b2c26823d636a","linked","linked","已关联","Character.AI / Replika / Chai | Butterflies","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2024-06-18T18:49:43.000Z","AIs are coming for social networks | The Verge","https://www.theverge.com/2024/6/18/24181196/butterflies-app-ai-chatbots-social-media"
"main research","ai_social_funding_news","news","24194d6d0837a90f3f6b2c26823d636a","linked","linked","已关联","Born / Pengu | Friend | Known","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2025-09-10T13:00:00.000Z","AI gaming startup Born raises $15M to build 'social' AI companions that combat loneliness | TechCrunch","https://techcrunch.com/2025/09/10/born-maker-of-virtual-pet-pengu-raises-15m-to-launch-a-new-wave-of-social-ai-companions/"
"main research","ai_social_funding_news","news","24194d6d0837a90f3f6b2c26823d636a","linked","linked","已关联","Born / Pengu | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2024-06-20T14:00:00.000Z","Pengu creator Slay raises $5M for social gaming platform - GamesBeat","https://gamesbeat.com/pengu-creator-slay-raises-5m-for-social-gaming-platform/"
"main research","ai_social_funding_news","news","24194d6d0837a90f3f6b2c26823d636a","linked","linked","已关联","Butterflies AI | Butterflies","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2024-08-29T13:00:00.000Z","Social network Butterflies AI adds a feature that turns you into an AI character | TechCrunch","https://techcrunch.com/2024/08/29/social-network-butterflies-ai-adds-a-feature-that-turns-you-into-an-ai-character/"
"main research","ai_social_funding_news","news","24194d6d0837a90f3f6b2c26823d636a","linked","linked","已关联","Butterflies AI | Friend | Butterflies","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2024-06-18T12:00:00.000Z","Butterflies AI Raises Seed Round, Launches First Social","https://www.globenewswire.com/news-release/2024/06/18/2900674/0/en/Butterflies-AI-Raises-Seed-Round-Launches-First-Social-Media-Platform-Where-People-and-AI-Friends-Co-Exist.html"
"main research","ai_social_funding_news","news","24194d6d0837a90f3f6b2c26823d636a","linked","linked","已关联","Character.AI / Replika / Chai | Born / Pengu | Known","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2025-09-10T15:22:59.000Z","Accel backs ‘co-parenting’ AI companion app in $15m Series A | Sifted","https://sifted.eu/articles/born-15m-series-a"
"main research","ai_social_funding_news","news","24194d6d0837a90f3f6b2c26823d636a","linked","linked","已关联","Butterflies AI | Friend | Butterflies","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2024-06-27T21:08:15.000Z","Butterflies AI: Social Media Company Raises $4.8 Million To Help People Connect With AI Characters","https://pulse2.com/butterflies-ai-social-media-company-raises-4-8-million-to-help-people-connect-with-ai-characters/"
"main research","ai_social_funding_news","news","24194d6d0837a90f3f6b2c26823d636a","linked","linked","已关联","Butterflies AI | Friend | Butterflies","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2024-06-18T16:00:00.000Z","Butterflies AI Raises Seed Round, Launches First Social Media Platform Where People and AI Friends Co-Exist","https://www.einpresswire.com/article/720967914/butterflies-ai-raises-seed-round-launches-first-social-media-platform-where-people-and-ai-friends-co-exist"
"main research","ai_companion_roleplay_funding_news","news","d729d3ca9f916a8a9e3babadcf32039d","linked","linked","已关联","Character.AI / Replika / Chai | Kindroid / Nomi / Blush | Known | Janitor AI / DreamGF / EverAI | Janitor AI","official/social evidence | product matrix | funding candidate review | discovery review | candidate review","已关联到主表、时间线或官方/社媒证据。","2025-08-20T15:10:09.000Z","Character.AI in talks to sell or raise new funding as chatbot costs pile up - Tech Startups","https://techstartups.com/2025/08/20/character-ai-in-talks-to-sell-or-raise-new-funding-as-chatbot-costs-pile-up/"
"main research","ai_companion_roleplay_funding_news","news","d729d3ca9f916a8a9e3babadcf32039d","linked","linked","已关联","Character.AI / Replika / Chai","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2023-03-23T00:00:00.000Z","Personalized Superintelligence Platform Character.AI Secures $150M in Series A Funding Led by Andreessen Horowitz","https://www.businesswire.com/news/home/20230323005299/en/Personalized-Superintelligence-Platform-Character.AI-Secures-%24150M-in-Series-A-Funding-Led-by-Andreessen-Horowitz"
"main research","ai_companion_roleplay_funding_news","news","d729d3ca9f916a8a9e3babadcf32039d","linked","linked","已关联","Character.AI / Replika / Chai | Talkie / MiniMax | PolyBuzz / HiWaifu / Linky | HiWaifu","official/social evidence | funding timeline","已关联到主表、时间线或官方/社媒证据。","2024-10-31T00:00:13.000Z","Chinese AI unicorn MiniMax scores big in US with Talkie chatbot entertainment app | South China Morning Post","https://www.scmp.com/tech/tech-trends/article/3284511/chinese-ai-unicorn-minimax-scores-big-us-talkie-chatbot-entertainment-app"
"main research","ai_companion_roleplay_funding_news","news","d729d3ca9f916a8a9e3babadcf32039d","linked","linked","已关联","Caveduck / Charms / Pictoria / CODE27 | Caveduck","product matrix | funding timeline","已关联到主表、时间线或官方/社媒证据。","2026-04-02T00:56:56.000Z","Caveduck's $3.2M Series A Validates the AI Roleplay Creator Economy | StartupXO","https://startupxo.com/en/news/2026/04/caveduck-s-3-2m-series-a-validates-the-ai-roleplay-creator-economy/"
"main research","ai_companion_roleplay_funding_news","news","d729d3ca9f916a8a9e3babadcf32039d","linked","linked","已关联","Caveduck / Charms / Pictoria / CODE27 | Pictoria | Friend","product matrix | funding timeline | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-04-30T11:29:37.000Z","Pictoria Raises $2 Million to Expand AI Character Business - OHYASHIMA","https://ohyashima.com/business/pictoria-raises-2-million-to-expand-ai-character-business/"
"main research","ai_companion_roleplay_funding_news","news","d729d3ca9f916a8a9e3babadcf32039d","linked","linked","已关联","Caveduck / Charms / Pictoria / CODE27 | Charms","product matrix | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-05-12T13:00:00.000Z","Charms closes $1.5M pre-seed to launch the AI character economy | TechCrunch","https://techcrunch.com/press-release/charms-closes-1-5m-pre-seed-to-launch-the-ai-character-economy/"
"main research","ai_companion_roleplay_funding_news","news","d729d3ca9f916a8a9e3babadcf32039d","linked","linked","已关联","Weekend","product matrix","已关联到主表、时间线或官方/社媒证据。","2026-06-02T18:06:14.000Z","Sekai Raises $26M in Seed and Series A as Users Create, Play, and Remix 15 Million Mini-Apps","https://www.streetinsider.com/Pinion+Newswire/Sekai+Raises+%2426M+in+Seed+and+Series+A+as+Users+Create%2C+Play%2C+and+Remix+15+Million+Mini-Apps/26590599.html"
"main research","ai_companion_roleplay_funding_news","news","d729d3ca9f916a8a9e3babadcf32039d","unlinked-review","signal-candidate","信号复核","","","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","2026-06-01T13:00:04.000Z","Sekai raises $20 million as people create 15 million AI mini apps","https://www.axios.com/2026/06/01/sekai-mini-app-startup-funding"
"main research","ai_companion_roleplay_funding_news","news","d729d3ca9f916a8a9e3babadcf32039d","linked","linked","已关联","Character.AI / Replika / Chai | Caveduck / Charms / Pictoria / CODE27 | Charms","official/social evidence | product matrix | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-05-12T13:00:20.000Z","Charms Raises $1.5M Pre-Seed to Bring the AI Character Economy Onchain | Currency News |  Financial and Business News | Markets Insider","https://markets.businessinsider.com/news/currencies/charms-raises-1-5m-pre-seed-to-bring-the-ai-character-economy-onchain-1036143105"
"main research","ai_companion_roleplay_funding_news","news","d729d3ca9f916a8a9e3babadcf32039d","linked","linked","已关联","Character.AI / Replika / Chai | Caveduck / Charms / Pictoria / CODE27 | Charms","official/social evidence | product matrix | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-05-13T07:05:26.000Z","Charms Raises $1.5M Pre-Seed to Bring the AI Character Economy Onchain - Optimisus","https://optimisus.com/news/crypto-news/charms-raises-1-5m-pre-seed-to-bring-the-ai-character-economy-onchain/"
"main research","ai_companion_roleplay_funding_news","news","d729d3ca9f916a8a9e3babadcf32039d","linked","linked","已关联","Character.AI / Replika / Chai | Talkie / MiniMax | PolyBuzz / HiWaifu / Linky | HiWaifu | PolyBuzz","official/social evidence | funding timeline","已关联到主表、时间线或官方/社媒证据。","2025-06-04T18:21:04.000Z","不拿融资、千万年营收，重庆14人团队做出全球AI社交Top7｜对话创始人_腾讯新闻","https://news.qq.com/rain/a/20250604A07KU500"
"main research","ai_companion_roleplay_funding_news","news","d729d3ca9f916a8a9e3babadcf32039d","linked","linked","已关联","Character.AI / Replika / Chai | Caveduck / Charms / Pictoria / CODE27 | Charms","official/social evidence | product matrix | funding candidate review","已关联到主表、时间线或官方/社媒证据。","","Charms Raises $1.5M Pre-Seed to Bring the AI Character Economy Onchain | MEXC News","https://www.mexc.com/news/1084726"
"main research","mature_ai_companion_products","company","493578981c49802ec888153b4e18202c","linked","linked","已关联","Character.AI / Replika / Chai | Caveduck / Charms / Pictoria / CODE27 | Charms | Known","official/social evidence | product matrix | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-04-26T00:00:00.000Z","Character.ai","https://character.ai/"
"main research","mature_ai_companion_products","company","493578981c49802ec888153b4e18202c","linked","linked","已关联","Kindroid / Nomi / Blush","product matrix","已关联到主表、时间线或官方/社媒证据。","2026-04-29T00:00:00.000Z","Kindroid","https://kindroid.ai/"
"main research","mature_ai_companion_products","company","493578981c49802ec888153b4e18202c","linked","linked","已关联","Talkie / MiniMax","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2026-04-29T00:00:00.000Z","Talkie","https://talkie-ai.com/"
"main research","mature_ai_companion_products","company","493578981c49802ec888153b4e18202c","linked","linked","已关联","Janitor AI / DreamGF / EverAI | Janitor AI","discovery review | candidate review","已关联到主表、时间线或官方/社媒证据。","2026-04-30T00:00:00.000Z","Janitor AI","https://janitor-ai.org/"
"main research","mature_ai_companion_products","company","493578981c49802ec888153b4e18202c","linked","linked","已关联","Character.AI / Replika / Chai | SocialAI / Oasiz","official/social evidence | discovery review","已关联到主表、时间线或官方/社媒证据。","2026-05-01T00:00:00.000Z","CHAI AI","https://chai.ai/"
"main research","mature_ai_companion_products","company","493578981c49802ec888153b4e18202c","linked","linked","已关联","PolyBuzz / HiWaifu / Linky | PolyBuzz","official/social evidence | funding timeline","已关联到主表、时间线或官方/社媒证据。","2026-05-03T00:00:00.000Z","PolyBuzz","https://polyai.ai/"
"main research","mature_ai_companion_products","company","493578981c49802ec888153b4e18202c","linked","linked","已关联","Character.AI / Replika / Chai | Kindroid / Nomi / Blush","official/social evidence | product matrix","已关联到主表、时间线或官方/社媒证据。","2026-04-24T00:00:00.000Z","Blush AI","https://blush.ai/"
"main research","mature_ai_companion_products","company","493578981c49802ec888153b4e18202c","linked","linked","已关联","Character.AI / Replika / Chai | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-04-30T00:00:00.000Z","Kindred Labs","https://kindredlabs.ai/"
"main research","mature_ai_companion_products","company","493578981c49802ec888153b4e18202c","linked","linked","已关联","Character.AI / Replika / Chai","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2026-04-25T00:00:00.000Z","Replika","https://replika.com/"
"main research","mature_ai_companion_products","company","493578981c49802ec888153b4e18202c","linked","linked","已关联","Character.AI / Replika / Chai | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-05-23T00:00:00.000Z","Luka","https://luka.ai/"
"main research","mature_ai_companion_products","company","493578981c49802ec888153b4e18202c","linked","linked","已关联","Character.AI / Replika / Chai | ChatFai","official/social evidence | residual signal review","已关联到主表、时间线或官方/社媒证据。","2026-04-27T00:00:00.000Z","ChatFai","https://chatfai.com/"
"main research","mature_ai_companion_products","company","493578981c49802ec888153b4e18202c","unlinked-review","signal-candidate","信号复核","","","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","2026-05-01T00:00:00.000Z","Buddy.ai","https://buddy.ai/"
"main research","mature_ai_companion_news","news","2c72a6aa148243baed9fffaa736e7d14","linked","linked","已关联","Character.AI / Replika / Chai","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2026-04-30T23:28:00.000Z","CHAI AI, Backed by CoreWeave and AMD, Hits $80M ARR with talks of $2.4B Valuation","https://www.prnewswire.com/news-releases/chai-ai-backed-by-coreweave-and-amd-hits-80m-arr-with-talks-of-2-4b-valuation-302759626.html"
"main research","mature_ai_companion_news","news","2c72a6aa148243baed9fffaa736e7d14","linked","linked","已关联","Character.AI / Replika / Chai | Kindroid / Nomi / Blush | Friend","official/social evidence | product matrix | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-03-23T10:42:31.000Z","eSafety report shows AI companions are putting children at risk | eSafety Commissioner","https://www.esafety.gov.au/newsroom/media-releases/esafety-report-shows-ai-companions-are-putting-children-at-risk"
"main research","mature_ai_companion_news","news","2c72a6aa148243baed9fffaa736e7d14","linked","linked","已关联","Character.AI / Replika / Chai | Known | Janitor AI / DreamGF / EverAI | Janitor AI","official/social evidence | funding candidate review | discovery review | candidate review","已关联到主表、时间线或官方/社媒证据。","2025-08-20T15:10:09.000Z","Character.AI in talks to sell or raise new funding as chatbot costs pile up - Tech Startups","https://techstartups.com/2025/08/20/character-ai-in-talks-to-sell-or-raise-new-funding-as-chatbot-costs-pile-up/"
"main research","mature_ai_companion_news","news","2c72a6aa148243baed9fffaa736e7d14","linked","linked","已关联","Character.AI / Replika / Chai | Kindroid / Nomi / Blush | Known","official/social evidence | product matrix | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2025-04-30T09:00:00.000Z","AI companions unsafe for teens under 18, researchers say - Mental Health","https://me.mashable.com/mental-health/55311/ai-companions-unsafe-for-teens-under-18-researchers-say"
"main research","mature_ai_companion_news","news","2c72a6aa148243baed9fffaa736e7d14","linked","linked","已关联","Character.AI / Replika / Chai | Known","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2025-08-21T17:37:00.000Z","Character.AI Weighs Sale or New Funding Amid Legal and Cost Pressures","https://www.ainews.com/p/character-ai-weighs-sale-or-new-funding-amid-legal-and-cost-pressures"
"main research","mature_ai_companion_news","news","2c72a6aa148243baed9fffaa736e7d14","linked","linked","已关联","Shapes | Character.AI / Replika / Chai | PolyBuzz / HiWaifu / Linky | PolyBuzz | Known","official/social evidence | funding timeline | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-04-08T00:26:40.000Z","AI companion app revenue up 30 percent, Zeta tops growth ranking","https://www.digitaltoday.co.kr/en/view/46285/ai-companion-app-revenue-up-30-percent-zeta-tops-growth-ranking"
"main research","mature_ai_companion_news","news","2c72a6aa148243baed9fffaa736e7d14","linked","linked","已关联","Character.AI / Replika / Chai | Kindroid / Nomi / Blush | Friend","official/social evidence | product matrix | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2024-07-24T08:00:00.000Z","AI boyfriends from Replika and Nomi are attracting more women","https://www.axios.com/2024/07/24/ai-boyfriend-replika-nomi-chatbot"
"main research","mature_ai_companion_news","news","2c72a6aa148243baed9fffaa736e7d14","linked","linked","已关联","Character.AI / Replika / Chai","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2026-05-02T13:07:45.000Z","AI Companions Are Killing Teenagers. The Settlements Are In. Nobody Changed Anything. | by Manav Gupta | May, 2026 | Medium","https://medium.com/@Tensorboy/ai-companions-are-killing-teenagers-the-settlements-are-in-nobody-changed-anything-8e384af2f59e"
