"名称","来源","处理结论","目标主线","升级路径","动作建议","优先级","状态","发布日期","原因","证据"
"How Brez Is Winning Meta in 2026 With a Radical Creative Rotation System – D2C Times","2026-06-08 monitor · 投放 / 付费获客证据","投放平台背景","投放/付费获客证据","补 paid-acquisition evidence audit","用于判断是否存在明确广告投放、素材、获客成本、ROAS 或投放后下载变化；不直接升级产品或融资结论。","medium","new","2026-06-08T04:40:42.000Z","Caden Lane / D2C 广告归因文章是电商品牌投放与 Meta signal stack 的平台背景信号，可用于 paid-acquisition evidence audit 的补证方法论；当前不指向 AI 社交、语言交换或 IRL 产品的投放行为，不能升级为产品级明确买量证据。","投放 / 付费获客证据: https://d2c-times.com/how-brez-is-winning-meta-in-2026-with-a-radical-creative-rotation-system/"
"AI Marketing Tool AdLibrary.com Launches the First Cross-Platform Ad Library With Over 1 Billion Ads and AI-Powered Creative Analysis – North Headlines","2026-06-08 monitor · 投放 / 付费获客证据","投放证据候选","投放/付费获客证据","补 paid-acquisition evidence audit","用于判断是否存在明确广告投放、素材、获客成本、ROAS 或投放后下载变化；不直接升级产品或融资结论。","medium","new","2026-06-08T00:00:00.000Z","该信号来自投放/付费获客 monitor lane，先进入 paid-acquisition evidence audit 的补证路径；只有出现广告素材库、投放平台、CAC/ROAS、买量或投放后下载变化等明确证据时，才把对应产品从方向性渠道升级为明确投放证据。","投放 / 付费获客证据: https://www.northheadlines.com/ai-marketing-tool-adlibrary-com-launches-the-first-cross-platform-ad-library-with-over-1-billion-ads-and-ai-powered-creative-analysis/"
"Duolingo Revives Lost Streaks Through a Soap-Opera Inspired Campaign","2026-06-06 monitor · 投放 / 付费获客证据","投放证据候选","投放/付费获客证据","补 paid-acquisition evidence audit","用于判断是否存在明确广告投放、素材、获客成本、ROAS 或投放后下载变化；不直接升级产品或融资结论。","medium","new","2026-06-06T06:47:59.000Z","该信号来自投放/付费获客 monitor lane，先进入 paid-acquisition evidence audit 的补证路径；只有出现广告素材库、投放平台、CAC/ROAS、买量或投放后下载变化等明确证据时，才把对应产品从方向性渠道升级为明确投放证据。","投放 / 付费获客证据: https://www.medianews4u.com/duolingo-revives-lost-streaks-through-a-soap-opera-inspired-campaign/"
"ChatGPT ads reach the UK as ad tech's infrastructure bets pile up","2026-06-06 monitor · 投放 / 付费获客证据","投放证据候选","投放/付费获客证据","补 paid-acquisition evidence audit","用于判断是否存在明确广告投放、素材、获客成本、ROAS 或投放后下载变化；不直接升级产品或融资结论。","medium","new","2026-06-06T04:13:41.000Z","该信号来自投放/付费获客 monitor lane，先进入 paid-acquisition evidence audit 的补证路径；只有出现广告素材库、投放平台、CAC/ROAS、买量或投放后下载变化等明确证据时，才把对应产品从方向性渠道升级为明确投放证据。","投放 / 付费获客证据: https://ppc.land/chatgpt-ads-reach-the-uk-as-ad-techs-infrastructure-bets-pile-up/"
"Korean language app Teuida surpasses 6 million downloads with AI-driven conversation simulations","2026-06-05 monitor · 语言交换 / 跨文化社交","已覆盖/继续观察","语言交换/跨文化社交","补语言交换长尾或主表功能差异","优先补增长信号、渠道和是否有线下面基/地图/语音房能力。","medium","known","2026-06-05T23:48:55.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","语言交换 / 跨文化社交: https://completeaitraining.com/news/korean-language-app-teuida-surpasses-6-million-downloads/"
"Korean language app Teuida surpasses 6 million downloads with AI-driven conversation simulations","2026-06-05 monitor · 投放 / 付费获客证据","已覆盖/继续观察","投放/付费获客证据","补 paid-acquisition evidence audit","用于判断是否存在明确广告投放、素材、获客成本、ROAS 或投放后下载变化；不直接升级产品或融资结论。","medium","known","2026-06-05T23:48:55.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","投放 / 付费获客证据: https://completeaitraining.com/news/korean-language-app-teuida-surpasses-6-million-downloads/"
"The AI Tutor Trick That Gets Language Learners Talking","2026-06-05 monitor · 语言交换 / 跨文化社交","已覆盖/继续观察","融资/商业化","补 funding timeline 或 funding-news review","核对日期、金额、轮次和证据源后再升级进近两年融资/新闻统计。","medium","known","2026-06-05T16:37:25.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","语言交换 / 跨文化社交: https://www.vallartadaily.com/puerto-vallarta-news/the-ai-tutor-trick-that-gets-language-learners-talking/"
"[INTERVIEW] UC Berkeley graduate creates AI-powered app to make learning Korean more immersive - The Korea Times","2026-06-05 monitor · 语言交换 / 跨文化社交","已覆盖/继续观察","融资/商业化","补 funding timeline 或 funding-news review","核对日期、金额、轮次和证据源后再升级进近两年融资/新闻统计。","medium","known","2026-06-05T03:00:03.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","语言交换 / 跨文化社交: https://www.koreatimes.co.kr/business/20260605/uc-berkeley-graduate-creates-ai-powered-app-to-make-learning-korean-more-immersive"
"TikTok's new Events app rewards users for generating buzz about big events - Tubefilter","2026-06-05 monitor · Residual IRL watchlist","已覆盖/继续观察","线下真人社交","优先判断是否补 IRL 产品或融资/新闻时间线","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","medium","known","2026-06-05T00:05:41.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","Residual IRL watchlist: https://www.tubefilter.com/2026/06/04/tiktok-pro-events-app-world-cup/"
"Meta launches Creator Assistant AI for Facebook creators","2026-06-04 monitor · Coverage signal watchlist","已覆盖/继续观察","覆盖缺口信号","补 source linkage / candidate deep-dive / funding-news review","用于追踪未闭环 signal-candidate；出现融资、上线、下载、收入或官方证据时再升级。","medium","known","2026-06-04T16:57:07.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","Coverage signal watchlist: https://thenextweb.com/news/meta-launches-an-ai-assistant-that-tells-facebook-creators-why-their-content-works-not-just-that-it-did"
"From Install Counts to Player Value: Introducing Unity Vector-Based ROAS Campaigns - Inven Global","2026-06-04 monitor · 投放 / 付费获客证据","投放证据候选","投放/付费获客证据","补 paid-acquisition evidence audit","用于判断是否存在明确广告投放、素材、获客成本、ROAS 或投放后下载变化；不直接升级产品或融资结论。","medium","new","2026-06-04T00:00:00.000Z","该信号来自投放/付费获客 monitor lane，先进入 paid-acquisition evidence audit 的补证路径；只有出现广告素材库、投放平台、CAC/ROAS、买量或投放后下载变化等明确证据时，才把对应产品从方向性渠道升级为明确投放证据。","投放 / 付费获客证据: https://www.invenglobal.com/articles/22477/from-install-counts-to-player-value-introducing-unity-vector-based-roas-campaigns"
"Meta business agent global launch whatsapp instagram messenger","2026-06-04 monitor · Coverage signal watchlist","已覆盖/继续观察","线下真人社交","优先判断是否补 IRL 产品或融资/新闻时间线","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","medium","known","2026-06-04T00:00:00.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","Coverage signal watchlist: https://blog.squidcircle.com/meta-business-agent-global-launch-whatsapp-instagram-messenger/"
"Why Admiral Media built an AI creative system that reduced fasting app costs 70% | The Drum","2026-06-03 monitor · 投放 / 付费获客证据","已覆盖/继续观察","投放/付费获客证据","补 paid-acquisition evidence audit","用于判断是否存在明确广告投放、素材、获客成本、ROAS 或投放后下载变化；不直接升级产品或融资结论。","medium","known","2026-06-03T22:11:00.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","投放 / 付费获客证据: https://www.thedrum.com/awards-case-study/why-admiral-media-built-an-ai-creative-system-that-reduced-fasting-app-costs-70"
"Be There for Every Customer With Meta Business Agent","2026-06-03 monitor · Coverage signal watchlist","已覆盖/继续观察","线下真人社交","优先判断是否补 IRL 产品或融资/新闻时间线","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","medium","known","2026-06-03T13:40:12.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","Coverage signal watchlist: https://about.fb.com/news/2026/06/meta-business-agent/"
"Partiful Launches Ticketing, Bringing Paid Events Into the Social Platform Where People Already Make Plans | Morningstar","2026-06-03 monitor · Residual IRL watchlist","已覆盖/继续观察","线下真人社交","优先判断是否补 IRL 产品或融资/新闻时间线","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","medium","known","2026-06-03T00:59:00.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","Residual IRL watchlist: https://www.morningstar.com/news/pr-newswire/20260602ny74669/partiful-launches-ticketing-bringing-paid-events-into-the-social-platform-where-people-already-make-plans"
"Nectar Social Raises $30M, Rebrands Itself as Nectar Agent - Demand Gen Report","2026-06-02 monitor · Coverage signal watchlist","已覆盖/继续观察","覆盖缺口信号","补 source linkage / candidate deep-dive / funding-news review","用于追踪未闭环 signal-candidate；出现融资、上线、下载、收入或官方证据时再升级。","medium","known","2026-06-02T19:00:16.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","Coverage signal watchlist: https://www.demandgenreport.com/industry-news/news-brief/nectar-social-raises-30m-rebrands-itself-as-nectar-agent/53121/"
"Partiful is turning party invites into a payments business - Startup Fortune","2026-06-02 monitor · Residual IRL watchlist","已覆盖/继续观察","线下真人社交","优先判断是否补 IRL 产品或融资/新闻时间线","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","medium","known","2026-06-02T17:39:57.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","Residual IRL watchlist: https://startupfortune.com/partiful-is-turning-party-invites-into-a-payments-business/"
"Meta is building an AI Pendant and this time it has a working wearables business behind it — TFN","2026-06-01 monitor · Coverage signal watchlist","已覆盖/继续观察","覆盖缺口信号","补 source linkage / candidate deep-dive / funding-news review","用于追踪未闭环 signal-candidate；出现融资、上线、下载、收入或官方证据时再升级。","medium","known","2026-06-01T13:57:16.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","Coverage signal watchlist: https://techfundingnews.com/meta-is-building-an-ai-pendant-and-this-time-it-has-a-working-wearables-business-behind-it/"
"YaraCircle","2026-05-29 monitor · 新公司 / 新产品","已覆盖/继续观察","线下真人社交","优先判断是否补 IRL 产品或融资/新闻时间线","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","medium","known","2026-05-29T00:00:00.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","新公司 / 新产品: https://yaracircle.com/"
"AppLovin Launches Its Own TikTok Rival","2026-05-28 monitor · Residual IRL watchlist","已覆盖/继续观察","线下真人社交","优先判断是否补 IRL 产品或融资/新闻时间线","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","medium","known","2026-05-28T21:29:13.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","Residual IRL watchlist: https://wersm.com/applovin-launches-its-own-tiktok-rival/"
"OpenAI turns on cost-per-action ads inside ChatGPT","2026-05-28 monitor · 投放 / 付费获客证据","已覆盖/继续观察","投放/付费获客证据","补 paid-acquisition evidence audit","用于判断是否存在明确广告投放、素材、获客成本、ROAS 或投放后下载变化；不直接升级产品或融资结论。","medium","known","2026-05-28T14:40:31.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","投放 / 付费获客证据: https://digiday.com/marketing/openai-turns-on-cost-per-action-ads-inside-chatgpt/"
"Claude's Corner: Doomersion - TikTok for Language Learners | StartupHub.ai","2026-05-28 monitor · 投放 / 付费获客证据","已覆盖/继续观察","投放/付费获客证据","补 paid-acquisition evidence audit","用于判断是否存在明确广告投放、素材、获客成本、ROAS 或投放后下载变化；不直接升级产品或融资结论。","medium","known","2026-05-28T11:20:03.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","投放 / 付费获客证据: https://www.startuphub.ai/ai-news/claudes-corner/2026/claudes-corner-doomersion-yc-w2026"
