"产品/公司","主赛道","唯一事件数","主时间线事件数","补充候选事件数","重复佐证行","明确美元融资事件数","明确美元融资M","IRL/线下真人相关","最近日期","金额类型","来源类型","结论","证据"
"Known","AI dating features","1","0","1","0","1","10","yes","2026.05","explicit USD funding","web source","近两年明确美元融资约 $10M，包含 IRL/线下真人方向。","2026.05 nearly $10M / AI voice dating app: https://www.nbcbayarea.com/news/local/stanford-known-dating-app-ai/4091043/"
"Meet5","IRL / offline human social","1","1","0","0","1","9","yes","2025","explicit USD funding","media/news","近两年明确美元融资约 $9M，包含 IRL/线下真人方向。","2025 about $9M Series A: https://africa.businessinsider.com/news/read-the-pitch-deck-that-an-irl-social-startup-targeting-gen-x-and-boomers-used-to/1vbfey0"
"Timeleft","IRL / offline human social","1","1","0","0","1","7","yes","2026.03","explicit USD funding","funding database/news","近两年明确美元融资约 $7M，包含 IRL/线下真人方向。","2026.03 $7M Series A: https://www.trysignalbase.com/news/funding/timeleft-raises-70m-series-a-funding"
"Daze","AI social / entertainment","1","1","0","0","1","5.7","no","2024.10","explicit USD funding","media/news","近两年明确美元融资约 $5.7M，属于 AI 社交/泛娱乐或 companion 方向。","2024.10 $5.7M: https://techcrunch.com/2024/10/21/daze-a-creative-ai-powered-messaging-app-for-gen-z-is-blowing-up-prelaunch/"
"AI iMessage social network","AI social / entertainment","1","0","1","0","1","5.1","no","2026.04","explicit USD funding","media/news","近两年明确美元融资约 $5.1M，属于 AI 社交/泛娱乐或 companion 方向。","2026.04 $5.1M pre-seed: https://techcrunch.com/2026/04/24/two-college-kids-raise-a-5-1-million-pre-seed-to-build-an-ai-social-network-in-imessage/"
"Butterflies AI","AI social / entertainment","1","1","0","0","1","4.8","no","2024.06","explicit USD funding","press release","近两年明确美元融资约 $4.8M，属于 AI 社交/泛娱乐或 companion 方向。","2024.06 $4.8M seed: https://www.globenewswire.com/news-release/2024/06/18/2900674/0/en/Butterflies-AI-Raises-Seed-Round-Launches-First-Social-Media-Platform-Where-People-and-AI-Friends-Co-Exist.html"
"Caveduck","AI character / roleplay","1","1","0","0","1","3.2","no","2026.04","explicit USD funding","funding database/news","近两年明确美元融资约 $3.2M，属于 AI 社交/泛娱乐或 companion 方向。","2026.04 $3.2M Series A: https://startupxo.com/en/news/2026/04/caveduck-s-3-2m-series-a-validates-the-ai-roleplay-creator-economy/"
"Series","AI social / entertainment","1","1","0","0","1","3.1","no","2025.04","explicit USD funding","press release","近两年明确美元融资约 $3.1M，属于 AI 社交/泛娱乐或 companion 方向。","2025.04 $3.1M pre-seed: https://www.globenewswire.com/news-release/2025/04/04/3056141/0/en/Yale-founders-raise-3-1M-in-14-days-to-build-Series-the-anti-Facebook.html"
"Oasiz","AI social / entertainment","1","0","1","0","1","2.5","no","2025.10","explicit USD funding","web source","近两年明确美元融资约 $2.5M，属于 AI 社交/泛娱乐或 companion 方向。","2025.10 $2.5M seed: https://www.gamespress.com/Oasiz-Raises-25M-Seed-Round-to-Launch-Social-Platform-for-Viral-Playab"
"Dippy AI","AI companion","1","1","0","0","1","2.1","no","2024.10","explicit USD funding","funding database/news","近两年明确美元融资约 $2.1M，属于 AI 社交/泛娱乐或 companion 方向。","2024.10 $2.1M pre-seed: https://www.finsmes.com/2024/10/dippy-ai-raises-2-1m-in-pre-seed-funding.html"
"Pallie AI","AI companion","1","1","0","0","1","2","no","2025.04","explicit USD funding","press release","近两年明确美元融资约 $2M，属于 AI 社交/泛娱乐或 companion 方向。","2025.04 $2M pre-seed: https://www.prnewswire.com/news-releases/ai-companion-pallie-ai-raises-2-million-to-reduce-loneliness-and-improve-wellbeing-302441202.html"
"Charms","AI character / roleplay","1","1","0","0","1","1.5","no","2026.05","explicit USD funding","press release","近两年明确美元融资约 $1.5M，属于 AI 社交/泛娱乐或 companion 方向。","2026.05 $1.5M pre-seed: https://techcrunch.com/press-release/charms-closes-1-5m-pre-seed-to-launch-the-ai-character-economy/"
"AI companion apps market","AI companion","1","0","1","0","0","0","no","2025.08","business/news metric","media/news","近两年有业务/上线/收入或访问量新闻，但不是明确美元融资事件。","2025.08 $120M projected 2025 consumer spend: https://techcrunch.com/2025/08/12/ai-companion-apps-on-track-to-pull-in-120m-in-2025/"
"Breeze","IRL / offline human social","1","1","0","1","0","0","yes","2026.05","business/news metric","media/news","近两年有业务/上线/收入或访问量新闻，但不是明确美元融资事件。","2026.05 UK launch / anti-swipe IRL dating news: https://www.independent.co.uk/life-style/breeze-dating-app-tinder-hinge-b2983703.html"
"Bumble Bee","AI dating features","1","1","0","1","0","0","yes","2026.03","business/news metric","media/news","近两年有业务/上线/收入或访问量新闻，但不是明确美元融资事件。","2026.03 AI dating assistant launch: https://techcrunch.com/2026/03/12/bumble-introduces-an-ai-dating-assistant-bee/"
"HiWaifu","China AI companion export","1","1","0","0","0","0","no","2026.04","business/news metric","media/news","近两年有业务/上线/收入或访问量新闻，但不是明确美元融资事件。","2026.04 未融资；约 2000 万元年营收: https://www.baijing.cn/article/52888"
"Limitless","Other","1","0","1","0","0","0","no","2025.12","M&A","web source","近两年有补充候选或非美元/非融资类事件，需继续复核金额口径。","2025.12 Meta acquisition: https://techcrawlr.com/meta-acquires-limitless-halts-sales-of-ai-pendant-wearable/"
"Pictoria","AI character / roleplay","1","1","0","0","0","0","no","2026.04","non-USD funding/revenue","media/news","近两年有补充候选或非美元/非融资类事件，需继续复核金额口径。","2026.04 ¥330M: https://thebridge.jp/en/2026/04/pictoria-an-ai-character-company-raises-%c2%a5330-million-in-funding"
"PolyBuzz","China AI companion export","1","1","0","0","0","0","no","2026.02","business/news metric","media/news","近两年有业务/上线/收入或访问量新闻，但不是明确美元融资事件。","2026.02 约 4200 万月访问量: https://news.qq.com/rain/a/20260204A05BK500"
"RoamChat","AI social / entertainment","1","1","0","0","0","0","no","2026.05","business/news metric","press release","近两年有业务/上线/收入或访问量新闻，但不是明确美元融资事件。","2026.05 AI roaming social launch: https://www.prnewswire.com/news-releases/as-ai-is-redefining-how-strangers-connect-globally-roamchat-introduces-a-new-roaming-social-platform-302775994.html"
"Sitch / AI matchmaking apps","AI dating features","1","0","1","0","0","0","yes","2025.06","business/news metric","media/news","近两年有业务/上线/收入或访问量新闻，但不是明确美元融资事件。","2025.06 AI + human matchmaking launch/funding signal: https://techcrunch.com/2026/03/12/bumble-introduces-an-ai-dating-assistant-bee/"
"Thursday","IRL / offline human social","1","1","0","0","0","0","yes","2024.08","business/news metric","media/news","近两年有业务/上线/收入或访问量新闻，但不是明确美元融资事件。","2024.08 San Francisco launch / offline dating events: https://techcrunch.com/2024/08/08/thursday-dating-app-san-francisco-launch/"
"Tinder Live Events","IRL / offline human social","1","1","0","1","0","0","yes","2026.05","business/news metric","media/news","近两年有业务/上线/收入或访问量新闻，但不是明确美元融资事件。","2026.05 live events + AI features + group dating: https://www.bloomberg.com/news/features/2026-05-20/tinder-launches-live-events-ai-features-and-group-dating-to-attract-gen-z"
