"监控主题","优先级","状态","标题","发布日期","URL","摘要"
"中国 AI 社交出海","high","known","4月AI月报：全球原生AI下载3.65亿，豆包、即梦等大陆市场下载量全面收缩-36氪","2026-06-01T00:00:00.000Z","https://www.36kr.com/p/3832446191462021","2026年4月份，全球市场头部原生AI应用下载量增速出现分层，ChatGPT、Google Gemini环比增长几乎为0，大陆市场则出现整体性收缩，TOP10下载量几乎全线回落，存量博弈白热化，千问依旧占据投放榜首，占大盘比例超50%。 [...] 点点数据显示，2026年4月，全球（含中国大陆）原生AI APP苹果App Store与谷歌Google Play双端预估下载总量达3.65亿次（不含重复下载），环比下跌9.23%。 [...] 点点数据显示，2026年4月，大陆市场原生AI APP苹果端预估下载总量达2665.5万次（不含重复下载），环比下滑16.95%。 [...] 其中豆包、即梦AI、元宝、千问和蚂蚁阿福位列TOP 5，占据了大盘的69%。 [...] 具体来看，TOP 5应用中，豆包下载量占比达22%，环比3月提升了2个百分点，也是TOP 5中唯一一款占比超20%的应用，即梦AI、元宝和千问下载量占比均在15"
"中国 AI 社交出海","high","known","China’s MiniMax records 1-million client base, fivefold growth in half a year | South China Morning Post","2026-05-28T09:00:05.000Z","https://www.scmp.com/tech/tech-trends/article/3355156/chinas-minimax-records-1-million-client-base-fivefold-growth-half-year","China’s MiniMax records 1-million client base, fivefold growth in half a year | South China Morning Post Advertisement # China’s MiniMax records 1-million client base, fivefold growth in half a year ### Its global user base reaches 300 million while ARR more than doubles in two months, though company reports large total losses 2-MIN READ2-MIN Listen Xinmei Shen and Vincent Chow Published: 5:00pm, 28 May 2026Updated: "
"Residual IRL watchlist","medium","known","New “what’s happening in Lisbon” app launches today – Portugal Resident","2026-06-08T10:02:36.000Z","https://www.portugalresident.com/new-whats-happening-in-lisbon-app-launches-today/","in Lisbon” app launches today [...] Soko, a local discovery app that combines artificial intelligence and human input to identify the best websites, events, and experiences, launches today, with Lisbon as its starting market. [...] The project was founded by two Portuguese entrepreneurs, João Albino (formerly of Urbvan) and João Graça (formerly of Unbabel), and aims to promote local events and communities, starting i"
"语言交换 / 跨文化社交","medium","new","Language App Ling Challenges Automated Education Trend, Champions 'Human-First' Approach to Fluency | Web3Wire","2026-06-08T06:35:42.000Z","https://web3wire.org/ai/language-app-ling-challenges-automated-education-trend-champions-human-first-approach-to-fluency/","Language App Ling Challenges Automated Education Trend, Champions ‘Human-First’ Approach to Fluency [...] CHIANG MAI, THAILAND / ACCESS Newswire/ June 8, 2026 / As artificial intelligence becomes more prevalent in the education sector, language learning platform Ling is drawing attention to the limitations of automated instruction. The company announced today a clear position against the industry’s increasing depende"
"投放 / 付费获客证据","medium","new","How Brez Is Winning Meta in 2026 With a Radical Creative Rotation System – D2C Times","2026-06-08T04:40:42.000Z","https://d2c-times.com/how-brez-is-winning-meta-in-2026-with-a-radical-creative-rotation-system/","Instead of hunting for the one creative that would scale forever, Brez’s growth team rebuilt its entire Meta advertising engine around the assumption that no single ad would last more than three weeks at meaningful spend. The result, by the first quarter of 2026, was a ROAS north of 3.2 on cold audiences and a customer acquisition cost that had dropped nearly 28 percent year-over-year — in a category where most compe"
"投放 / 付费获客证据","medium","new","AI Marketing Tool AdLibrary.com Launches the First Cross-Platform Ad Library With Over 1 Billion Ads and AI-Powered Creative Analysis – North Headlines","2026-06-08T00:00:00.000Z","https://www.northheadlines.com/ai-marketing-tool-adlibrary-com-launches-the-first-cross-platform-ad-library-with-over-1-billion-ads-and-ai-powered-creative-analysis/","Austria, 28th Feb 2026 – AdLibrary.com, an AI marketing tool and cross-platform ad library, officially launches today with access to over 1 billion advertisements across eight major advertising platforms. The platform combines the most comprehensive ad library on the internet with AI-powered creative analysis, so marketers, agencies, and brands can search, analyze, and reverse-engineer competitor campaigns from a sin"
"投放 / 付费获客证据","medium","new","Duolingo Revives Lost Streaks Through a Soap-Opera Inspired Campaign","2026-06-06T06:47:59.000Z","https://www.medianews4u.com/duolingo-revives-lost-streaks-through-a-soap-opera-inspired-campaign/","Mumbai: Gamification has long been central to Duolingo’s success, and few features have become as emotionally significant to users as the streak. With its latest India-focused campaign, ‘Streak Reincarnation’, the language-learning platform transforms that emotional connection into a culturally rooted narrative designed to drive re-engagement. [...] Created by One Hand Clap, the campaign celebrates Duo’s birthday mon"
"投放 / 付费获客证据","medium","new","ChatGPT ads reach the UK as ad tech's infrastructure bets pile up","2026-06-06T04:13:41.000Z","https://ppc.land/chatgpt-ads-reach-the-uk-as-ad-techs-infrastructure-bets-pile-up/","The week ending June 6 compressed several years of directional change into a handful of announcements. OpenAI activated its advertising pilot in the United Kingdom this morning, making it the first market outside North America, Australia, and New Zealand to receive ChatGPT ads. On the same two-day stretch, DoorDash repositioned itself as a full commerce media platform, Pinterest committed $4 billion to Amazon Web Ser"
"语言交换 / 跨文化社交","medium","known","Korean language app Teuida surpasses 6 million downloads with AI-driven conversation simulations","2026-06-05T23:48:55.000Z","https://completeaitraining.com/news/korean-language-app-teuida-surpasses-6-million-downloads/","Korean language app Teuida hit 6 million downloads by putting users inside AI-driven video conversations with native speakers. Built by a UC Berkeley grad, it skips grammar drills and has users speak aloud to handle real situations. [...] Teuida, an AI-powered language-learning app, has surpassed 6 million downloads since its 2019 launch by focusing on what most competitors avoid: getting users to actually speak. [.."
"投放 / 付费获客证据","medium","known","Korean language app Teuida surpasses 6 million downloads with AI-driven conversation simulations","2026-06-05T23:48:55.000Z","https://completeaitraining.com/news/korean-language-app-teuida-surpasses-6-million-downloads/","Korean language app Teuida surpasses 6 million downloads with AI-driven conversation simulations [...] # Korean language app Teuida surpasses 6 million downloads with AI-driven conversation simulations [...] Korean language app Teuida hit 6 million downloads by putting users inside AI-driven video conversations with native speakers. Built by a UC Berkeley grad, it skips grammar drills and has users speak aloud to han"
"语言交换 / 跨文化社交","medium","known","The AI Tutor Trick That Gets Language Learners Talking","2026-06-05T16:37:25.000Z","https://www.vallartadaily.com/puerto-vallarta-news/the-ai-tutor-trick-that-gets-language-learners-talking/","Many people learning a new language know more than they can say. They can read, listen, and understand, but speaking still feels like a public test they did not study for. AI tutors are changing that rhythm by giving learners a private space to rehearse out loud, make mistakes, and try again. TalkPal is one of the tools built around that gap, offering voice and chat practice designed to move learners from silent unde"
"语言交换 / 跨文化社交","medium","known","[INTERVIEW] UC Berkeley graduate creates AI-powered app to make learning Korean more immersive - The Korea Times","2026-06-05T03:00:03.000Z","https://www.koreatimes.co.kr/business/20260605/uc-berkeley-graduate-creates-ai-powered-app-to-make-learning-korean-more-immersive","## How Teuida turns language lessons into real-life simulations [...] While weighing his next career move, Jang began exploring startup ideas. A government-backed entrepreneurship program gave him the opportunity to [...] one of them into reality in 2019. [...] The venture that emerged became Teuida, an artificial intelligence (AI)-powered language-learning app now used by millions around the world. [...] Seven years"
"Residual IRL watchlist","medium","known","TikTok's new Events app rewards users for generating buzz about big events - Tubefilter","2026-06-05T00:05:41.000Z","https://www.tubefilter.com/2026/06/04/tiktok-pro-events-app-world-cup/","# TikTok's new Events app rewards users for generating buzz about big events - Tubefilter Author: James Hale Published: 2026-06-05T00:05:41+00:00 Source: tubefilter.com (tubefilter.com) Language: en ## Story TikTok's new Events app rewards users for generating buzz about big events - Tubefilter # TikTok’s new Events app rewards users for generating buzz about big events With the World Cup fast approaching, TikTok is "
"Coverage signal watchlist","medium","known","Meta launches Creator Assistant AI for Facebook creators","2026-06-04T16:57:07.000Z","https://thenextweb.com/news/meta-launches-an-ai-assistant-that-tells-facebook-creators-why-their-content-works-not-just-that-it-did","Meta launches Creator Assistant AI for Facebook creators [...] Meta launched Creator Assistant, a conversational AI tool built into Facebook’s creator dashboard that analyses performance and explains why content works. AI-translated Reels now reach over 500 million weekly viewers, expanding to five new languages. [...] Meta’s new Creator Assistant, announced on Wednesday, is designed to close that gap. Built into the"
"投放 / 付费获客证据","medium","new","From Install Counts to Player Value: Introducing Unity Vector-Based ROAS Campaigns - Inven Global","2026-06-04T00:00:00.000Z","https://www.invenglobal.com/articles/22477/from-install-counts-to-player-value-introducing-unity-vector-based-roas-campaigns","Unity announced today (the 4th) that it is helping mobile games grow by leveraging its Unity Vector-based solutions, including Unity Ads, to utilize predictive value signals and automated ROAS optimization. [...] Hybrid-casual game publisher SayGames implemented Unity Ads' Unity-vector-based ad revenue ROAS and hybrid (IAA + IAP) ROAS campaigns, achieving a 1.9x scale growth across its entire game portfolio and an av"
"Coverage signal watchlist","medium","known","Meta business agent global launch whatsapp instagram messenger","2026-06-04T00:00:00.000Z","https://blog.squidcircle.com/meta-business-agent-global-launch-whatsapp-instagram-messenger/","Meta just made its biggest play yet for small business AI. At the Conversations event in London on June 3, 2026, the company officially launched Meta Business Agent — a fully featured AI agent that handles customer conversations across WhatsApp, Instagram DMs, and Messenger. [...] This isn’t a chatbot that sends canned replies. Meta Business Agent answers questions, recommends products, books appointments, qualifies "
"投放 / 付费获客证据","medium","known","Why Admiral Media built an AI creative system that reduced fasting app costs 70% | The Drum","2026-06-03T22:11:00.000Z","https://www.thedrum.com/awards-case-study/why-admiral-media-built-an-ai-creative-system-that-reduced-fasting-app-costs-70","Admiral Media’s campaign for Fastic has won a Silver in AI at The Drum Awards for addressing a key challenge in subscription-based digital marketing: scaling creative output without sacrificing performance or brand coherence. The agency developed the proprietary AI Creative Factory, a tool that automates creative production by combining generative AI with real-time performance data. This is the award-winning case stu"
"Coverage signal watchlist","medium","known","Be There for Every Customer With Meta Business Agent","2026-06-03T13:40:12.000Z","https://about.fb.com/news/2026/06/meta-business-agent/","your threads. [...] More than one million businesses are already using a Meta Business Agent on WhatsApp and Messenger to respond to customers around the clock. And because there are more than one billion active threads with businesses on WhatsApp, Messenger and Instagram every day, a Business Agent can deliver more relevant, personalized experiences from the very first interaction. (Updated on June 3, 2026 at 1:40PM"
"Residual IRL watchlist","medium","known","Partiful Launches Ticketing, Bringing Paid Events Into the Social Platform Where People Already Make Plans | Morningstar","2026-06-03T00:59:00.000Z","https://www.morningstar.com/news/pr-newswire/20260602ny74669/partiful-launches-ticketing-bringing-paid-events-into-the-social-platform-where-people-already-make-plans","NEW YORK, June 2, 2026 /PRNewswire/ -- Partiful, a social event platform, today launched Ticketing, a feature enabling hosts to sell tickets directly within events on iOS, Android, and web. [...] Ticketing marks Partiful's first major monetization product since the company launched in 2020. The company says the move reflects a long-term strategy of first becoming the place people genuinely want to gather before build"
"Coverage signal watchlist","medium","known","Nectar Social Raises $30M, Rebrands Itself as Nectar Agent - Demand Gen Report","2026-06-02T19:00:16.000Z","https://www.demandgenreport.com/industry-news/news-brief/nectar-social-raises-30m-rebrands-itself-as-nectar-agent/53121/","- Nectar Social raised a $30 million Series A round led by Menlo Ventures and its Anthology Fund as it rebrands as Nectar Agent. - The company plans to expand its agentic social operating system, which helps brands manage social intelligence, community engagement, creator workflows, and conversational commerce. [...] Nectar Social recently closed a $30 million Series A founding round, led by Menlo Ventures and its An"
"Residual IRL watchlist","medium","known","Partiful is turning party invites into a payments business - Startup Fortune","2026-06-02T17:39:57.000Z","https://startupfortune.com/partiful-is-turning-party-invites-into-a-payments-business/","Partiful has launched built-in ticketing in the U.S., letting hosts sell paid event tickets directly inside the app. The move turns a viral invite tool into a payments business and puts it closer to Eventbrite at the casual end of paid events. [...] Partiful has spent the past few years becoming the app people use when a party is too informal for Eventbrite but too organized for a group chat. Now it wants to own the "
"Coverage signal watchlist","medium","known","Meta is building an AI Pendant and this time it has a working wearables business behind it — TFN","2026-06-01T13:57:16.000Z","https://techfundingnews.com/meta-is-building-an-ai-pendant-and-this-time-it-has-a-working-wearables-business-behind-it/","Meta is building an AI Pendant and this time it has a working wearables business behind it — TFN [...] # Meta is building an AI Pendant and this time it has a working wearables business behind it [...] Meta is developing an AI-powered pendant and plans to begin testing it within the next year, according to an internal memo viewed by The Information. The project builds directly on Meta’s acquisition of Limitless, an A"
"新公司 / 新产品","medium","known","YaraCircle","2026-05-29T00:00:00.000Z","https://yaracircle.com/","YaraCircle is a Technology, Information and Media company. Founded in 2026. Headquartered in Pune, India. [...] YaraCircle is a social platform that turns strangers into genuine friends through AI-powered shared experiences called Pulse, Orbits & Sparks like Watch Parties, Game Nights, Music Sessions, and real-world events. Our AI companion Yara learns from your conversations to suggest the right people, the right ac"
"Residual IRL watchlist","medium","known","AppLovin Launches Its Own TikTok Rival","2026-05-28T21:29:13.000Z","https://wersm.com/applovin-launches-its-own-tiktok-rival/","After unsuccessfully trying to buy TikTok last year, adtech giant AppLovin is taking a different route: building its own social platform. [...] The company has quietly launched a new app called **Gist**, an invite-only social feed that feels like a mix between TikTok, Lemon8, Pinterest, and RedNote. Users can browse videos, photo carousels, mini-games, lifestyle content, travel recommendations, career advice, and eve"
"投放 / 付费获客证据","medium","known","OpenAI turns on cost-per-action ads inside ChatGPT","2026-05-28T14:40:31.000Z","https://digiday.com/marketing/openai-turns-on-cost-per-action-ads-inside-chatgpt/","OpenAI has switched on cost-per-action ads inside its ads manager, Digiday has learned. [...] The feature, which is currently available to select advertisers only, lets them pay for ads in ChatGPT only when a user takes a specific action, whether that’s clicking through to a site, signing up or making a purchase. Until now, advertisers have had to pay for every thousand impressions or click regardless of what happens"
"投放 / 付费获客证据","medium","known","Claude's Corner: Doomersion - TikTok for Language Learners | StartupHub.ai","2026-05-28T11:20:03.000Z","https://www.startuphub.ai/ai-news/claudes-corner/2026/claudes-corner-doomersion-yc-w2026","Doomersion (YC W2026) turns doomscrolling into language learning, a TikTok-style feed of level-matched foreign language videos with interactive subtitles and passive spaced repetition. We break down how it works technically and how hard it is to clone. [...] 15,000 downloads in the first two weeks. Power users logging 3+ hours daily. App Store reviews describing Doomersion as the app that replaced TikTok entirely. Fo"
