"来源类别","主体","关联主表产品","赛道/参照","维度","信号","解释","证据"
"financial report","AI companion apps market","","市场/上市公司参照","$120M projected 2025 consumer spend; 337 active revenue-generating AI companion apps","TechCrunch / Appfigures 报道显示 AI companion 应用 2025 年预计消费者支出约 $120M，活跃营收应用数量和新发应用数量都在上升。","这是赛道商业化口径，不是单一产品融资；用于校准 companion/roleplay 产品的市场需求和付费能力，不能重复计入融资总额。","AI companion apps on track to pull in $120M in 2025: https://finance.yahoo.com/news/ai-companion-apps-track-pull-173842786.html"
"company","HelloTalk","HelloTalk","语言交换与跨文化真人社交","company/product background","Targeted Exa company deep-dive returned 8 results; primary evidence: HelloTalk. HelloTalk is a Education company. HelloTalk employs 92 people (+16.8% YoY, +26 people) and has an annual revenue of $2.4M, founded in 2012. Headquartered in Los Angeles, California, United States, operates in 30 countries (including China, Indonesia, Egypt, Japan, and Brazil). Has $3.0M in total funding. [...] HelloTalk, also abbreviated as HT, is a language exchange app and website released in 2013. It is monetized","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","HelloTalk: https://hellotalk.com/"
"company","Tandem","Tandem","语言交换与跨文化真人社交","company/product background","Targeted Exa company deep-dive returned 8 results; primary evidence: Tandem. Tandem is a E-Learning Providers company. Tandem is a language learning app that allows users to connect with native speakers and practice their target languages. Tandem employs 41 people (+7.8% YoY, +4 people), founded in 2015. Headquartered in Berlin, Berlin, Germany, operates in 15 countries (including Indonesia, Spain, United Kingdom, Italy, and Czechia). Has $8.1M in total funding, with 4 prior funding rounds. [","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","Tandem: https://tandem.net/"
"company","Hilokal","Hilokal","语言交换与跨文化真人社交","company/product background","Targeted Exa company deep-dive returned 8 results; primary evidence: Hilokal. Hilokal is a E-Learning Providers company. Hilokal is a language exchange app that allows users to learn and practice target language with new friends and native speakers. It offers fun audio group calls, live audio calls, and private language cafes. The app also features moderation tools and features in the mobile app. Hilokal aims to improve fluency and confidence for language learners. Hilokal employs 28 people (+","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","Hilokal: https://hilokal.com/"
"company","Partiful","Partiful","AI/算法驱动的线下真人社交","company/product background","Targeted Exa company deep-dive returned 8 results; primary evidence: Partiful. Partiful is a Technology, Information and Internet company. Partiful is a company that allows users to plan events in seconds, with fun event pages. They provide text blasts and automatic reminders to help guests share photos, comments, and more. Partiful employs 89 people (+70.3% YoY, +45 people) and has an annual revenue of $650.0K, founded in 2020. Headquartered in New York, New York, United States, with presence","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","Partiful: https://partiful.com/"
"company","Pie","Pie","AI/算法驱动的线下真人社交","company/product background","Targeted Exa company deep-dive returned 8 results; primary evidence: Pie. Pie is a Technology, Information and Internet company. Pie is a social media platform that helps people find and connect with friends. Pie employs 19 people (+19.9% YoY). Headquartered in Chicago, Illinois, United States. Has $11.5M in total funding, with 1 prior funding round. [...] Information and Internet [...] Privately Held [...] Chicago, United States [...] - Homepage: get [...] - Status: active [...] - LinkedI","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","Pie: https://getpie.app/"
"company","Breeze","Breeze","AI/算法驱动的线下真人社交","company/product background","Targeted Exa company deep-dive returned 8 results; primary evidence: Breeze. Breeze is a Software Development company. Breeze is a dating app that takes online dating offline. They organize your first date at one of their safe partner bars. Breeze employs 40 people (+6.7% YoY, +4 people) and has an annual revenue of $2.5M, founded in 2019. Headquartered in Rotterdam, Zuid-Holland, Netherlands, operates in 6 countries (including United Kingdom, Romania, Belgium, United States, and Curaçao). Ha","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","Breeze: https://breeze.social/"
"company","Meet5","Meet5","AI/算法驱动的线下真人社交","company/product background","Targeted Exa company deep-dive returned 8 results; primary evidence: Meet5. Meet5 is a Technology, Information and Internet company. meet5 is a company that allows users to connect and create meets, organize activities, and organize events. They cater to individuals in the middle age, who have a strong connection with each other. The app provides a simple and secure approach to meeting and providing a safe and enjoyable experience for their members. Meet5 employs 65 people (+56.2% YoY, +27 p","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","Meet5: https://meet5.de/"
"company","WeRoad","WeRoad","AI/算法驱动的线下真人社交","company/product background","Targeted Exa company deep-dive returned 8 results; primary evidence: WeRoad. WeRoad is a Leisure, Travel & Tourism company. WeRoad is a team of over 200 talented individuals from diverse backgrounds that revolutionize the way millennials discover the world. They value potential, talent, and culture fit over what’s on your CV. They offer job openings in Milan, Madrid, London, Paris, and Berlin. WeRoad employs 1,113 people (+18.0% YoY, +214 people), founded in 2017. Headquartered in Italy, oper","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","WeRoad: https://weroad.com/"
"company","Thursday","Thursday","AI/算法驱动的线下真人社交","company/product background","Targeted Exa company deep-dive returned 8 results; primary evidence: Thursday. Thursday is a Events Services company. Thursday™ is a company that hosts singles-only events in over 150 cities. They offer bar nights, run clubs, comedy, and more. They also provide exclusive events for singles. Thursday employs 82 people (+92.6% YoY, +63 people) and has an annual revenue of $1.3M, founded in 2018. Headquartered in Aldgate, England, United Kingdom, operates in 17 countries (including United States,","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","Thursday: https://thursday.com/"
"company","Paxmeet","Paxmeet","AI/算法驱动的线下真人社交","company/product background","Targeted Exa company deep-dive returned 8 results; primary evidence: Paxmeet. Paxmeet is a Social Networking Platforms company. Paxmeet employs 5 people, founded in 2025. Headquartered in New Delhi, India. [...] Paxmeet is a social platform that transforms strangers into stories through real-world events. Whether it’s a house party, poetry slam, wellness workshop, or food crawl — Paxmeet helps you discover and join events curated by real, KYC-verified people around you. [...] 1. Discover event","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","Paxmeet: https://paxmeet.com/"
"company","MeetMux","MeetMux","AI/算法驱动的线下真人社交","company/product background","Targeted Exa company deep-dive returned 8 results; primary evidence: MeetMux. MeetMux is a Social Networking Platforms company. MeetMux is an AI-powered, activity-first social platform where users discover people around them based on real-time and planned activities like sports, movies, or travel. They bring real, meaningful, in-person connections back into your life. MeetMux employs 25 people (+188.2% YoY), founded in 2024. Headquartered in Bengaluru, Karnataka, India. [...] - Industry: Socia","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","MeetMux: https://meetmux.com/"
"company","SewaYou","SewaYou","语言交换与跨文化真人社交","company/product background second pass","Targeted Exa company deep-dive returned 8 results; primary evidence: SewaYou. SewaYou is a Technology, Information and Internet company. SewaYou is a language exchange platform that allows users to find and meet native speakers on a map for in-person practice. SewaYou employs 2 people, founded in 2017. Headquartered in Japan. [...] - Industry: Technology, Information and Internet - Type: Self-Owned - Founded Year: 2017 - Homepage: sewayou.com - Status: active - Aliases: sewayou, sewayou, inc.","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","SewaYou: https://sewayou.com/"
"company","Conversation Exchange","Conversation Exchange","语言交换与跨文化真人社交","company/product background second pass","Targeted Exa company deep-dive returned 8 results; primary evidence: Conversation Exchange. Conversation Exchange is a E-learning company. Conversation Exchange is a language learning platform that offers three types of language exchange: face to face conversation, correspondence, text and voice chat. Conversation Exchange employs 2 people, founded in 2005. Headquartered in San Antonio, Texas, United States, with presence in Brazil and Italy. [...] - Industry: E-learning - Type: Self-Owned - Headquarters: S","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","Conversation Exchange: https://conversationexchange.com/"
"company","Talk4Now","Talk4Now","语言交换与跨文化真人社交","company/product background second pass","Targeted Exa company deep-dive returned 8 results; primary evidence: Talk4Now. Talk4Now is a Language Schools company. Talk4Now employs 2 people, founded in 2026. Headquartered in Dhaka, Bangladesh, with presence in Pakistan. [...] That’s why we built Talk4Now — a global platform where you can practice any language by talking to real people from around the world 💬🌎 [...] - Industry: Language Schools - Type: Self-Owned - Headquarters: Dhaka, Bangladesh - Founded Year: 2026 - Homepage: talk4now","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","Talk4Now: https://talk4now.com/"
"company","Linguado","Linguado","语言交换与跨文化真人社交","company/product background second pass","Targeted Exa company deep-dive returned 8 results; primary evidence: Linguado. Linguado is a E-Learning Providers company. Linguado is a free mobile app that allows users to instantly link with native speakers of the language they desire, by proximity or worldwide. They offer language learning, accent reduction, travel, cultural exchange, and business solutions. Linguado represents over 250 countries, nationalities, and languages, and they provide a global community that includes polyglots to t","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","Linguado: https://linguado.com/"
"company","meeTalk","meeTalk","语言交换与跨文化真人社交","company/product background second pass","Targeted Exa company deep-dive returned 8 results; primary evidence: meeTalk: Global Chat. meeTalk: Global Chat is a Social Networking Platforms company. MeeTalk: Global Chat employs 2 people. Headquartered in İstanbul, Turkey. [...] meeTalk Global Chat is a next-generation language exchange and social messaging platform that connects you with native speakers from all around the world. 🌍 [...] - Industry: Social Networking Platforms - Type: Privately Held - Headquarters: İstanbul, Turkey - Homepage: quiks","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","meeTalk: Global Chat: https://quiksa.com/"
"company","LangPal","LangPal","语言交换与跨文化真人社交","company/product background second pass","Targeted Exa company deep-dive returned 8 results; primary evidence: LangPal. LangPal is a E-Learning Providers company. LangPal employs 13 people, founded in 2025. Headquartered in Seattle, Washington, United States, with presence in Canada. [...] LangPal is an AI-powered language learning platform designed to help users achieve real-world fluency through immersive, conversation-based practice. Unlike traditional language learning apps that focus on memorization, flashcards, and passive exerc","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","LangPal: https://lang-pal.com/"
"company","MatchaLingua","MatchaLingua","语言交换与跨文化真人社交","company/product background second pass","Targeted Exa company deep-dive returned 8 results; primary evidence: MatchaLingua. MatchaLingua is a Social Networking Platforms company. MatchaLingua employs 2 people, founded in 2026. Headquartered in France. [...] Connect. Learn. Experience. Culture. A community for finding language exchange partners near you and embarking on a journey of cultural discovery together. Meet language partners in your area for in-person or virtual practice sessions. Go beyond language - share traditions, food, and e","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","MatchaLingua: https://matchalingua.com/"
"company","Slowly","Slowly","语言交换与跨文化真人社交","company/product background second pass","Targeted Exa company deep-dive returned 8 results; primary evidence: Slowly Communications Ltd.. Slowly Communications Ltd. is a Software Development company. Slowly is a company that allows users to meet pen pals from their smartphones. They connect people around the world at a slower but better pace by providing meaningful conversations with people in the era of instant messaging. The app allows users to share their passion, write a letter, and collect stamps from around the world. Slowly Communications Ltd. e","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","Slowly Communications Ltd.: https://slowly.app/"
"company","FluentPal","FluentPal","语言交换与跨文化真人社交","company/product background second pass","Targeted Exa company deep-dive returned 8 results; primary evidence: FluentPal Ltd. FluentPal Ltd is a Education company. FluentPal is a language learning platform that allows users to talk to a language and be matched to a language partner. It offers instant matching experience and personalized language practice. The app matches users with compatible language partners based on their preferences, making language exchange effortless and efficient. It also features dynamic conversations, quizzes, and","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","FluentPal Ltd: https://fluentpal.net/"
"company","RoamChat","RoamChat","语言交换与跨文化真人社交","company/product background second pass","Targeted Exa company deep-dive returned 8 results; primary evidence: INT'L CAFE. INT'L CAFE is a Technology, Information and Media company. INT'L CAFE is a social language exchange platform that allows users to meet new friends while speaking/signing languages. They provide a lifetime of fluency for their users. INT'L CAFE employs 2 people, founded in 2021. Headquartered in chicago, illinois, United States. [...] INT'L CAFE is a community app and media aggregate enabling speakers/signers of all l","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","INT'L CAFE: https://intlcafe.io/"
"company","Lingbe","Lingbe","语言交换与跨文化真人社交","company/product background second pass","Targeted Exa company deep-dive returned 8 results; primary evidence: Lingbe. Lingbe is a Technology, Information and Internet company. Lingbe.com is a language practice platform that allows users to practice with native speakers anytime, anywhere. Users can practice with native speakers and earn rewards and special features. The platform allows users to connect with other learners and make new friends from around the world. Lingbe employs 3 people (-22.2% YoY, -2 people) and has an annual rev","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","Lingbe: https://lingbe.com/"
"company","SpeakyParrot","SpeakyParrot","语言交换与跨文化真人社交","company/product background second pass","Targeted Exa company deep-dive returned 8 results; primary evidence: SpeakyParrot. SpeakyParrot is a E-Learning Providers company. SpeakyParrot employs 2 people (+100.0% YoY, +1 person), founded in 2024. Headquartered in Petersburg, Florida, United States. [...] Learn languages flexibly, interactively, and effectively, anytime, anywhere. Our e-learning platform offers practical exercises, motivating challenges, and the option to book live sessions with native speakers. Reach your language goals fas","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","SpeakyParrot: https://speakyparrot.com/"
"company","Fluently","Fluently","语言交换与跨文化真人社交","company/product background second pass","Targeted Exa company deep-dive returned 8 results; primary evidence: Fluently: AI English tutor. Fluently: AI English tutor is a Technology, Information and Internet company. Fluently is a personal AI English tutor that helps individuals improve their English speaking skills and improve their personal learning plan. They offer a 20x cheaper and available 24/7 English tutor service. Fluently: AI English tutor employs 14 people, founded in 2023. Headquartered in Wilmington, Delaware, United States, operates in 9 c","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","Fluently: AI English tutor: https://getfluently.app/"
"company","Status AI","Status AI","AI 社交与互动娱乐","company/product background second pass","Targeted Exa company deep-dive returned 8 results; primary evidence: Status. Status is a Social Networking Platforms company. wishroll inc. is an app store designed for iPhone that offers status terms of use and privacy policy. Users can create a persona, join different fandoms, post with them, become famous, or get cancelled. The company provides in-app purchases and features a screenshot of the app. Status employs 13 people (+28.6% YoY, +8 people). Headquartered in New York, New York, Unite","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","Status: https://statusai.com/"
"company","Butterflies AI","Butterflies AI","AI 社交与互动娱乐","company/product background second pass","Targeted Exa company deep-dive returned 8 results; primary evidence: Butterflies AI. Butterflies AI is a Software Development company. Butterflies AI employs 3 people (-81.8% YoY), founded in 2023. Headquartered in Seattle, Washington, United States, with presence in United Kingdom. Has $5.0M in total funding, with 1 prior funding round. [...] Butterflies AI is the first digital and social playground where humans and AI can coexist. We believe in making AI more fun and feel more real for everyone. [.","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","Butterflies AI: https://butterflies.ai/"
"company","Daze","Daze","AI 社交与互动娱乐","company/product background second pass","Targeted Exa company deep-dive returned 8 results; primary evidence: Daze. Daze is a Software Development company. Daze is a company that helps people find time together by providing software development and backend engineering services. They offer career opportunities, investors, and content marketing opportunities. Daze employs 8 people. Headquartered in Brooklyn, New York, United States, with presence in Spain. Has $5.7M in total funding, with 1 prior funding round. [...] - Total Funding","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","Daze: https://daze.nyc/"
"company","Shapes","Shapes","AI 社交与互动娱乐","company/product background second pass","Targeted Exa company deep-dive returned 8 results; primary evidence: Shapes, Inc.. Shapes, Inc. is a Technology, Information and Internet company. Shapes, Inc. employs 9 people (-8.3% YoY, -1 person), founded in 2022. Headquartered in San Francisco, California, United States, with presence in Brazil, Canada, and India. Has $12.2M in total funding, with 1 prior funding round. [...] Shapes is the only app in the world where you can talk to AI with friends. Download Shapes on App Store: https://apps.a","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","Shapes, Inc.: https://shapes.inc/"
"company","Character.AI / Replika / Chai","Character.AI / Replika / Chai","AI 伴侣、角色经济与共同养成","company/product background second pass","Targeted Exa company deep-dive returned 8 results; primary evidence: Character.ai. Character.ai is a Software Development company. character.ai is a company bringing to life the science-fiction dream of open-ende conversations and collaborations with computers. Character.ai employs 120 people (+39.7% YoY, +81 people) and has an annual revenue of $16.7M, founded in 2021. Headquartered in Redwood City, California, United States, operates in 10 countries (including Canada, Brazil, Morocco, Philippines","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","Character.ai: https://character.ai/"
"company","Born / Pengu","Born / Pengu","AI 伴侣、角色经济与共同养成","company/product background second pass","Targeted Exa company deep-dive returned 8 results; primary evidence: Born. Born is a Technology, Information and Internet company. Born employs 29 people and has an annual revenue of $2.7M. Headquartered in New York City, United States, operates in 9 countries (including Germany, Canada, United Kingdom, Colombia, and Poland). Has $22.6M in total funding, with 4 prior funding rounds. [...] - Annual Revenue: USD 2,700,000 - Total Funding: USD 22,600,000 - Series A - 3 investors, led by Accel","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","Born: https://born.com/"
"company","Dippy AI","Dippy AI","AI 伴侣、角色经济与共同养成","company/product background second pass","Targeted Exa company deep-dive returned 8 results; primary evidence: Dippy AI. Dippy AI is a Technology, Information and Media company. Dippy is a company that provides a platform for users to chat with proactive AI characters. They offer unlimited messaging, advanced roleplay, seamless character creation, and no ads. The company provides a perfect memory and limitless fun. Dippy AI employs 9 people (-15.4% YoY, -2 people). Headquartered in San Francisco, California, United States, with presenc","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","Dippy AI: https://dippy.ai/"
"company","Kindroid / Nomi / Blush","Kindroid / Nomi / Blush","AI 伴侣、角色经济与共同养成","company/product background second pass","Targeted Exa company deep-dive returned 8 results; primary evidence: Kindroid. Kindroid is a Technology, Information and Internet company. Kindroid is an AI app for building custom AI character & companion, with AI chat via text, AI selfies, and human-like voices. Kindroid employs 4 people. Headquartered in Los Angeles, California, United States. with 1 prior funding round. [...] - Industry: Technology, Information and Internet - Type: Privately Held - Headquarters: Los Angeles, United States -","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","Kindroid: https://kindroid.ai/"
"company","PolyBuzz / HiWaifu / Linky","PolyBuzz / HiWaifu / Linky","AI 伴侣、角色经济与共同养成","company/product background second pass","Targeted Exa company deep-dive returned 8 results; primary evidence: PolyBuzz. PolyBuzz is a Software Development company. Founded in 2023. [...] PolyBuzz, a leading AI technology company, excels in delivering advanced chatbot services with a focus on virtual companionship. Utilizing cutting-edge technology, PolyBuzz enables bots to think and respond like humans, generating lifelike voices that provide users with a free, private, and immersive AI chat experience. [...] - Industry: Software Deve","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","PolyBuzz: https://polyai.ai/"
"company","Caveduck / Charms / Pictoria / CODE27","Caveduck / Charms / Pictoria / CODE27","AI 伴侣、角色经济与共同养成","company/product background second pass","Targeted Exa company deep-dive returned 8 results; primary evidence: SyBran Innovation. SyBran Innovation is a Computer Hardware Manufacturing company. SyBran Innovation employs 4 people, founded in 2023. Headquartered in San Francisco, United States, with presence in China and Hong Kong. Has $13.6M in total funding, with 3 prior funding rounds. [...] The future of personal computing is the personal companion. CODE27 is an interactive character technology company building dedicated hardware for bringing","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","SyBran Innovation: https://code27.co/"
"company","Plots / Saturday / Posh","Plots / Saturday / Posh","AI/算法驱动的线下真人社交","company/product background second pass","Targeted Exa company deep-dive returned 8 results; primary evidence: Plots. Plots is a Social Networking Platforms company. Plots is a social media app that helps users find new things to do and meet new people. They offer a platform for users to organize events and access resources for hosting successful events. Plots employs 18 people (+18.2% YoY, +4 people), founded in 2022. Headquartered in los angeles, United States, with presence in Czechia, Canada, and Brazil. Has $3.5M in total fundi","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","Plots: https://plots.events/"
"company","Aglow Life","Aglow Life","AI/算法驱动的线下真人社交","company/product background second pass","Targeted Exa company deep-dive returned 8 results; primary evidence: Aglow Life. Aglow Life is a Social Networking Platforms company. Aglow Life is a company that aims to build genuine connection through shared values. They are coming soon to the Google Play store. Aglow Life employs 5 people (+100.0% YoY, +2 people). Headquartered in San Francisco, California, United States. [...] We are the next evolution of social: Local, unfiltered, and built to get people off their phones and back into commu","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","Aglow Life: https://aglow.life/"
"company","Weekend","Weekend","AI/算法驱动的线下真人社交","company/product background second pass","Targeted Exa company deep-dive returned 8 results; primary evidence: Weekend. Weekend is a Social Networking Platforms company. Founded in 2022. Headquartered in San Francisco, California, United States. [...] Weekend helps build authentic, real world connections. [...] With the world becoming remote and opportunities to meet people dwindling, Weekend's mission is to create tools for young professionals to build local communities and great friendships. [...] - Industry: Social Networking Platf","补充产品级公司、团队、员工、收入、成立时间或定位证据，用于把公司背景判断从赛道级推进到产品级。","Weekend: https://weekend.network/"
