"复核层级","复核结论","优先级","查询ID","类别","缺口数","已深挖候选数","已分流信号数","剩余数","处理状态","深挖结论","信号分流结论","下一步动作","原因","深挖候选","已分流信号","示例"
"product-candidate","候选补证","high","speakyparrot_growth","company","1","1","0","0","deep-dive complete","长尾留档","","已完成 1 个候选的 candidate deep-dive；结论为 长尾留档。剩余 0 条继续进入下一轮补证或 monitor。","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","LingoPraxis: 长尾留档 (language exchange long tail)","","LingoPraxis - English Speaking Club: https://lingopraxis.com/"
"signal-candidate","信号复核","medium","langpal_growth","company","3","1","0","2","queued","候选补证","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","Plang, Inc.: 候选补证 (unclassified candidate)","","Talkpal: https://talkpal.ai/ | EZ Speak: https://ezspeak.ai/ | Plang, Inc.: https://plang.ai/"
"signal-candidate","信号复核","medium","ai_social_handles","official/social profile","2","0","0","2","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Discord (@discord) Official  | TikTok: https://www.tiktok.com/@discord | Meta AI Studio: https://ai.meta.com/ai-studio/"
"signal-candidate","信号复核","medium","ai_social_official_gap_profiles","official/social profile","2","0","0","2","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","‎status - sims but social media App - App Store: https://apps.apple.com/us/app/status-sim-but-social-media/id6596771144 | status - sims but social media - App Store - Apple: https://apps.apple.com/us/app/status-sims-but-social-media/id6596771144"
"signal-candidate","信号复核","medium","companion_long_tail","company","2","0","0","2","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Nectar AI: https://nectar.ai/ | nunu.ai: https://nunu.ai/"
"signal-candidate","信号复核","medium","irl_social_profiles","official/social profile","2","0","0","2","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","‎Pax Meet App - App Store: https://apps.apple.com/us/app/pax-meet/id6759842965 | Reelink — Turn Reels into Real Connections: https://www.reelink.app/"
"signal-candidate","信号复核","medium","sewayou_growth","company","2","1","0","1","queued","候选补证","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","Plang, Inc.: 候选补证 (unclassified candidate)","","Plang, Inc.: https://plang.ai/ | needyou AI: https://needyou.app/"
"signal-candidate","信号复核","medium","ai_companion_funding_expansion","news","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","FantasyGF: Огляньте свого наступного віртуального компаньйона: https://www.dmiexpo.com/uk/ai/fantasygf-review/"
"signal-candidate","信号复核","medium","ai_companion_roleplay_funding_news","news","1","0","1","0","signal review complete","","已覆盖/重复佐证","已有 1 条信号进入 funding candidate review、market decision 或 funding event audit；结论为 已覆盖/重复佐证。剩余 0 条继续由 monitor 观察。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","Series: 已覆盖/重复佐证 (AI social / entertainment)","Sekai raises $20 million as people create 15 million AI mini apps: https://www.axios.com/2026/06/01/sekai-mini-app-startup-funding"
"signal-candidate","信号复核","medium","ai_dating_discovery","news","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Single 20-somethings need AI to make first move on dating apps, says Hinge boss - BBC News: https://www.bbc.co.uk/news/articles/c052397y6ygo"
"signal-candidate","信号复核","medium","ai_dating_funding_expansion","news","1","0","1","0","signal review complete","","已覆盖/重复佐证","已有 1 条信号进入 funding candidate review、market decision 或 funding event audit；结论为 已覆盖/重复佐证。剩余 0 条继续由 monitor 观察。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","Series: 已覆盖/重复佐证 (AI dating / IRL dating)","Series bags $5.1M pre-seed to build AI-powered social network inside iMessage - FoundersToday: https://www.founderstoday.news/series-bags-5-1-millions/"
"signal-candidate","信号复核","medium","ai_friend_wearables","news","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Amazon has big hopes for wearable AI - starting with this US$50 gadget - The Business Times: https://www.businesstimes.com.sg/companies-markets/telcos-media-tech/amazon-has-big-hopes-wearable-ai-starting-us50-gadget"
"signal-candidate","信号复核","medium","ai_social_games_funding","news","1","0","1","0","signal review complete","","已覆盖/重复佐证","已有 1 条信号进入 funding candidate review、market decision 或 funding event audit；结论为 已覆盖/重复佐证。剩余 0 条继续由 monitor 观察。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","Series: 已覆盖/重复佐证 (AI social / entertainment)","Sekai raises $20 million as people create 15 million AI mini apps: https://www.axios.com/2026/06/01/sekai-mini-app-startup-funding"
"signal-candidate","信号复核","medium","conversation_exchange_growth","company","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","SPEAK - Share your world: https://speak.social/"
"signal-candidate","信号复核","medium","founder_people_background","people","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Taha Hossain: https://linkedin.com/in/tahahossain"
"signal-candidate","信号复核","medium","irl_social_handles","official/social profile","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","The 15 Most Popular Social Media Platforms in 2026 | Salesforce AU: https://www.salesforce.com/au/commerce/social-media-platforms/"
"signal-candidate","信号复核","medium","language_exchange_companies","company","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","SPEAK - Share your world: https://speak.social/"
"signal-candidate","信号复核","medium","language_exchange_long_tail","company","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Inatlantis: https://inatlantis.com/"
"signal-candidate","信号复核","medium","mature_ai_companion_products","company","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Buddy.ai: https://buddy.ai/"
"signal-candidate","信号复核","medium","new_language_exchange_companies","company","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Parlai: https://parlai.app/"
"signal-candidate","信号复核","medium","offline_social_company_boundary","company","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Offlyn: https://offlyn.life/"
"signal-candidate","信号复核","medium","offline_social_founders_people","people","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Emini Offutt: https://linkedin.com/in/eminioffutt"
"signal-candidate","信号复核","medium","roamchat_growth","news","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Musk’s ‘XChat’ Lands in South Korea: A Super App Armed With No Ads and AI Aims to Challenge KakaoTalk’s Dominance — BigGo Finance: https://finance.biggo.com/news/PSCPvZ0Bga3fZL9MR-uF"
"signal-candidate","信号复核","medium","slowly_growth","company","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Langly Inc.: https://langly.ai/"
"signal-candidate","信号复核","medium","talk4now_growth","company","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Viral App Launch: https://viralapplaunch.com/"
"background-source","背景留档","low","app_market_reports","financial report","6","0","0","6","queued","","","保留为市场、研究、财报或方法论背景，不作为独立产品计数。","更像研究、榜单、市场规模或方法论来源，用于背景判断，不直接升级为产品。","","","Document: https://www.sec.gov/Archives/edgar/data/317788/000162828025031557/form8-kxexhibit991q4fy2025.htm | Tm2610721d1 ex99 1.htm: https://www.sec.gov/Archives/edgar/data/1814423/000110465926037392/tm2610721d1_ex99-1.htm | Document: https://www.sec.gov/Archives/edgar/data/317788/000162828026038067/form8-kxexhibit991q4fy2026.htm"
"background-source","背景留档","low","consumer_ai_financial_reports","financial report","6","0","0","6","queued","","","保留为市场、研究、财报或方法论背景，不作为独立产品计数。","更像研究、榜单、市场规模或方法论来源，用于背景判断，不直接升级为产品。","","","EX-99.1: https://www.sec.gov/Archives/edgar/data/1803901/000119312526058146/talk-ex99_1.htm | EX-99.1: https://www.sec.gov/Archives/edgar/data/1610601/000119312526112578/d115842dex991.htm | Ex99 1.htm: https://www.sec.gov/Archives/edgar/data/2058584/000149315226006949/ex99-1.htm"
"background-source","背景留档","low","ai_social_revenue_download_reports","financial report","4","0","0","4","queued","","","保留为市场、研究、财报或方法论背景，不作为独立产品计数。","更像研究、榜单、市场规模或方法论来源，用于背景判断，不直接升级为产品。","","","Ea029162701ex99 1.htm: https://www.sec.gov/Archives/edgar/data/1753673/000121390026059851/ea029162701ex99-1.htm | Tm2610721d1 ex99 1.htm: https://www.sec.gov/Archives/edgar/data/1814423/000110465926037392/tm2610721d1_ex99-1.htm | Tm2614328d1 ex99 1.htm: https://www.sec.gov/Archives/edgar/data/1728190/000110465926058936/tm2614328d1_ex99-1.htm"
"background-source","背景留档","low","consumer_ai_app_rankings","financial report","4","0","0","4","queued","","","保留为市场、研究、财报或方法论背景，不作为独立产品计数。","更像研究、榜单、市场规模或方法论来源，用于背景判断，不直接升级为产品。","","","Document: https://www.sec.gov/Archives/edgar/data/1799567/000162828026034088/ddi-2026x05x12x6kxexx991.htm | pltkq12026earningspresen: https://www.sec.gov/Archives/edgar/data/1828016/000182801626000036/pltkq12026earningspresen.htm | Document: https://www.sec.gov/Archives/edgar/data/1836981/000183698126000016/earningsrelease-4q25.htm"
"background-source","背景留档","low","offline_loneliness_research","research paper","3","0","0","3","queued","","","保留为市场、研究、财报或方法论背景，不作为独立产品计数。","更像研究、榜单、市场规模或方法论来源，用于背景判断，不直接升级为产品。","","","In-person and virtual social interactions improve well-being during the COVID-19 pandemic: https://www.sciencedirect.com/science/article/pii/S2451958824000885 | Hyper-Connectivity and Loneliness: A Thematic Analysis of Digital Relationships in the Modern World | Contemporary Family Therapy | Springer Nature Link: https://link.springer.com/article/10.1007/s10591-026-09779-x | Social Interactions and Loneliness in Daily Life: A Study of Younger Adults and Cognitively Diverse Older Adults - PMC: https://pmc.ncbi.nlm.nih.gov/articles/PMC12407244/"
"low-relevance","低相关留档","archive","founder_people_background","people","4","0","0","4","queued","","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","","","Brian Kelley: https://linkedin.com/in/brianckelley | Alaa Allam: https://linkedin.com/in/alaa-allam-pe | Chris Watts: https://linkedin.com/in/seawatts"
"low-relevance","官方搜索溢出留档","archive","language_official_social_matchalingua","official/social profile","4","0","0","4","queued","","","低相关留档，仅在后续 monitor 反复出现时重新复核。","来自语言官方/社媒 targeted 查询，但未稳定匹配到主表产品；多为官网子页、多语言页、相邻应用或搜索溢出，保留审计但不进入 monitor 观察缺口。","","","Treine seu Inglês com MatchLingue | Home: https://www.matchlingue.com/ | ‎Matcha--Hang out App - App Store: https://apps.apple.com/gb/app/matcha-hang-out/id6754646443 | Link Ling - Apps on Google Play: https://play.google.com/store/apps/details?id=com.mycompany.Corner&hl=en_US"
"low-relevance","低相关留档","archive","matchalingua_growth","company","4","1","0","3","queued","候选补证","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","Languages Live Gesellschaft Lokalisierung mbH: 候选补证 (unclassified candidate)","","How do you do?: https://howdoyou.do/ | Languages Live Gesellschaft Lokalisierung mbH: https://mylanguageexchange.com/ | ZINGR: https://zingr.app/"
"low-relevance","低相关留档","archive","speakyparrot_growth","company","4","1","0","3","queued","候选补证","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","Time2Talk: 候选补证 (unclassified candidate)","","Time2Talk: https://time2talk.app/ | BeeSpeaker: https://beespeaker.com/ | Speaking Partner Official Page: https://speakingpartner.id/"
"low-relevance","低相关留档","archive","lingbe_growth","company","3","0","0","3","queued","","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","","","LINGORA: https://tutoringgo.com/ | BeeSpeaker: https://beespeaker.com/ | Speechling: https://speechling.com/"
"low-relevance","低相关留档","archive","sewayou_growth","company","3","0","0","3","queued","","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","","","ZINGR: https://zingr.app/ | AloYou App: https://aloyou.app/ | SeeMe: https://seeme-app.com/"
"low-relevance","低相关留档","archive","talk4now_growth","company","3","1","0","2","queued","候选补证","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","Time2Talk: 候选补证 (unclassified candidate)","","Talky: https://talky-app.com/ | Time2Talk: https://time2talk.app/ | TalkAbroad: https://talkabroad.com/"
"low-relevance","低相关留档","archive","conversation_exchange_growth","company","2","1","0","1","queued","候选补证","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","Time2Talk: 候选补证 (unclassified candidate)","","LanguageConvo: https://languageconvo.com/ | Time2Talk: https://time2talk.app/"
"low-relevance","低相关留档","archive","langpal_growth","company","2","0","0","2","queued","","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","","","Chatterbox: Language Learning: https://chatterboxlabs.io/ | SpeakingPal: https://speakingpal.com/"
"low-relevance","官方搜索溢出留档","archive","language_official_social_conversation-exchange","official/social profile","2","0","0","2","queued","","","低相关留档，仅在后续 monitor 反复出现时重新复核。","来自语言官方/社媒 targeted 查询，但未稳定匹配到主表产品；多为官网子页、多语言页、相邻应用或搜索溢出，保留审计但不进入 monitor 观察缺口。","","","LearnKoreanFree: https://www.conversationexchange.com/s_map/learn.php?language=Korean | Register: First step: https://www.conversationexchange.com/members/signupFirstStage.php?lg=en"
"low-relevance","低相关留档","archive","meetalk_growth","company","2","1","0","1","queued","候选补证","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","Time2Talk: 候选补证 (unclassified candidate)","","Meet2Talk: https://meet2talk.online/ | Time2Talk: https://time2talk.app/"
"low-relevance","低相关留档","archive","slowly_growth","company","2","0","0","2","queued","","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","","","PenPal: https://penpal.me/ | Hello Pal: https://hellopal.com/"
"low-relevance","低相关留档","archive","fluently_growth","company","1","0","0","1","queued","","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","","","Fluentworlds: https://fluentworlds.com/"
"low-relevance","低相关留档","archive","language_exchange_companies","company","1","0","0","1","queued","","","低相关留档，仅在后续 monitor 反复出现时重新复核。","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","","","Learn together 学 יחד: https://langroops.com/"
"low-relevance","官方搜索溢出留档","archive","language_official_social_langpal","official/social profile","1","0","0","1","queued","","","低相关留档，仅在后续 monitor 反复出现时重新复核。","来自语言官方/社媒 targeted 查询，但未稳定匹配到主表产品；多为官网子页、多语言页、相邻应用或搜索溢出，保留审计但不进入 monitor 观察缺口。","","","‎Language Pal: Practice with AI App - App Store: https://apps.apple.com/us/app/language-pal-practice-with-ai/id6452385224"
"low-relevance","官方搜索溢出留档","archive","language_official_social_speakyparrot","official/social profile","1","0","0","1","queued","","","低相关留档，仅在后续 monitor 反复出现时重新复核。","来自语言官方/社媒 targeted 查询，但未稳定匹配到主表产品；多为官网子页、多语言页、相邻应用或搜索溢出，保留审计但不进入 monitor 观察缺口。","","","About Us – Speaky: https://www.speaky.com/about-us/"
