"名称","覆盖状态","主结论","相似度","相似度分","相似特征","差异点","增长信号","渠道","证据等级","证据数","来源层","下一步校验","证据"
"MatchaLingua","core","已入主表","相邻变体","5","语言交换核心 | 真人互动 | 附近/线下潜力","把附近语伴、文化体验、线下/线上练习并列为核心。","Exa company 结果返回 2026 年成立、near you language partners、in-person or virtual practice sessions。","本地语伴、文化发现、nearby discovery。","D","2","competitive matrix | language long-tail discovery","保留在相邻竞品；下一步补官网/商店/社媒和增长证据。","MatchaLingua: https://matchalingua.com/"
"Slowly","core","已入主表","相邻变体","5","语言交换核心 | 社区/内容网络 | 可触达渠道","反即时聊天，用延迟送达的信件模拟传统笔友关系。","Exa news 结果返回 Google Play：以数字笔友和跨文化慢通信建立更深连接。","应用商店、笔友文化、慢社交。","C","1","competitive matrix","保留在相邻竞品；下一步补官网/商店/社媒和增长证据。","Google Play: https://play.google.com/store/apps/details?id=com.slowlyapp&hl=id"
"SpeakyParrot","core","已入主表","相邻变体","5","语言交换核心 | 真人互动 | 可触达渠道","语言学习平台叠加 live sessions，真人互动强于纯课程工具但社交网络证据仍弱。","Exa discovery company 结果显示 2024 年成立、提供互动练习和 native speaker live sessions。","官网 SEO、互动练习、native speaker live sessions。","C","2","competitive matrix","保留在相邻竞品；下一步补官网/商店/社媒和增长证据。","Exa discovery company result: https://speakyparrot.com/"
"Talk4Now","core","已入主表","相邻变体","5","语言交换核心 | 真人互动 | 可触达渠道","create/join rooms by language，用实时多人语音降低开口门槛。","Exa company 结果返回 2026 年成立、面向全球真人口语练习和多人语言房间。","语言房间、全球 learner/native speaker matching、官网 SEO。","C","2","competitive matrix | language long-tail discovery","保留在相邻竞品；下一步补官网/商店/社媒和增长证据。","Talk4Now: https://talk4now.com/"
"FluentPal","core","已入主表","边界/待补","4","语言交换核心 | 真人互动","即时匹配语伴，同时加入动态会话、测验和反馈。","Exa company 结果返回 matched to a language partner、instant matching、personalized practice。","伙伴匹配、个性化练习、教育场景。","C","1","competitive matrix","保留边界或 watchlist；下一步确认是否是真人语伴社交而非纯学习工具。","官网: https://fluentpal.net/"
"FluentPal Ltd","watchlist","候选补证","边界/待补","4","语言交换核心 | 真人互动 | 可触达渠道","定位接近语言交换，但增长/官方/消费社交证据仍需补强。","Exa 长尾结果显示有真人语伴、连接或语言交换属性，但还需要官网/应用商店/社媒证据后再决定是否升级进主表。","language long-tail discovery","","1","language long-tail discovery","保留边界或 watchlist；下一步确认是否是真人语伴社交而非纯学习工具。","FluentPal Ltd: https://fluentpal.net/"
"Inatlantis","watchlist","候选补证","边界/待补","4","语言交换核心 | 真人互动 | 可触达渠道","定位接近语言交换，但增长/官方/消费社交证据仍需补强。","Exa 长尾结果显示有真人语伴、连接或语言交换属性，但还需要官网/应用商店/社媒证据后再决定是否升级进主表。","language long-tail discovery","","1","language long-tail discovery","保留边界或 watchlist；下一步确认是否是真人语伴社交而非纯学习工具。","Inatlantis: https://inatlantis.com/"
"meeTalk","core","已入主表","边界/待补","4","语言交换核心 | 真人互动","把 language exchange 和 global chat 合在一个社交消息平台。","Exa company 结果返回 native speaker matching、international friends、culture exploration。","全球聊天、兴趣/语言匹配、跨文化交友。","C","1","competitive matrix","保留边界或 watchlist；下一步确认是否是真人语伴社交而非纯学习工具。","官网: https://quiksa.com/"
"Lingopie","boundary","学习工具边界","边界/待补","3","语言交换核心 | 真人互动 | 社区/内容网络","语言学习或社交边界样本，需继续验证真人语伴和增长证据。","结果更偏内容学习或课程工具，真人社交/语伴证据弱；保留为边界样本，不直接升级。","language long-tail discovery","","1","language long-tail discovery","保留边界或 watchlist；下一步确认是否是真人语伴社交而非纯学习工具。","Lingopie: https://lingopie.com/"
"LingoPraxis","boundary","长尾留档","边界/待补","3","语言交换核心 | 真人互动 | 可触达渠道","语言学习或社交边界样本，需继续验证真人语伴和增长证据。","targeted Exa company/news pass 证明其有官网、App Store / Google Play、Telegram bot 和 peer-to-peer speaking club 属性，但未找到融资、强增长、社媒声量或开放消费社交规模信号；作为 HelloTalk/Tandem 长尾覆盖保留，不升级主矩阵。 / 有官网、商店和真人语言练习定位，但 targeted Exa 补证仍未找到融资、强增长、社媒声量或开放消费社交规模信号；作为长尾覆盖保留，不升级主表。","language long-tail discovery / candidate deep-dive","","6","language long-tail discovery | candidate deep-dive","保留边界或 watchlist；下一步确认是否是真人语伴社交而非纯学习工具。","LingoPraxis: Practice speaking English online: https://lingopraxis.com/ | LingoPraxis: Language Exchange 4+: https://apps.apple.com/ua/app/lingopraxis-language-exchange/id6446861184 | INT'L CAFE: https://intlcafe.io/ | ‎LingoPraxis: Speaking Club App - App Store: https://apps.apple.com/us/app/lingopraxis-speaking-club/id6446861184"
"Conversifi","boundary","边界参照","边界/待补","1","语言交换核心","语言学习或社交边界样本，需继续验证真人语伴和增长证据。","candidate deep-dive 已复核为边界或暂缓项，不进入主表候选升级队列。 / 定位清楚，偏大学语言与文化交换；更像垂直/B2B 场景，缺少开放消费社交增长信号，作为 HelloTalk/Tandem 边界参照保留。","language long-tail discovery / candidate deep-dive","","5","language long-tail discovery | candidate deep-dive","保留边界或 watchlist；下一步确认是否是真人语伴社交而非纯学习工具。","Language and Cultural Exchange for College Students | Conversifi: https://conversifi.com/ | INT'L CAFE: https://intlcafe.io/ | X - Connecting Language Learners - Conversifi | Connecting the World in Conversation: https://conversifi.com/connecting-language-learners/"
