"扫描ID","扫描主题","候选名称","发布日期/月","赛道","金额/规模信号","处理状态","下一步动作","原始标题","证据","摘要"
"ai_dating_funding_expansion","AI dating / matchmaking funding expansion","Exclusive: Peak XV leads Ditto's $9.2M to end college swipe fatigue with AI dates — TFN","2026.02","AI dating / IRL dating","$9.2M","已覆盖/重复佐证","Ditto $9.2M 已由更强来源进入补充融资新闻；该媒体来源保留为重复佐证。","Exclusive: Peak XV leads Ditto's $9.2M to end college swipe fatigue with AI dates — TFN","https://techfundingnews.com/ditto-9-2m-seed-peak-xv-ai-college-dates/","Exclusive: Peak XV leads Ditto's $9.2M to end college swipe fatigue with AI dates — TFN ... # Exclusive: Peak XV leads Ditto’s $9.2M to end college swipe fatigue with AI dates ... February 3, 2026 ... A lot of college students get tired of endless swiping and messaging on dating apps, and often never meet in person. Ditto uses iMessage to match people up, sk"
"ai_friend_wearables","AI friend / wearable companion","Limitless","2025.12","AI friend / wearable companion","Acquires","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Meta Acquires Limitless, Halts Sales Of AI Pendant Wearable","https://techcrawlr.com/meta-acquires-limitless-halts-sales-of-ai-pendant-wearable/","Meta Platforms has acquired Limitless, the developer of an AI-powered pendant that records and transcribes conversations, integrating the startup’s team into its Reality Labs wearables division. The deal, announced by Limitless CEO Dan Siroker, aligns with Meta’s push to expand beyond smart glasses into broader AI hardware. Limitless, previously known as Rew"
"ai_social_games_funding","AI social games / playable social funding","Oasiz","2025.10","AI social / entertainment","raises","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Oasiz raises $2.5M seed round for viral playable content - GamesBeat","https://gamesbeat.com/oasiz-raises-2-5m-seed-round-for-viral-playable-content/","Oasiz raises $2.5M seed round for viral playable content - GamesBeat ... Oasiz, a social creation platform built for instant interactive experiences, said it raised $2.5 million in seed funding. ... A16z Speedrun and The Venture Reality Fund led the round, with participation from industry executives Tabish Ahmed and Mike Abbott. ... Oasiz is pioneering what "
"ai_native_social_networks","AI-native social networks","Oasiz","2025.10","AI social / entertainment","Raises","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","""Oasiz Raises $2.5M Seed Round to Launch Social Platform for Viral Playable Content"" - Games Press","https://www.gamespress.com/Oasiz-Raises-25M-Seed-Round-to-Launch-Social-Platform-for-Viral-Playab",", 2025 – Oasiz, a social creation platform built for instant interactive experiences, today announced it has raised $2.5 million in seed funding. The round was led by a16z Speedrun and The Venture Reality Fund, with participation from leading industry executives Tabish Ahmed and Mike Abbott. Oasiz is pioneering what it calls “playable content”—a new category"
"ai_social_games_funding","AI social games / playable social funding","Oasiz","2025.10","AI social / entertainment","raises","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Oasiz raises $2.5M to make TikTok-style “playable content” a thing — here’s what that actually means | FinalBoss | FinalBoss.io","https://finalboss.io/oasiz-raises-2-5m-to-make-tiktok-style","Oasiz just raised $2.5 million to chase a big idea: a TikTok-style feed where the posts aren’t videos or photos, but tiny multiplayer games you can make, remix, and share in seconds. This caught my attention because I’ve watched platform after platform try to mash TikTok’s virality with Roblox’s creation tools-and most of them either run into moderation hell"
"ai_social_games_funding","AI social games / playable social funding","Oasiz","2025.10","AI social / entertainment","Raises","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Oasiz Raises $2.5M Seed Round Funding—TikTok Meets Roblox","https://www.digitalmusicnews.com/2025/10/09/oasiz-raises-2-5m-seed-round/","Oasiz Raises $2.5M Seed Round Funding—TikTok Meets Roblox ... # Oasiz Raises $2.5 Million In Seed Round Funding—But Will ‘TikTok Meets Roblox’ Fly? ... October 9, 2025 ... ## Oasiz, a new social creation platform based in San Francisco, has closed a $2.5 million seed round. The platform targets the intersection of gaming, social sharing, and virality—think T"
"ai_companion_funding_expansion","AI companion funding expansion","Tolan","2025.07","AI companion","raises","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","AI companionship app Tolan raises $20M to help more people grow with a virtual alien friend – GeekWire","https://www.geekwire.com/2025/ai-companionship-app-tolan-raises-20m-to-help-more-people-grow-with-a-virtual-alien-friend/","AI companionship app Tolan raises $20M to help more people grow with a virtual alien friend – GeekWire ... The Tolan app features AI companions from Planet Portola. They are designed to help users feel grounded and confident, according to the startup that created them. (Tolan Image) ... The startup behind the colorful, animated AI companions called Tolan rai"
"ai_friend_wearables","AI friend / wearable companion","Friend","2024.12","AI friend / wearable companion","raise","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Friend’s AI chatbots have issues — and they want your help | The Verge","https://www.theverge.com/2024/12/9/24315126/friend-pendant-artificial-intelligence-companionship-avi-schiffmann","Friend just raised another $5.4 million to bring AI friends into the real world. ... Friend’s turn toward moodiness has sparked some confusion online, but as Schiffmann will happily explain, it’s entirely intentional. “If they just opened with ‘Hey, what’s up?’ like most other bots do, you don’t really know what to talk about,” he tells me. As Friend prepare"
"ai_companion_funding_expansion","AI companion funding expansion","Dippy AI","2024.10","AI companion","Raises","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Dippy AI Raises $2.1M in Pre-Seed Funding","https://www.finsmes.com/2024/10/dippy-ai-raises-2-1m-in-pre-seed-funding.html","Dippy AI Raises $2.1M in Pre-Seed Funding Sign in Join Sign in Welcome!Log into your account your username your password Forgot your password? Create an account Sign up Welcome!Register for an account your email your username A password will be e-mailed to you. Password recovery Recover your password your email Search FinSMEs The Website About Venture Capita"
"irl_social_funding_expansion","IRL social funding expansion","Pie","2024.10","IRL / offline social","raise","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","An IRL social startup that aims to help strangers connect in group hangouts raised $11.5 million. Read its pitch deck. - B17 News","https://b17news.com/an-irl-social-startup-that-aims-to-help-strangers-connect-in-group-hangouts-raised-11-5-million-read-its-pitch-deck/","An IRL social startup that aims to help strangers connect in group hangouts raised $11.5 million. Read its pitch deck. - B17 News ... The team behind Pie, an IRL-social startup founded by Andy Dunn, is based in Chicago. ... Pie, a Chicago-based startup founded by menswear brand Bonobos’ Andy Dunn, is joining the race to help people make friends. ... One of m"
"ai_native_social_networks","AI-native social networks","Butterflies AI","2024.06","AI social / entertainment","$4.8M","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Butterflies takes flight with $4.8M, launches social media platform combining AI and human content – GeekWire","https://www.geekwire.com/2024/butterflies-takes-flight-with-4-8m-launches-social-media-platform-combining-ai-and-human-content/","Butterflies takes flight with $4.8M, launches social media platform combining AI and human content – GeekWire Share iPhone screenshots of the Butterflies AI app. (App Store Images) Butterflies, a Bellevue, Wash.-based social media platform that combines human and AI-generated content, launched Tuesday after raising $4.8 million in seed funding. After five mo"
"ai_native_social_networks","AI-native social networks","Butterflies AI","2024.06","AI social / entertainment","Raises","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Butterflies AI Raises Seed Round, Launches First Social","https://www.globenewswire.com/news-release/2024/06/18/2900674/0/en/Butterflies-AI-Raises-Seed-Round-Launches-First-Social-Media-Platform-Where-People-and-AI-Friends-Co-Exist.html","AI Raises Seed Round, Launches First Social Media Platform Where People and AI Friends Co-Exist ... BELLEVUE, Wash., June 18, 2024 (GLOBE NEWSWIRE) -- Butterflies AI, the first social media platform allowing humans and AIs to co-exist, announced today the public launch of its platform after five months in beta. Butterflies AI combines public AI models with i"
"ai_friend_wearables","AI friend / wearable companion","Limitless","","AI friend / wearable companion","acquire","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Limitless","https://www.limitless.ai/","# Limitless has been acquired by Meta ... I'm excited to share that Limitless has been acquired by Meta. I'm going to share why we joined forces, what this means for customers, and what comes next. ... Meta recently announced a new vision to bring personal superintelligence to everyone and a key part of that vision is building incredible AI-enabled wearables"
"ai_dating_funding_expansion","AI dating / matchmaking funding expansion","Sitch / AI matchmaking apps","","AI dating / IRL dating","$5M","已覆盖/重复佐证","Sitch 已作为 AI dating / human matchmaking 的补充融资/发布信号留档；该来源保留为重复佐证，不再进入候选升级队列。","Sitch launches AI matchmaking app to reinvent modern dating","https://www.m13.co/article/sitch-launches-ai-matchmaking-app-to-reinvent-modern-dating","# Sitch launches AI matchmaking app to reinvent modern dating ... The newly-launched AI match-making app, created by co-founders Nandini Mullaji and Chad DePue, already has over 10,000 profiles in New York City. ... M13 is excited to lead the $5M seed in Sitch, AI dating startup co-founded by Bumble and Snap alumni. The company, co-founded by Nandini Mullaji"
