"来源层","查询ID","类别","requestId","结果数","唯一域名数","头部来源域名","查询语句"
"main research","offline_social_discovery_companies","company","a26a31e756cb36c76216312dc66061e5","12","12","getpie.app (1) | gistirl.com (1) | greatnight.us (1) | homiiworld.com (1) | kaiwa.club (1)","offline social discovery apps meet new friends IRL dinner strangers events algorithm matching 222 Pie Timeleft Saturday Plots Partiful"
"main research","offline_events_boundary_news","news","682d826ccd46269d2ab7551fb0ea6eae","10","9","trysignalbase.com (2) | ainvest.com (1) | digitalmarketreports.com (1) | mazech.com (1) | nbcchicago.com (1)","IRL social events app funding 2024 2025 2026 Partiful Plots Saturday 222 Pie Timeleft friends events meetup social discovery"
"main research","ai_dating_irl_news","news","4032c02b1d9b635d05f894b0935a8516","12","10","techcrunch.com (3) | apps.apple.com (1) | businesswire.com (1) | columbianewsservice.com (1) | datingindustryinsights.com (1)","AI dating app offline dates anti swiping IRL meetups funding launch 2024 2025 2026 Breeze Hinge Tinder Bumble Thursday dating app"
"main research","group_travel_irl_news","news","e4b40a82ec03109612c52a34a92fe0af","12","12","bebeez.eu (1) | eu-startups.com (1) | eunewsweek.com (1) | finance.yahoo.com (1) | rentalscaleup.com (1)","group travel social app funding 2024 2025 2026 WeRoad Airbnb millennials Gen Z strangers travel friends community"
"main research","local_activity_social_companies","company","83db7ca1df4ec7cd13e4a49eea67b24d","12","12","after-5.co (1) | aglow.life (1) | bridgeme.app (1) | encoredays.com (1) | getsaturday.com (1)","local activity social apps meet new friends over 40 Gen X group activities IRL social app Meet5 Aglow Luma Posh Plots Saturday"
"main research","offline_social_company_boundary","company","93a7f6de9f19e25a0402f611b7c75259","12","12","approachable.ai (1) | aroundme.co (1) | getpie.app (1) | getsaturday.com (1) | lomo.social (1)","companies offline social app events meetups friends Partiful Plots Saturday Posh Luma Timeleft 222 Pie AI matching"
"main research","ai_companion_research","research paper","acdb07101c5ddbf2decc38dc11f9f3a6","12","4","arxiv.org (8) | sciencedirect.com (2) | frontiersin.org (1) | pmc.ncbi.nlm.nih.gov (1)","AI companion social relationships loneliness teens Replika Character.AI Nomi research paper 2024 2025 2026"
"main research","offline_loneliness_research","research paper","43026573c12dad810d366f1e504eab38","12","7","nature.com (3) | arxiv.org (2) | pmc.ncbi.nlm.nih.gov (2) | sciencedirect.com (2) | dl.acm.org (1)","offline social connection loneliness social apps algorithmic matching in-person meetups research 2024 2025 2026"
"main research","consumer_ai_financial_reports","financial report","609483fba332a02c732d6d6111db1383","12","1","sec.gov (12)","AI companion apps revenue report 2025 Character.AI Replika PolyBuzz Chai Talkie Pengu consumer AI app market"
"main research","app_market_reports","financial report","70dc643ac643b49ab930661f0f2e7ce0","12","1","sec.gov (12)","consumer AI app market report AI companion app revenue downloads 2024 2025 Sensor Tower Appfigures data.ai financial report"
"main research","consumer_ai_app_rankings","financial report","7b207591d0c4fd78bc21422fb455edb1","12","1","sec.gov (12)","top consumer generative AI apps rankings AI companion mobile app downloads revenue report 2025 2026 Andreessen Sensor Tower Appfigures"
"main research","ai_social_revenue_download_reports","financial report","5fc4f02b54b12f6237fa3a79132c44e0","12","1","sec.gov (12)","AI social app AI companion app revenue downloads report 2026 China overseas Talkie PolyBuzz HiWaifu Linky Character.AI Replika Sensor Tower Appfigures"
"main research","founder_people_background","people","81da8eeb78bf07736582ab39df325d84","12","1","linkedin.com (12)","founders of AI social apps 222 Pie Butterflies Daze Status AI Tolan Born Pengu background investors"
"main research","offline_social_founders_people","people","596136dfdd1e2c059aacda3db53a75e5","12","1","linkedin.com (12)","founders 222 Pie Timeleft offline social app AI matching friends dinner strangers founder background investors"
"official/social pass","language_social_profiles","official/social profile","7f8f3b82657c97279de02b0ea266b6b5","15","6","play.google.com (7) | hellotalk.com (4) | apps.apple.com (1) | hilokal.com (1) | kr.linkedin.com (1)","official website LinkedIn Instagram App Store Google Play HelloTalk Tandem Hilokal SewaYou language exchange app"
"official/social pass","language_social_profiles_more","official/social profile","0a7c4ede3cd78ff7c82fc3fd9138e6cb","15","5","play.google.com (8) | apps.apple.com (4) | conversationexchange.com (1) | linguado.en.aptoide.com (1) | linkedin.com (1)","official website LinkedIn Instagram App Store Google Play Slowly Linguado LangPal MatchaLingua Conversation Exchange language exchange app"
"official/social pass","ai_companion_social_profiles","official/social profile","a29fb67adfe33dcbbb6c595712c9e8ec","15","4","play.google.com (9) | apps.apple.com (4) | polybuzz.ai (1) | replika.com (1)","official website LinkedIn Instagram TikTok X Discord App Store Google Play Character.AI Replika Chai Talkie Tolan Dippy PolyBuzz HiWaifu AI companion app"
"official/social pass","irl_social_profiles","official/social profile","f6d12b0c3fd1c0728d487e88cebd90f8","14","8","apps.apple.com (4) | play.google.com (2) | soren.social (2) | timeleft.com (2) | linkedin.com (1)","official website LinkedIn Instagram TikTok X App Store 222 Pie Timeleft Partiful Breeze WeRoad MeetMux Aglow Life Paxmeet Thursday IRL social app"
"official/social pass","ai_social_official_gap_profiles","official/social profile","9b8b4573beda2736e2798b8ef258355d","15","6","apps.apple.com (8) | play.google.com (3) | app-download.com (1) | born.com (1) | linkedin.com (1)","official website App Store Google Play LinkedIn Instagram Discord Status AI Butterflies AI Daze Shapes Born Pengu AI social app"
"official/social pass","irl_official_gap_profiles","official/social profile","473c10ffd102ff6a07606322e0cc8e6d","14","8","play.google.com (7) | aeroleads.com (1) | apps.apple.com (1) | linkedin.com (1) | meet5.com (1)","official website App Store Google Play LinkedIn Instagram Meet5 Thursday Breeze Aglow Life Partiful WeRoad IRL dating social app"
"official/social pass","language_long_tail_official_gap_profiles","official/social profile","53bd7c661dcb6a1a8f19858234767b4d","15","6","play.google.com (7) | apps.apple.com (4) | fluentpal.app (1) | hellotalk.com (1) | lingbe.com (1)","official website App Store Google Play LinkedIn Conversation Exchange Talk4Now meeTalk LangPal MatchaLingua FluentPal Lingbe SpeakyParrot Fluently language exchange app"
"official/social pass","language_social_handles","official/social profile","aa6a50810a31b0e0cb39f2d6b7b6c6ed","14","8","hellotalk.com (3) | play.google.com (3) | apps.apple.com (2) | sewayou.com (2) | hilokal.com (1)","official Instagram TikTok X Twitter Facebook YouTube HelloTalk Tandem Hilokal SewaYou Slowly Linguado language exchange app social media"
"official/social pass","ai_social_handles","official/social profile","5cd736bb82c7b44eb938d2cede5321cb","10","5","play.google.com (3) | tiktok.com (3) | youtube.com (2) | fastcompany.com (1) | replika.com (1)","official Instagram TikTok X Twitter Discord YouTube Character.AI Replika Chai Talkie Dippy PolyBuzz Status AI Butterflies AI Daze social media"
"official/social pass","irl_social_handles","official/social profile","c6952975966287594c62fa39fa637c40","15","12","apps.apple.com (3) | play.google.com (2) | androidrank.org (1) | appbrain.com (1) | businessreviewlive.com (1)","official Instagram TikTok X Twitter Facebook YouTube 222 Pie Timeleft Partiful Breeze WeRoad Meet5 Thursday IRL social app social media"
"language growth/channel deep-dive","conversation_exchange_growth","company","874a54de524a9d046cd3cd736f259ca3","8","8","conversationexchange.com (1) | intlcafe.io (1) | italki.com (1) | languageconvo.com (1) | lingopraxis.com (1)","Conversation Exchange language exchange website app users traffic SEO app store social media growth"
"language growth/channel deep-dive","sewayou_growth","company","cd246b6c3e86d8b13b96d390f3d489ed","8","8","fluyo.com (1) | intlcafe.io (1) | needyou.app (1) | plang.ai (1) | seeme-app.com (1)","SewaYou language exchange app nearby face to face users App Store Google Play growth social media"
"language growth/channel deep-dive","talk4now_growth","company","53b845e1a2f5673f6f60dd3c18a7a7aa","8","8","intlcafe.io (1) | sewayou.com (1) | talk4now.com (1) | talkabroad.com (1) | talkme.ai (1)","Talk4Now language exchange app users launch app store social media growth channel"
"language growth/channel deep-dive","meetalk_growth","company","fb0a3dcf2332d723db598e06addbe87c","8","8","gomeetalk.com (1) | hellotalk.com (1) | intlcafe.io (1) | meet2talk.online (1) | meetalk.com (1)","meeTalk language exchange app users app store google play social media growth channel"
"language growth/channel deep-dive","langpal_growth","company","eb62628cbeeb0a8e1e3bd8978c18aa59","8","8","chatterboxlabs.io (1) | ezspeak.ai (1) | fluentpal.net (1) | lang-pal.com (1) | langclub.live (1)","LangPal AI language learning chat app users app store growth community"
"language growth/channel deep-dive","matchalingua_growth","company","d2ab03129b66e4048bb8cf84166f8e0d","8","8","conversationexchange.com (1) | fluentpal.net (1) | lang-pal.com (1) | lingopraxis.com (1) | matchalingua.com (1)","MatchaLingua language partners nearby app users launch app store social media"
"language growth/channel deep-dive","roamchat_growth","news","2ac3a4bbbd1ca69a6ae4abfaaa76d2fb","8","8","aijourn.com (1) | apps.apple.com (1) | billhartzer.com (1) | locanucu.com (1) | moneycompass.com.my (1)","RoamChat AI roaming social platform language translation launch users app store growth"
"language growth/channel deep-dive","speakyparrot_growth","company","1c44cdd8e941013b6dd2753117062127","8","8","beespeaker.com (1) | fluently.chat (1) | lingopraxis.com (1) | linguado.com (1) | sewayou.com (1)","SpeakyParrot native speaker language exchange app users live sessions growth app store"
"language growth/channel deep-dive","fluently_growth","company","cc268b7cd660995cf2d731d191bcc56a","8","8","conversationexchange.com (1) | fluently.academy (1) | fluently.chat (1) | fluentpal.net (1) | getfluently.app (1)","Fluently chat live language exchange native speakers users app store growth social media"
"language growth/channel deep-dive","lingbe_growth","company","f81bda0ddcded4379563db63b7df5bfc","8","8","elingora.com (1) | fluently.chat (1) | lingbe.com (1) | lingopraxis.com (1) | linguado.com (1)","Lingbe language exchange app users downloads app store google play growth native speakers"
"language growth/channel deep-dive","slowly_growth","company","b180a22b5cd43a50d9c1cc69e04c40ca","8","8","hellopal.com (1) | hellotalk.com (1) | langly.ai (1) | lingopraxis.com (1) | penpal.me (1)","Slowly pen pal app users downloads awards app store growth community language exchange"
"language growth/channel deep-dive","lingopraxis_growth","company","ccba41530ce69f821aec57b5e269cbe8","8","8","beelinguapp.com (1) | intlcafe.io (1) | lingolooper.com (1) | lingopraxis.com (1) | linkedin.com (1)","LingoPraxis language exchange speaking club app store google play telegram users growth"
"language official/social deep-dive","tandem","official/social profile","e22b2da39baea6f29682abde2d24ee40","8","4","play.google.com (4) | apps.apple.com (2) | linkedin.com (1) | tandem.net (1)","Tandem language exchange app LinkedIn Instagram TikTok Facebook X App Store Google Play official"
"language official/social deep-dive","hilokal","official/social profile","f4ad27d4c8f3c716ff5f49863d9f1c14","8","3","play.google.com (4) | apps.apple.com (2) | hilokal.com (2)","Hilokal language exchange app LinkedIn Instagram TikTok Facebook X App Store Google Play official"
"language official/social deep-dive","sewayou","official/social profile","2b4e91a70be97687171a126fa49d5370","8","3","play.google.com (4) | apps.apple.com (3) | sewayou.com (1)","SewaYou language exchange app LinkedIn Instagram TikTok Facebook X App Store Google Play official"
"language official/social deep-dive","conversation-exchange","official/social profile","512f3a08de3516542b2e59481510b5c0","8","3","conversationexchange.com (6) | linkedin.com (1) | website.informer.com (1)","""Conversation Exchange"" language exchange LinkedIn Facebook Instagram X official website conversationexchange.com"
"language official/social deep-dive","talk4now","official/social profile","3adec8be45088ffaec87b72674bb9dba","8","1","talk4now.com (8)","""Talk4Now"" language exchange LinkedIn Instagram Facebook X official app store talk4now.com"
"language official/social deep-dive","meetalk","official/social profile","762ab3c6922ac0dbd616526452f80a2d","8","7","play.google.com (2) | apkpure.com (1) | apkpure.net (1) | chrome-stats.com (1) | meetalk.net (1)","meeTalk language exchange app LinkedIn Instagram Facebook Google Play official"
"language official/social deep-dive","langpal","official/social profile","ea4f697ed7a548b6d2ba05def5a3d3e1","8","3","apps.apple.com (5) | langpal.ai (2) | lang-pal.com (1)","LangPal language app LinkedIn Instagram TikTok App Store Google Play official"
"language official/social deep-dive","matchalingua","official/social profile","330e39996a244124545e1c1a192e344e","8","4","apps.apple.com (4) | play.google.com (2) | langmatch.app (1) | smushydushy.com (1)","""MatchaLingua"" language exchange LinkedIn Instagram Facebook App Store Google Play official"
"language official/social deep-dive","slowly","official/social profile","2d60a3812b72285137924a63adbaaf62","7","3","play.google.com (4) | slowly.app (2) | apps.apple.com (1)","Slowly app LinkedIn Instagram Facebook X App Store Google Play official"
"language official/social deep-dive","fluentpal","official/social profile","e382b9f60d6a6f31d0eab27c068731b6","8","4","apps.apple.com (4) | play.google.com (2) | fluentpal.app (1) | producthunt.com (1)","""FluentPal"" language app LinkedIn Instagram TikTok App Store Google Play official"
"language official/social deep-dive","roamchat","official/social profile","e2c2e5e9eaa351983a5fe464f2ca5c44","8","7","prnewswire.com (2) | ai-watch.jp (1) | apps.apple.com (1) | billhartzer.com (1) | briefglance.com (1)","""RoamChat"" AI roaming social platform LinkedIn Instagram X App Store Google Play official RoamChat"
"language official/social deep-dive","lingbe","official/social profile","127f2ac5cac32902b4ef1cd807021cf2","8","4","apps.apple.com (4) | play.google.com (2) | github.com (1) | lingbe.com (1)","Lingbe language exchange app LinkedIn Instagram Facebook X App Store Google Play official"
"language official/social deep-dive","speakyparrot","official/social profile","8ec930570d8b79a7e3da1ec1013721de","8","6","speaky.com (2) | speakyparrot.com (2) | apps.apple.com (1) | github.com (1) | play.google.com (1)","""SpeakyParrot"" language exchange app LinkedIn Instagram Facebook App Store Google Play official speakyparrot.com"
"language official/social deep-dive","fluently","official/social profile","917705f516064f4a8869f41ee7d310f3","8","4","apps.apple.com (4) | play.google.com (2) | fluently.chat (1) | linkedin.com (1)","Fluently chat language exchange LinkedIn Instagram TikTok App Store Google Play official"
