"名称","覆盖状态","IRL/赛道","主结论","来源层","所有结论","原因","证据"
"Partiful","core-boundary","高（边界）","已入 IRL 主表","competitive matrix | funding/news timeline","已入 IRL 主表 | 已入近两年 IRL/边界事件","Exa boundary news 返回 Partiful 2024 年 20M Series A；CNBC/NBC 结果提到 2025 年新增 200 万用户。 / $20M Series A","$20M Series A: https://www.trysignalbase.com/news/funding/partiful-secures-20-million-in-series-a-funding-to-revolutionize-social-event-planning-and-foster-meaningful-connections | NBC/CNBC: https://www.nbcchicago.com/news/business/money-report/meet-partiful-the-gen-z-party-planning-staple-thats-taking-on-apple/3726123/"
"Plots / Saturday / Posh","core-boundary","高（边界）","已入 IRL 主表","competitive matrix","已入 IRL 主表","Exa company boundary 查询返回 Plots、Saturday、Posh、Around Me 等线下活动/附近兴趣产品。","Plots: https://plots.events/ | Saturday: https://getsaturday.com/ | Posh: https://posh.vip/"
"Thursday","core-boundary","最高（dating 边界）","已入 IRL 主表","competitive matrix | funding/news timeline","已入 IRL 主表 | 已入近两年 IRL/边界事件","Exa AI dating 专项结果返回 TechCrunch：Thursday dating app 2024 年扩张旧金山，主张每周四集中匹配和线下活动。 / San Francisco launch / offline dating events","San Francisco launch / offline dating events: https://techcrunch.com/2024/08/08/thursday-dating-app-san-francisco-launch/"
"WeRoad","core-boundary","最高（旅行边界）","已入 IRL 主表","competitive matrix | funding/news timeline","已入 IRL 主表 | 已入近两年 IRL/边界事件","Exa monitor 新增提醒返回 WeRoad/Pulse2：2026-05 完成 5800 万美元 Series C，并与 Airbnb 相关资本一起扩张美国。 / $58M Series C","$58M Series C: https://www.weroad.com/blog/weroad-closes-a-58-million-launch-us | Pulse2: https://pulse2.com/weroad-58-million-series-c-raised-to-expand-group-travel-platform-into-the-united-states/"
"Bumble Bee","funding-news","AI dating feature","已入近两年 IRL/边界事件","funding/news timeline | supplemental funding/news","已入近两年 IRL/边界事件 | 补充 IRL/AI dating 信号","AI dating assistant launch","Bumble introduces an AI dating assistant, 'Bee' | TechCrunch: https://techcrunch.com/2026/03/12/bumble-introduces-an-ai-dating-assistant-bee/"
"Tinder Live Events","funding-news","IRL dating feature","已入近两年 IRL/边界事件","funding/news timeline | supplemental funding/news","已入近两年 IRL/边界事件 | 补充 IRL/AI dating 信号","live events + AI features + group dating / IRL events / virtual speed dating","live events + AI features + group dating: https://www.bloomberg.com/news/features/2026-05-20/tinder-launches-live-events-ai-features-and-group-dating-to-attract-gen-z | Dating Apps Bet on IRL Events | Dating Industry Insights: https://www.datingindustryinsights.com/resources/singles-economy/thursday-hinge-experience-led-dating-shift"
"Friend","supplemental-signal","AI friend / wearable companion","补充 IRL/AI dating 信号","supplemental funding/news","补充 IRL/AI dating 信号","$5.4M additional raise / real-world AI friend","Friend’s AI chatbots have issues — and they want your help | The Verge: https://www.theverge.com/2024/12/9/24315126/friend-pendant-artificial-intelligence-companionship-avi-schiffmann"
"Known","supplemental-signal","AI dating / real dates","补充 IRL/AI dating 信号","supplemental funding/news","补充 IRL/AI dating 信号","nearly $10M / AI voice dating app","Stanford dropouts raise nearly $10M to launch AI dating app – NBC Bay Area: https://www.nbcbayarea.com/news/local/stanford-known-dating-app-ai/4091043/"
"Posh","supplemental-signal","IRL events / social planning","补充 IRL/AI dating 信号","supplemental funding/news","补充 IRL/AI dating 信号","$37M Series B","Exclusive: Posh lands $37M Series B to crack the 'what are we doing tonight?' problem | Fortune: https://fortune.com/2026/03/19/exclusive-posh-lands-37m-series-b-what-are-we-doing-tonight-problem/"
"Sitch / AI matchmaking apps","supplemental-signal","AI dating / matchmaking","补充 IRL/AI dating 信号","supplemental funding/news","补充 IRL/AI dating 信号","AI + human matchmaking launch/funding signal","Bumble introduces an AI dating assistant, 'Bee' | TechCrunch: https://techcrunch.com/2026/03/12/bumble-introduces-an-ai-dating-assistant-bee/"
"China&#039;s AI Companion Apps Hit $7 Billion — Tech Giants Race to Cash In | singaporeinformer.com","monitor-known","线下真人社交","已覆盖/继续观察","monitor recent","已覆盖/继续观察","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","Coverage signal watchlist: https://singaporeinformer.com/2026/06/17/chinas-ai-companion-apps-hit-7-billion-tech-giants-race-to-cash-in/"
"Happn Expands Its Presence in London With First Outdoor Advertising Campaign – Topgmnews","monitor-known","线下真人社交","已覆盖/继续观察","monitor recent","已覆盖/继续观察","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","投放 / 付费获客证据: https://www.topgmnews.com/2026/06/17/happn-expands-its-presence-in-london-with-first-outdoor-advertising-campaign/"
"Twice As Many Americans Are Now Using AI Companions Than Dating Apps: SensorTower Data","monitor-known","线下真人社交","已覆盖/继续观察","monitor recent","已覆盖/继续观察","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","Coverage signal watchlist: https://officechai.com/ai/twice-as-many-americans-are-now-using-ai-companions-than-dating-apps-sensortower-data/"
