"名称","覆盖状态","线下模式","进入主表","融资/新闻事件数","monitor 近窗信号数","证据强度","来源层","所有结论","原因","下一步校验","融资/新闻证据","monitor 证据","原始证据"
"Plots / Saturday / Posh","core-boundary","events / party","yes","1","0","solid","competitive matrix","已入 IRL 主表","Exa company boundary 查询返回 Plots、Saturday、Posh、Around Me 等线下活动/附近兴趣产品。","补一轮官方、社媒或下载量证据，再决定是否提升展示优先级。","2026.03 Posh $37M Series B: https://fortune.com/2026/03/19/exclusive-posh-lands-37m-series-b-what-are-we-doing-tonight-problem/","","Plots: https://plots.events/ | Saturday: https://getsaturday.com/ | Posh: https://posh.vip/"
"Posh","supplemental-signal","dating / matchmaking","yes","1","0","solid","supplemental funding/news","补充 IRL/AI dating 信号","$37M Series B","补一轮官方、社媒或下载量证据，再决定是否提升展示优先级。","2026.03 Posh $37M Series B: https://fortune.com/2026/03/19/exclusive-posh-lands-37m-series-b-what-are-we-doing-tonight-problem/","","Exclusive: Posh lands $37M Series B to crack the 'what are we doing tonight?' problem | Fortune: https://fortune.com/2026/03/19/exclusive-posh-lands-37m-series-b-what-are-we-doing-tonight-problem/"
"Thursday","core-boundary","dating / matchmaking","yes","1","0","solid","competitive matrix | funding/news timeline","已入 IRL 主表 | 已入近两年 IRL/边界事件","Exa AI dating 专项结果返回 TechCrunch：Thursday dating app 2024 年扩张旧金山，主张每周四集中匹配和线下活动。 / San Francisco launch / offline dating events","补一轮官方、社媒或下载量证据，再决定是否提升展示优先级。","2024.08 Thursday San Francisco launch / offline dating events: https://techcrunch.com/2024/08/08/thursday-dating-app-san-francisco-launch/","","San Francisco launch / offline dating events: https://techcrunch.com/2024/08/08/thursday-dating-app-san-francisco-launch/"
"Timeleft","core","dinner / restaurant","yes","1","0","solid","competitive matrix | funding/news timeline","已入 IRL 主表 | 已入近两年 IRL/边界事件","Exa 返回 Signalbase：7M Series A；people 查询返回 CEO Maxime Barbier 和 100+ cities GTM/partnership 线索。 / $7M Series A","补一轮官方、社媒或下载量证据，再决定是否提升展示优先级。","2026.03 Timeleft $7M Series A: https://www.trysignalbase.com/news/funding/timeleft-raises-70m-series-a-funding","","$7M Series A: https://www.trysignalbase.com/news/funding/timeleft-raises-70m-series-a-funding | 官网: https://timeleft.com/"
"AppLovin launches Gist, a social app that could change everything","monitor-known","local activity / nearby","yes","0","4","solid","monitor recent","已覆盖/继续观察","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","补一轮官方、社媒或下载量证据，再决定是否提升展示优先级。","","2026-05-28 monitor · 线下真人社交 Breeze Launches IRL Group Dates Across London - Global Dating Insights: https://www.globaldatinginsights.com/featured/breeze-launches-irl-group-dates-across-london/ | 2026-06-03 monitor · Residual IRL watchlist Partiful Launches Ticketing, Bringing Paid Events Into the Social Platform Where People Already Make Plans | Morningstar: https://www.morningstar.com/news/pr-newswire/20260602ny74669/partiful-launches-ticketing-bringing-paid-events-into-the-social-platform-where-people-already-make-plans | 2026-05-28 monitor · Residual IRL watchlist AppLovin Launches Its Own TikTok Rival: https://wersm.com/applovin-launches-its-own-tiktok-rival/ | 2026-05-23 monitor · Residual IRL watchlist AppLovin launches Gist, a social app that could change everything: https://ppc.land/applovin-launches-gist-a-social-app-that-could-change-everything/","Residual IRL watchlist: https://ppc.land/applovin-launches-gist-a-social-app-that-could-change-everything/"
"TikTok's new Events app rewards users for generating buzz about big events - Tubefilter","monitor-known","events / party","yes","0","2","solid","monitor recent","已覆盖/继续观察","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","补一轮官方、社媒或下载量证据，再决定是否提升展示优先级。","","2026-06-05 monitor · Residual IRL watchlist TikTok's new Events app rewards users for generating buzz about big events - Tubefilter: https://www.tubefilter.com/2026/06/04/tiktok-pro-events-app-world-cup/ | 2026-05-28 monitor · Residual IRL watchlist AppLovin Launches Its Own TikTok Rival: https://wersm.com/applovin-launches-its-own-tiktok-rival/","Residual IRL watchlist: https://www.tubefilter.com/2026/06/04/tiktok-pro-events-app-world-cup/"
"AppLovin Launches Its Own TikTok Rival","monitor-known","local activity / nearby","no","1","7","watch","monitor recent","已覆盖/继续观察","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","继续由 monitor 观察，出现产品级官网/融资/增长证据后再升级。","2026.05 Known nearly $10M / AI voice dating app: https://www.nbcbayarea.com/news/local/stanford-known-dating-app-ai/4091043/","2026-05-28 monitor · 线下真人社交 Breeze Launches IRL Group Dates Across London - Global Dating Insights: https://www.globaldatinginsights.com/featured/breeze-launches-irl-group-dates-across-london/ | 2026-05-27 monitor · 线下真人社交 Airbnb-backed WeRoad raises $58M to take its group travel platform to the US | TechCrunch: https://techcrunch.com/2026/05/27/airbnb-backed-weroad-raises-58m-to-take-its-group-travel-platform-to-the-us/ | 2026-06-05 monitor · Residual IRL watchlist TikTok's new Events app rewards users for generating buzz about big events - Tubefilter: https://www.tubefilter.com/2026/06/04/tiktok-pro-events-app-world-cup/ | 2026-06-03 monitor · Residual IRL watchlist Partiful Launches Ticketing, Bringing Paid Events Into the Social Platform Where People Already Make Plans | Morningstar: https://www.morningstar.com/news/pr-newswire/20260602ny74669/partiful-launches-ticketing-bringing-paid-events-into-the-social-platform-where-people-already-make-plans | 2026-05-28 monitor · Residual IRL watchlist AppLovin Launches Its Own TikTok Rival: https://wersm.com/applovin-launches-its-own-tiktok-rival/ | 2026-05-25 monitor · 投放 / 付费获客证据 How Obvi Is Rebuilding Its Entire Meta Ad Stack Around Incremental Lift – D2C Times: https://d2c-times.com/how-obvi-is-rebuilding-its-entire-meta-ad-stack-around-incremental-lift/ | 2026-05-23 monitor · Residual IRL watchlist AppLovin launches Gist, a social app that could change everything: https://ppc.land/applovin-launches-gist-a-social-app-that-could-change-everything/","Residual IRL watchlist: https://wersm.com/applovin-launches-its-own-tiktok-rival/"
"Bumble Bee","funding-news","dating / matchmaking","no","1","0","watch","funding/news timeline | supplemental funding/news","已入近两年 IRL/边界事件 | 补充 IRL/AI dating 信号","AI dating assistant launch","继续由 monitor 观察，出现产品级官网/融资/增长证据后再升级。","2026.03 Bumble Bee AI dating assistant launch: https://techcrunch.com/2026/03/12/bumble-introduces-an-ai-dating-assistant-bee/","","Bumble introduces an AI dating assistant, 'Bee' | TechCrunch: https://techcrunch.com/2026/03/12/bumble-introduces-an-ai-dating-assistant-bee/"
"Ditto","supplemental-signal","dating / matchmaking","no","1","0","watch","supplemental funding/news","补充 IRL/AI dating 信号","$9.2M / real-date college dating","继续由 monitor 观察，出现产品级官网/融资/增长证据后再升级。","2026.02 Ditto $9.2M / real-date college dating: https://markets.businessinsider.com/news/stocks/ditto-raises-9-2m-to-replace-swiping-with-real-dates-for-college-students-1035778345","","Ditto raises $9.2M to replace swiping with real dates for college students | Markets Insider: https://markets.businessinsider.com/news/stocks/ditto-raises-9-2m-to-replace-swiping-with-real-dates-for-college-students-1035778345"
"Friend","supplemental-signal","dating / matchmaking","no","1","1","watch","supplemental funding/news","补充 IRL/AI dating 信号","$5.4M additional raise / real-world AI friend","继续由 monitor 观察，出现产品级官网/融资/增长证据后再升级。","2024.12 Friend $5.4M additional raise / real-world AI friend: https://www.theverge.com/2024/12/9/24315126/friend-pendant-artificial-intelligence-companionship-avi-schiffmann","2026-06-04 monitor · 线下真人社交 Can We Swipe Our Way to Friendship? | KQED: https://www.kqed.org/science/2001059/can-we-swipe-our-way-to-friendship","Friend’s AI chatbots have issues — and they want your help | The Verge: https://www.theverge.com/2024/12/9/24315126/friend-pendant-artificial-intelligence-companionship-avi-schiffmann"
"Known","supplemental-signal","dating / matchmaking","no","1","0","watch","supplemental funding/news","补充 IRL/AI dating 信号","nearly $10M / AI voice dating app","继续由 monitor 观察，出现产品级官网/融资/增长证据后再升级。","2026.05 Known nearly $10M / AI voice dating app: https://www.nbcbayarea.com/news/local/stanford-known-dating-app-ai/4091043/","","Stanford dropouts raise nearly $10M to launch AI dating app – NBC Bay Area: https://www.nbcbayarea.com/news/local/stanford-known-dating-app-ai/4091043/"
"Sitch / AI matchmaking apps","supplemental-signal","dating / matchmaking","no","1","0","watch","supplemental funding/news","补充 IRL/AI dating 信号","AI + human matchmaking launch/funding signal","继续由 monitor 观察，出现产品级官网/融资/增长证据后再升级。","2025.06 Sitch / AI matchmaking apps AI + human matchmaking launch/funding signal: https://techcrunch.com/2026/03/12/bumble-introduces-an-ai-dating-assistant-bee/","","Bumble introduces an AI dating assistant, 'Bee' | TechCrunch: https://techcrunch.com/2026/03/12/bumble-introduces-an-ai-dating-assistant-bee/"
"Tinder Live Events","funding-news","dating / matchmaking","no","1","0","watch","funding/news timeline | supplemental funding/news","已入近两年 IRL/边界事件 | 补充 IRL/AI dating 信号","live events + AI features + group dating / IRL events / virtual speed dating","继续由 monitor 观察，出现产品级官网/融资/增长证据后再升级。","2026.05 Tinder Live Events live events + AI features + group dating: https://www.bloomberg.com/news/features/2026-05-20/tinder-launches-live-events-ai-features-and-group-dating-to-attract-gen-z","","Tinder Launches Live Events, AI Features and Group Dating to Attract Gen Z - Bloomberg: https://www.bloomberg.com/news/features/2026-05-20/tinder-launches-live-events-ai-features-and-group-dating-to-attract-gen-z"
"How Obvi Is Rebuilding Its Entire Meta Ad Stack Around Incremental Lift – D2C Times","monitor-known","local activity / nearby","no","0","3","watch","monitor recent","已覆盖/继续观察","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","继续由 monitor 观察，出现产品级官网/融资/增长证据后再升级。","","2026-05-27 monitor · 线下真人社交 Airbnb-backed WeRoad raises $58M to take its group travel platform to the US | TechCrunch: https://techcrunch.com/2026/05/27/airbnb-backed-weroad-raises-58m-to-take-its-group-travel-platform-to-the-us/ | 2026-05-28 monitor · Residual IRL watchlist AppLovin Launches Its Own TikTok Rival: https://wersm.com/applovin-launches-its-own-tiktok-rival/ | 2026-05-25 monitor · 投放 / 付费获客证据 How Obvi Is Rebuilding Its Entire Meta Ad Stack Around Incremental Lift – D2C Times: https://d2c-times.com/how-obvi-is-rebuilding-its-entire-meta-ad-stack-around-incremental-lift/","投放 / 付费获客证据: https://d2c-times.com/how-obvi-is-rebuilding-its-entire-meta-ad-stack-around-incremental-lift/"
"YaraCircle","monitor-known","local activity / nearby","no","0","1","watch","monitor recent","已覆盖/继续观察","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","继续由 monitor 观察，出现产品级官网/融资/增长证据后再升级。","","2026-05-29 monitor · 新公司 / 新产品 YaraCircle: https://yaracircle.com/","新公司 / 新产品: https://yaracircle.com/"
"Aglow Life","core","local activity / nearby","yes","0","0","seed","competitive matrix","已入 IRL 主表","Exa company 专项结果返回 Aglow Life：+300% YoY 团队增长，定位 local、unfiltered、get people off their phones and back into community。","补一轮官方、社媒或下载量证据，再决定是否提升展示优先级。","","","官网: https://aglow.life/"
"MeetMux","core","local activity / nearby","yes","0","0","seed","competitive matrix","已入 IRL 主表","Exa company 专项结果返回 MeetMux：AI-powered、activity-first social platform，25 人团队、+216.7% YoY，基于实时和计划活动发现附近的人。","补一轮官方、社媒或下载量证据，再决定是否提升展示优先级。","","","官网: https://meetmux.com/"
"Paxmeet","core","events / party","yes","0","0","seed","competitive matrix","已入 IRL 主表","Exa company 专项结果返回 Paxmeet：2025 年成立，KYC-verified people around you，通过 house party、poetry slam、wellness workshop、food crawl 连接陌生人。","补一轮官方、社媒或下载量证据，再决定是否提升展示优先级。","","","官网: https://paxmeet.com/"
"Weekend","core","local activity / nearby","yes","0","0","seed","competitive matrix","已入 IRL 主表","Exa company 专项结果返回 Weekend：帮助 young professionals build local communities and great friendships。","补一轮官方、社媒或下载量证据，再决定是否提升展示优先级。","","","官网: https://weekend.network/"
