"产品/公司","赛道","证据等级","覆盖状态","总证据数","官网","App Store","Google Play","LinkedIn","社媒/社区","新闻/第三方","缺口","下一步校验","证据"
"Lingbe","语言交换与跨文化真人社交","C","可展示但待补","10","3","5","2","0","0","0","补 LinkedIn/团队页 | 补社区/社媒","补 LinkedIn/团队页；补社区/社媒","官网: https://lingbe.com/ | Exa discovery company result: https://lingbe.com/ | Google Play: https://play.google.com/store/apps/details?hl=en_US&id=com.lingbe.app | Google Play: https://play.google.com/store/apps/details?id=com.lingbe.app&hl=en_GB | 官网: https://www.lingbe.com/ | App Store: https://apps.apple.com/us/app/lingbe/id1061633775"
"SpeakyParrot","语言交换与跨文化真人社交","C","可展示但待补","5","5","0","0","0","0","0","补 App Store/Google Play | 补 LinkedIn/团队页 | 补社区/社媒","补 App Store/Google Play；补 LinkedIn/团队页；补社区/社媒","官网: https://speakyparrot.com/ | Exa discovery company result: https://speakyparrot.com/ | 官网: https://speakyparrot.com/ | 官网: https://speakyparrot.com/help | 官网: https://prospeo.io/c/speakyparrot-email-format"
"Fluently","语言交换与跨文化真人社交","C","证据完整","9","4","4","0","1","0","0","补社区/社媒","补社区/社媒","官网: https://fluently.chat/ | Exa discovery company result: https://fluently.chat/ | LinkedIn: https://linkedin.com/company/fluently-ai | App Store: https://apps.apple.com/br/app/fluently-ai-english-tutor/id6683289805?l=en-GB | App Store: https://apps.apple.com/cy/app/fluently-ai-english-tutor/id6683289805 | App Store: https://apps.apple.com/us/app/fluently-ai-language-coach/id6478473109"
"Status AI","AI 社交与互动娱乐","B","可展示但待补","5","3","0","0","1","0","1","补 App Store/Google Play | 补社区/社媒","补 App Store/Google Play；补社区/社媒","TechCrunch: https://techcrunch.com/2026/05/19/gamified-social-media-network-status-announces-17m-funding-to-help-usher-in-new-era-of-social-networking/ | 官网: https://www.statusai.com/ | 官网: https://www.statusai.com/about | LinkedIn: https://linkedin.com/company/statusai | 官网: https://www.statusai.com/press"
"Butterflies AI","AI 社交与互动娱乐","B","可展示但待补","9","0","5","1","1","0","2","补官网/产品页 | 补社区/社媒","补官网/产品页；补社区/社媒","TechCrunch: https://techcrunch.com/2024/06/18/former-snap-engineer-launches-butterflies-a-social-network-where-ais-and-humans-coexist/ | GlobeNewswire: https://www.globenewswire.com/news-release/2024/06/18/2900674/0/en/Butterflies-AI-Raises-Seed-Round-Launches-First-Social-Media-Platform-Where-People-and-AI-Friends-Co-Exist.html | Google Play: https://play.google.com/store/apps/details?id=ai.butterflies.ios&hl=en_US | App Store: https://apps.apple.com/us/app/butterflies-escape-reality/id6471347348 | App Store: https://apps.apple.com/us/app/butterflies-talk-to-real-ais/id6471347348 | LinkedIn: https://linkedin.com/company/butterflies-ai"
"Daze","AI 社交与互动娱乐","B","证据完整","8","1","2","2","1","1","1","","证据类型较完整；下一步验证活跃度和更新频率。","TechCrunch: https://techcrunch.com/2024/10/21/daze-a-creative-ai-powered-messaging-app-for-gen-z-is-blowing-up-prelaunch/ | 官网: https://daze.chat/ | App Store: https://apps.apple.com/us/app/daze-freeform-chat/id6497405419 | Google Play: https://play.google.com/store/apps/details?hl=en_US&id=com.marblemedia.dazechat | Google Play: https://play.google.com/store/apps/details?id=com.marblemedia.dazechat&hl=en | Instagram: https://www.instagram.com/daze.chat/reel/C7FReD0Phuj/"
"Shapes","AI 社交与互动娱乐","C","可展示但待补","9","1","6","1","0","0","1","补 LinkedIn/团队页 | 补社区/社媒","补 LinkedIn/团队页；补社区/社媒","TechCrunch: https://techcrunch.com/2026/04/29/meet-shapes-the-app-bringing-humans-and-ai-into-the-same-group-chats/ | App Store: https://apps.apple.com/us/app/shapes-inc-ai-with-friends/id6747601762 | App Store: https://apps.apple.com/gb/app/shapes-inc-ai-with-friends/id6747601762 | App Store: https://apps.apple.com/ca/app/shapes-inc-ai-with-friends/id6747601762 | App Store: https://apps.apple.com/gy/app/shapes-inc-ai-with-friends/id6747601762?platform=ipad | 官网: https://talk.shapes.inc/"
"Character.AI / Replika / Chai","AI 伴侣、角色经济与共同养成","C","可展示但待补","12","5","1","5","0","0","1","补 LinkedIn/团队页 | 补社区/社媒","补 LinkedIn/团队页；补社区/社媒","Character.AI: https://character.ai/ | Replika: https://replika.com/ | Chai: https://chai.ai/ | TechCrunch legal: https://techcrunch.com/2026/01/07/google-and-character-ai-negotiate-first-major-settlements-in-teen-chatbot-death-cases/ | 官网: https://characterai.cc/en/ | 官网: https://replika.com/"
"Tolan / Portola","AI 伴侣、角色经济与共同养成","C","可展示但待补","2","2","0","0","0","0","0","补 App Store/Google Play | 补 LinkedIn/团队页 | 补社区/社媒","补 App Store/Google Play；补 LinkedIn/团队页；补社区/社媒","GeekWire 20M: https://www.geekwire.com/2025/ai-companionship-app-tolan-raises-20m-to-help-more-people-grow-with-a-virtual-alien-friend/ | GeekWire 10M: https://www.geekwire.com/2025/these-colorful-ai-aliens-could-be-your-new-virtual-best-friend-as-startup-lands-10m-to-launch-tolan/"
"Born / Pengu","AI 伴侣、角色经济与共同养成","A","可展示但待补","7","1","4","1","0","0","1","补 LinkedIn/团队页 | 补社区/社媒","补 LinkedIn/团队页；补社区/社媒","TechCrunch: https://techcrunch.com/2025/09/10/born-maker-of-virtual-pet-pengu-raises-15m-to-launch-a-new-wave-of-social-ai-companions/ | Google Play: https://play.google.com/store/apps/details?hl=en_US&id=com.slay.pengu | 官网: https://www.born.com/press | App Store: https://apps.apple.com/us/app/friends-pengu-bao-mellow/id6462927800 | App Store: https://apps.apple.com/gb/app/friends-pengu-bao-mellow/id6462927800 | App Store: https://apps.apple.com/us/app/pengu-raise-virtual-ai-pets/id6462927800"
"Dippy AI","AI 伴侣、角色经济与共同养成","C","可展示但待补","2","2","0","0","0","0","0","补 App Store/Google Play | 补 LinkedIn/团队页 | 补社区/社媒","补 App Store/Google Play；补 LinkedIn/团队页；补社区/社媒","Intelligent CIO: https://www.intelligentcio.com/north-america/2024/10/23/dippy-ai-launches-censorship-free-proactive-ai-companions/ | FinSMEs: https://www.finsmes.com/2024/10/dippy-ai-raises-2-1m-in-pre-seed-funding.html"
"Kindroid / Nomi / Blush","AI 伴侣、角色经济与共同养成","D","可展示但待补","2","2","0","0","0","0","0","补 App Store/Google Play | 补 LinkedIn/团队页 | 补社区/社媒","补 App Store/Google Play；补 LinkedIn/团队页；补社区/社媒","Kindroid: https://kindroid.ai/ | Blush: https://blush.ai/"
"Talkie / MiniMax","AI 伴侣、角色经济与共同养成","B","可展示但待补","2","1","0","1","0","0","0","补 LinkedIn/团队页 | 补社区/社媒","补 LinkedIn/团队页；补社区/社媒","SCMP: https://www.scmp.com/tech/tech-trends/article/3284511/chinese-ai-unicorn-minimax-scores-big-us-talkie-chatbot-entertainment-app | Google Play: https://play.google.com/store/apps/details?id=com.weaver.app.prod&hl=en"
"PolyBuzz / HiWaifu / Linky","AI 伴侣、角色经济与共同养成","A","证据完整","6","2","0","2","0","1","1","补 LinkedIn/团队页","补 LinkedIn/团队页","PolyBuzz 腾讯新闻: https://news.qq.com/rain/a/20260204A05BK500 | HiWaifu 白鲸出海: https://www.baijing.cn/article/52888 | AI social divergence: https://jishuzhan.baijing.cn/article/2871 | Google Play: https://play.google.com/store/apps/details?id=com.hiwaifu.app&hl=en_GB | Google Play: https://play.google.com/store/apps/details?hl=en_US&id=ai.socialapps.speakmaster | TikTok: https://www.tiktok.com/discover/how-to-edit-polybuzz-ai-character"
"Caveduck / Charms / Pictoria / CODE27","AI 伴侣、角色经济与共同养成","C","可展示但待补","4","1","0","0","0","0","3","补 App Store/Google Play | 补 LinkedIn/团队页 | 补社区/社媒","补 App Store/Google Play；补 LinkedIn/团队页；补社区/社媒","Caveduck: https://startupxo.com/en/news/2026/04/caveduck-s-3-2m-series-a-validates-the-ai-roleplay-creator-economy/ | Charms: https://techcrunch.com/press-release/charms-closes-1-5m-pre-seed-to-launch-the-ai-character-economy/ | Pictoria: https://thebridge.jp/en/2026/04/pictoria-an-ai-character-company-raises-%c2%a5330-million-in-funding | CODE27: https://markets.businessinsider.com/news/stocks/code27-secures-over-10-million-in-funding-to-build-immersive-interactive-character-companion-hardware-1035973726"
"222","AI/算法驱动的线下真人社交","A","证据完整","9","3","3","0","1","1","1","","证据类型较完整；下一步验证活跃度和更新频率。","SV Post: https://svpost.com/articles/222-10m-series-a/ | Startuply: https://startuply.vc/startup/222-nn5rhh | App Store: https://apps.apple.com/us/app/222-find-your-people/id6450612690 | 官网: https://222.place/ | Instagram: https://www.instagram.com/222place/?hl=en | LinkedIn: https://linkedin.com/company/222place"
"Pie","AI/算法驱动的线下真人社交","A","证据完整","10","2","2","1","3","1","1","","证据类型较完整；下一步验证活跃度和更新频率。","TechCrunch: https://techcrunch.com/2025/03/04/andy-dunns-new-app-pie-uses-ai-to-help-you-make-friends/ | Fox Business: https://www.foxbusiness.com/lifestyle/new-social-media-app-uses-ai-help-users-make-real-world-friends | App Store: https://apps.apple.com/us/app/pie-free-events-cool-people/id1509667820 | LinkedIn: https://linkedin.com/company/piesocial | App Store: https://apps.apple.com/us/app/pie-make-plans-like-magic/id1509667820 | 官网: https://www.threads.com/@pie"
"Timeleft","AI/算法驱动的线下真人社交","A","可展示但待补","10","2","4","3","0","0","1","补 LinkedIn/团队页 | 补社区/社媒","补 LinkedIn/团队页；补社区/社媒","Signalbase: https://www.trysignalbase.com/news/funding/timeleft-raises-70m-series-a-funding | 官网: https://timeleft.com/ | 官网: https://timeleft.com/ | App Store: https://apps.apple.com/us/app/timeleft-make-new-friends-irl/id6466442949 | Google Play: https://play.google.com/store/apps/details?hl=en_US&id=com.timeleft.app | App Store: https://apps.apple.com/ca/app/timeleft-make-new-friends-irl/id6466442949"
"Partiful","AI/算法驱动的线下真人社交","A","证据完整","10","1","2","3","1","1","2","","证据类型较完整；下一步验证活跃度和更新频率。","Signalbase: https://www.trysignalbase.com/news/funding/partiful-secures-20-million-in-series-a-funding-to-revolutionize-social-event-planning-and-foster-meaningful-connections | NBC/CNBC: https://www.nbcchicago.com/news/business/money-report/meet-partiful-the-gen-z-party-planning-staple-thats-taking-on-apple/3726123/ | 官网: https://partiful.com/ | Google Play: https://play.google.com/store/apps/details?id=com.partiful.partiful&hl=en_US | App Store: https://apps.apple.com/us/app/partiful-party-invite-maker/id1662982304 | Instagram: https://www.instagram.com/partiful/?hl=en"
"Plots / Saturday / Posh","AI/算法驱动的线下真人社交","D","可展示但待补","3","3","0","0","0","0","0","补 App Store/Google Play | 补 LinkedIn/团队页 | 补社区/社媒","补 App Store/Google Play；补 LinkedIn/团队页；补社区/社媒","Plots: https://plots.events/ | Saturday: https://getsaturday.com/ | Posh: https://posh.vip/"
"Meet5","AI/算法驱动的线下真人社交","A","可展示但待补","9","1","4","3","0","0","1","补 LinkedIn/团队页 | 补社区/社媒","补 LinkedIn/团队页；补社区/社媒","Business Insider: https://africa.businessinsider.com/news/read-the-pitch-deck-that-an-irl-social-startup-targeting-gen-x-and-boomers-used-to/1vbfey0 | 官网: https://www.meet5.com/find-friends | Google Play: https://play.google.com/store/apps/details?id=co.gocrush&hl=en | App Store: https://apps.apple.com/us/app/meet5-meet-new-people/id1222980795 | Google Play: https://play.google.com/store/apps/details?hl=en_US&id=co.gocrush | App Store: https://apps.apple.com/gb/app/meet5-meet-new-people/id1222980795"
"Breeze","AI/算法驱动的线下真人社交","A","证据完整","9","2","2","3","1","1","0","","证据类型较完整；下一步验证活跃度和更新频率。","The Independent: https://www.independent.co.uk/life-style/breeze-dating-app-tinder-hinge-b2983703.html | App Store: https://apps.apple.com/us/app/breeze-no-chat-just-dates/id1478108023 | Google Play: https://play.google.com/store/apps/details?id=social.breeze.breeze_app&hl=en | App Store: https://apps.apple.com/us/app/breeze-app-for-real-dates/id1478108023 | Google Play: https://play.google.com/store/apps/details?id=social.breeze.breeze_app&hl=en_GB | 官网: https://breeze.social/"
"WeRoad","AI/算法驱动的线下真人社交","A","可展示但待补","8","6","0","2","0","0","0","补 LinkedIn/团队页 | 补社区/社媒","补 LinkedIn/团队页；补社区/社媒","WeRoad: https://www.weroad.com/blog/weroad-closes-a-58-million-launch-us | Pulse2: https://pulse2.com/weroad-58-million-series-c-raised-to-expand-group-travel-platform-into-the-united-states/ | 官网: https://www.weroad.com/wemeet | Google Play: https://play.google.com/store/apps/details?id=com.weroad.wemeet&hl=en_US | 官网: https://www.weroad.com/iglivecalendar | 官网: https://www.weroad.com/wemeet"
"Aglow Life","AI/算法驱动的线下真人社交","C","可展示但待补","1","1","0","0","0","0","0","补 App Store/Google Play | 补 LinkedIn/团队页 | 补社区/社媒","补 App Store/Google Play；补 LinkedIn/团队页；补社区/社媒","官网: https://aglow.life/"
"Paxmeet","AI/算法驱动的线下真人社交","C","可展示但待补","2","1","1","0","0","0","0","补 LinkedIn/团队页 | 补社区/社媒","补 LinkedIn/团队页；补社区/社媒","官网: https://paxmeet.com/ | App Store: https://apps.apple.com/in/app/paxmeet-friends-everywhere/id6759858323"
"MeetMux","AI/算法驱动的线下真人社交","C","可展示但待补","2","0","1","0","0","1","0","补官网/产品页 | 补 LinkedIn/团队页","补官网/产品页；补 LinkedIn/团队页","官网: https://meetmux.com/ | App Store: https://apps.apple.com/sg/app/meetmux/id6747908089"
"Weekend","AI/算法驱动的线下真人社交","D","可展示但待补","1","1","0","0","0","0","0","补 App Store/Google Play | 补 LinkedIn/团队页 | 补社区/社媒","补 App Store/Google Play；补 LinkedIn/团队页；补社区/社媒","官网: https://weekend.network/"
"Thursday","AI/算法驱动的线下真人社交","A","可展示但待补","7","2","3","1","0","0","1","补 LinkedIn/团队页 | 补社区/社媒","补 LinkedIn/团队页；补社区/社媒","TechCrunch: https://techcrunch.com/2024/08/08/thursday-dating-app-san-francisco-launch/ | App Store: https://apps.apple.com/us/app/thursday-dating-app-events/id1449050360 | 官网: https://www.getthursday.com/ | App Store: https://apps.apple.com/gb/app/thursday-events/id6503631996 | Google Play: https://play.google.com/store/apps/details?hl=en_US&id=com.thursday.thursdayevents.identifier | App Store: https://apps.apple.com/us/app/thursday-events/id6503631996"
"WeMeet by WeRoad","AI/算法驱动的线下真人社交","A","可展示但待补","8","5","0","3","0","0","0","补 LinkedIn/团队页 | 补社区/社媒","补 LinkedIn/团队页；补社区/社媒","官网: https://www.weroad.com/wemeet | Google Play: https://play.google.com/store/apps/details?id=com.weroad.wemeet&hl=en_US | 官网: https://www.weroad.com/wemeet | Google Play: https://play.google.com/store/apps/details?id=com.weroad.wemeet&hl=en_US | 官网: https://www.weroad.com/iglivecalendar | 官网: https://www.weroad.com/wemeet"
