"去重键","来源","日期","产品/公司","金额/事件","赛道","重复组大小","计入唯一事件","证据"
"tolan-2025.07","core timeline","2025.07","Tolan","$20M new funding","AI companion","1","yes","https://www.geekwire.com/2025/ai-companionship-app-tolan-raises-20m-to-help-more-people-grow-with-a-virtual-alien-friend/"
"born pengu-2025.09","core timeline","2025.09","Born / Pengu","$15M Series A","AI companion","1","yes","https://techcrunch.com/2025/09/10/born-maker-of-virtual-pet-pengu-raises-15m-to-launch-a-new-wave-of-social-ai-companions/"
"222-2025.12","core timeline","2025.12","222","$10.1M Series A","IRL social","1","yes","https://svpost.com/articles/222-10m-series-a/"
"timeleft-2026.03","core timeline","2026.03","Timeleft","$7M Series A","IRL social","1","yes","https://www.trysignalbase.com/news/funding/timeleft-raises-70m-series-a-funding"
"caveduck-2026.04","core timeline","2026.04","Caveduck","$3.2M Series A","AI roleplay","1","yes","https://startupxo.com/en/news/2026/04/caveduck-s-3-2m-series-a-validates-the-ai-roleplay-creator-economy/"
"pictoria-2026.04","core timeline","2026.04","Pictoria","¥330M","AI character","1","yes","https://thebridge.jp/en/2026/04/pictoria-an-ai-character-company-raises-%c2%a5330-million-in-funding"
"charms-2026.05","core timeline","2026.05","Charms","$1.5M pre-seed","AI character","1","yes","https://techcrunch.com/press-release/charms-closes-1-5m-pre-seed-to-launch-the-ai-character-economy/"
"status-2026.05","core timeline","2026.05","Status AI","$17M seed + Series A","AI entertainment","1","yes","https://techcrunch.com/2026/05/19/gamified-social-media-network-status-announces-17m-funding-to-help-usher-in-new-era-of-social-networking/"
"roamchat-2026.05","core timeline","2026.05","RoamChat","AI roaming social launch","AI social / cross-cultural chat","1","yes","https://www.prnewswire.com/news-releases/as-ai-is-redefining-how-strangers-connect-globally-roamchat-introduces-a-new-roaming-social-platform-302775994.html"
"hiwaifu-2026.04","core timeline","2026.04","HiWaifu","未融资；约 2000 万元年营收","China AI companion export","1","yes","https://www.baijing.cn/article/52888"
"polybuzz-2026.02","core timeline","2026.02","PolyBuzz","约 4200 万月访问量","China AI companion export","1","yes","https://news.qq.com/rain/a/20260204A05BK500"
"thursday-2024.08","core timeline","2024.08","Thursday","San Francisco launch / offline dating events","IRL dating boundary","1","yes","https://techcrunch.com/2024/08/08/thursday-dating-app-san-francisco-launch/"
"bumble-bee","core timeline","2026.03","Bumble Bee","AI dating assistant launch","AI dating feature","2","yes","https://techcrunch.com/2026/03/12/bumble-introduces-an-ai-dating-assistant-bee/"
"tinder","core timeline","2026.05","Tinder Live Events","live events + AI features + group dating","IRL dating feature","2","yes","https://www.bloomberg.com/news/features/2026-05-20/tinder-launches-live-events-ai-features-and-group-dating-to-attract-gen-z"
"friend-2024.07","supplemental discovery","2024.07","Friend","$5.4M / $99 AI companion necklace","AI friend / wearable companion","1","yes","https://techcrunch.com/2024/07/30/friend-is-an-ai-companion-backed-by-founders-of-solana-perplexity-and-zfellows/"
"friend-2024.12","supplemental discovery","2024.12","Friend","$5.4M additional raise / real-world AI friend","AI friend / wearable companion","1","yes","https://www.theverge.com/2024/12/9/24315126/friend-pendant-artificial-intelligence-companionship-avi-schiffmann"
"limitless-2025.12","supplemental discovery","2025.12","Limitless","Meta acquisition","AI wearable memory assistant","1","yes","https://techcrunch.com/2025/12/05/meta-acquires-ai-device-startup-limitless/"
"oasiz-2025.10","supplemental discovery","2025.10","Oasiz","$2.5M seed","AI-native social / playable content","1","yes","https://www.gamespress.com/Oasiz-Raises-25M-Seed-Round-to-Launch-Social-Platform-for-Viral-Playab"
"imessage social network-2026.04","supplemental discovery","2026.04","AI iMessage social network","$5.1M pre-seed","AI-native social network","1","yes","https://techcrunch.com/2026/04/24/two-college-kids-raise-a-5-1-million-pre-seed-to-build-an-ai-social-network-in-imessage/"
"sitch matchmaking-2025.06","supplemental discovery","2025.06","Sitch / AI matchmaking apps","AI + human matchmaking launch/funding signal","AI dating / matchmaking","1","yes","https://techcrunch.com/2026/03/12/bumble-introduces-an-ai-dating-assistant-bee/"
"tinder","supplemental discovery","2026.03","Tinder Live Events","IRL events / virtual speed dating","IRL dating feature","2","yes","https://www.bloomberg.com/news/features/2026-05-20/tinder-launches-live-events-ai-features-and-group-dating-to-attract-gen-z"
"bumble-bee","supplemental discovery","2026.03","Bumble Bee","AI dating assistant","AI dating feature","2","yes","https://techcrunch.com/2026/03/12/bumble-introduces-an-ai-dating-assistant-bee/"
"breeze","supplemental discovery","2025.03","Breeze","IRL dating US launch","IRL dating boundary","2","no","https://www.businesswire.com/news/home/20250325708326/en/Taking-Online-Dates-Offline-Dating-App-Breeze-Launches-in-the-U.S.-Starting-with-NYC"
"posh-2026.03","supplemental discovery","2026.03","Posh","$37M Series B","IRL events / social planning","1","yes","https://fortune.com/2026/03/19/exclusive-posh-lands-37m-series-b-what-are-we-doing-tonight-problem/"
"ditto-2026.02","supplemental discovery","2026.02","Ditto","$9.2M / real-date college dating","IRL dating / anti-swipe","1","yes","https://markets.businessinsider.com/news/stocks/ditto-raises-9-2m-to-replace-swiping-with-real-dates-for-college-students-1035778345"
"known-2026.05","supplemental discovery","2026.05","Known","nearly $10M / AI voice dating app","AI dating / real dates","1","yes","https://www.nbcbayarea.com/news/local/stanford-known-dating-app-ai/4091043/"
"companion market-2025.08","supplemental discovery","2025.08","AI companion apps market","$120M projected 2025 consumer spend","AI companion market metric","1","yes","https://techcrunch.com/2025/08/12/ai-companion-apps-on-track-to-pull-in-120m-in-2025/"
"janitor-2026.05","supplemental discovery","2026.05","Janitor AI","2.5M daily users / 15M total users","AI companion long tail metric","1","yes","https://www.implicator.ai/janitor-ai-draws-2-5-million-daily-users-to-adult-roleplay-app/"
"astrocade-2026.05","supplemental discovery","2026.05","Astrocade","$56M new funding","AI social / interactive entertainment","1","yes","https://techcrunch.com/2026/05/19/gamified-social-media-network-status-announces-17m-funding-to-help-usher-in-new-era-of-social-networking/"
