"名称","覆盖状态","IRL/赛道","主结论","来源层","所有结论","原因","证据"
"Partiful","core-boundary","高（边界）","已入 IRL 主表","competitive matrix | funding/news timeline","已入 IRL 主表 | 已入近两年 IRL/边界事件","Exa boundary news 返回 Partiful 2024 年 20M Series A；CNBC/NBC 结果提到 2025 年新增 200 万用户。 / $20M Series A","$20M Series A: https://www.trysignalbase.com/news/funding/partiful-secures-20-million-in-series-a-funding-to-revolutionize-social-event-planning-and-foster-meaningful-connections | NBC/CNBC: https://www.nbcchicago.com/news/business/money-report/meet-partiful-the-gen-z-party-planning-staple-thats-taking-on-apple/3726123/"
"Plots / Saturday / Posh","core-boundary","高（边界）","已入 IRL 主表","competitive matrix","已入 IRL 主表","Exa company boundary 查询返回 Plots、Saturday、Posh、Around Me 等线下活动/附近兴趣产品。","Plots: https://plots.events/ | Saturday: https://getsaturday.com/ | Posh: https://posh.vip/"
"Thursday","core-boundary","最高（dating 边界）","已入 IRL 主表","competitive matrix | funding/news timeline","已入 IRL 主表 | 已入近两年 IRL/边界事件","Exa AI dating 专项结果返回 TechCrunch：Thursday dating app 2024 年扩张旧金山，主张每周四集中匹配和线下活动。 / San Francisco launch / offline dating events","San Francisco launch / offline dating events: https://techcrunch.com/2024/08/08/thursday-dating-app-san-francisco-launch/"
"WeRoad","core-boundary","最高（旅行边界）","已入 IRL 主表","competitive matrix | funding/news timeline | monitor recent","已入 IRL 主表 | 已入近两年 IRL/边界事件 | 已覆盖/继续观察","Exa monitor 新增提醒返回 WeRoad/Pulse2：2026-05 完成 5800 万美元 Series C，并与 Airbnb 相关资本一起扩张美国。 / $58M Series C / 如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","线下真人社交: https://www.weroad.com/blog/weroad-closes-a-58-million-launch-us | Pulse2: https://pulse2.com/weroad-58-million-series-c-raised-to-expand-group-travel-platform-into-the-united-states/ | 线下真人社交: https://techcrunch.com/2026/05/27/airbnb-backed-weroad-raises-58m-to-take-its-group-travel-platform-to-the-us/"
"Bumble Bee","funding-news","AI dating feature","已入近两年 IRL/边界事件","funding/news timeline | supplemental funding/news","已入近两年 IRL/边界事件 | 补充 IRL/AI dating 信号","AI dating assistant launch","Bumble introduces an AI dating assistant, 'Bee' | TechCrunch: https://techcrunch.com/2026/03/12/bumble-introduces-an-ai-dating-assistant-bee/"
"Tinder Live Events","funding-news","IRL dating feature","已入近两年 IRL/边界事件","funding/news timeline | supplemental funding/news","已入近两年 IRL/边界事件 | 补充 IRL/AI dating 信号","live events + AI features + group dating / IRL events / virtual speed dating","Tinder Launches Live Events, AI Features and Group Dating to Attract Gen Z - Bloomberg: https://www.bloomberg.com/news/features/2026-05-20/tinder-launches-live-events-ai-features-and-group-dating-to-attract-gen-z"
"Ditto","supplemental-signal","IRL dating / anti-swipe","补充 IRL/AI dating 信号","supplemental funding/news","补充 IRL/AI dating 信号","$9.2M / real-date college dating","Ditto raises $9.2M to replace swiping with real dates for college students | Markets Insider: https://markets.businessinsider.com/news/stocks/ditto-raises-9-2m-to-replace-swiping-with-real-dates-for-college-students-1035778345"
"Friend","supplemental-signal","AI friend / wearable companion","补充 IRL/AI dating 信号","supplemental funding/news","补充 IRL/AI dating 信号","$5.4M additional raise / real-world AI friend","Friend’s AI chatbots have issues — and they want your help | The Verge: https://www.theverge.com/2024/12/9/24315126/friend-pendant-artificial-intelligence-companionship-avi-schiffmann"
"Known","supplemental-signal","AI dating / real dates","补充 IRL/AI dating 信号","supplemental funding/news","补充 IRL/AI dating 信号","nearly $10M / AI voice dating app","Stanford dropouts raise nearly $10M to launch AI dating app – NBC Bay Area: https://www.nbcbayarea.com/news/local/stanford-known-dating-app-ai/4091043/"
"Posh","supplemental-signal","IRL events / social planning","补充 IRL/AI dating 信号","supplemental funding/news","补充 IRL/AI dating 信号","$37M Series B","Exclusive: Posh lands $37M Series B to crack the 'what are we doing tonight?' problem | Fortune: https://fortune.com/2026/03/19/exclusive-posh-lands-37m-series-b-what-are-we-doing-tonight-problem/"
"Sitch / AI matchmaking apps","supplemental-signal","AI dating / matchmaking","补充 IRL/AI dating 信号","supplemental funding/news","补充 IRL/AI dating 信号","AI + human matchmaking launch/funding signal","Bumble introduces an AI dating assistant, 'Bee' | TechCrunch: https://techcrunch.com/2026/03/12/bumble-introduces-an-ai-dating-assistant-bee/"
"AppLovin Launches Its Own TikTok Rival","monitor-known","线下真人社交","已覆盖/继续观察","monitor recent","已覆盖/继续观察","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","Residual IRL watchlist: https://wersm.com/applovin-launches-its-own-tiktok-rival/"
"Can We Swipe Our Way to Friendship? | KQED","monitor-known","线下真人社交","已覆盖/继续观察","monitor recent","已覆盖/继续观察","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","线下真人社交: https://www.kqed.org/science/2001059/can-we-swipe-our-way-to-friendship"
"Eat No Solo: Eating alone is becoming the norm: One app wants to fix that - Ireland","monitor-known","线下真人社交","已覆盖/继续观察","monitor recent","已覆盖/继续观察","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","线下真人社交: https://www.europesays.com/ie/518189/"
"How Obvi Is Rebuilding Its Entire Meta Ad Stack Around Incremental Lift – D2C Times","monitor-known","线下真人社交","已覆盖/继续观察","monitor recent","已覆盖/继续观察","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","投放 / 付费获客证据: https://d2c-times.com/how-obvi-is-rebuilding-its-entire-meta-ad-stack-around-incremental-lift/"
"Partiful is turning party invites into a payments business - Startup Fortune","monitor-known","线下真人社交","已覆盖/继续观察","monitor recent","已覆盖/继续观察","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","Residual IRL watchlist: https://startupfortune.com/partiful-is-turning-party-invites-into-a-payments-business/"
"Partiful Launches Ticketing, Bringing Paid Events Into the Social Platform Where People Already Make Plans","monitor-known","线下真人社交","已覆盖/继续观察","monitor recent","已覆盖/继续观察","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","Residual IRL watchlist: https://www.prnewswire.com/news-releases/partiful-launches-ticketing-bringing-paid-events-into-the-social-platform-where-people-already-make-plans-302789410.html"
"Pinterest’s New AI-Powered Shopping Ads Are Forcing DTC Brands to Rethink Their Upper-Funnel Spend – Online Store News","monitor-known","线下真人社交","已覆盖/继续观察","monitor recent","已覆盖/继续观察","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","投放 / 付费获客证据: https://onlinestorenews.com/pinterests-new-ai-powered-shopping-ads-are-forcing-dtc-brands-to-rethink-their-upper-funnel-spend/"
"TikTok's new Events app rewards users for generating buzz about big events - Tubefilter","monitor-known","线下真人社交","已覆盖/继续观察","monitor recent","已覆盖/继续观察","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","Residual IRL watchlist: https://www.tubefilter.com/2026/06/04/tiktok-pro-events-app-world-cup/"
"YaraCircle","monitor-known","线下真人社交","已覆盖/继续观察","monitor recent","已覆盖/继续观察","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","新公司 / 新产品: https://yaracircle.com/"
