"名称","来源","处理结论","目标主线","升级路径","动作建议","优先级","状态","发布日期","原因","证据"
"Status AI Raises $17 Million to Turn Social Media Into Worlds Users Can Live Inside - Fundraise Insider","2026-05-28 monitor · 融资 / 商业化","已覆盖/继续观察","覆盖缺口信号","补 source linkage / candidate deep-dive / funding-news review","用于追踪未闭环 signal-candidate；出现融资、上线、下载、收入或官方证据时再升级。","high","known","2026-05-28T21:18:10.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","融资 / 商业化: https://fundraiseinsider.com/blog/status-ai-raises-17-million-to-turn-social-media-into-worlds-users-can-live-inside/"
"China’s MiniMax records 1-million client base, fivefold growth in half a year | South China Morning Post","2026-05-28 monitor · 中国 AI 社交出海","已覆盖/继续观察","中国 AI 社交出海","补 AI companion/export 观察","核对下载、收入、海外渠道和角色经济信号。","high","known","2026-05-28T09:00:05.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","中国 AI 社交出海: https://www.scmp.com/tech/tech-trends/article/3355156/chinas-minimax-records-1-million-client-base-fivefold-growth-half-year"
"China AI Upstart MiniMax Doubles Sales Ahead of New Model - Bloomberg","2026-05-28 monitor · 中国 AI 社交出海","已覆盖/继续观察","融资/商业化","补 funding timeline 或 funding-news review","核对日期、金额、轮次和证据源后再升级进近两年融资/新闻统计。","high","known","2026-05-28T00:00:00.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","中国 AI 社交出海: https://www.bloomberg.com/news/articles/2026-05-28/china-ai-upstart-minimax-doubles-sales-ahead-of-new-model-launch"
"Introducing Commerce: Make Your Community The Storefront | social.plus","2026-06-03 monitor · Coverage signal watchlist","已覆盖/继续观察","覆盖缺口信号","补 source linkage / candidate deep-dive / funding-news review","用于追踪未闭环 signal-candidate；出现融资、上线、下载、收入或官方证据时再升级。","medium","known","2026-06-03T09:58:18.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","Coverage signal watchlist: https://www.social.plus/product-update/introducing-commerce-make-your-community-the-storefront"
"Temu slashed its U.S. ad spend on nearly every platform","2026-06-03 monitor · 投放 / 付费获客证据","投放证据候选","投放/付费获客证据","补 paid-acquisition evidence audit","用于判断是否存在明确广告投放、素材、获客成本、ROAS 或投放后下载变化；不直接升级产品或融资结论。","medium","new","2026-06-03T04:01:00.000Z","该信号来自投放/付费获客 monitor lane，先进入 paid-acquisition evidence audit 的补证路径；只有出现广告素材库、投放平台、CAC/ROAS、买量或投放后下载变化等明确证据时，才把对应产品从方向性渠道升级为明确投放证据。","投放 / 付费获客证据: https://digiday.com/marketing/tariffs-forced-temu-to-slash-its-u-s-ad-spend-on-nearly-every-platform/"
"Partiful Launches Ticketing, Bringing Paid Events Into the Social Platform Where People Already Make Plans","2026-06-03 monitor · Residual IRL watchlist","已覆盖/继续观察","线下真人社交","优先判断是否补 IRL 产品或融资/新闻时间线","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","medium","new","2026-06-03T00:59:00.000Z","Partiful 已在 IRL 主表、官方覆盖和边界融资样本中保留；这次内置票务上线说明其从 invite graph 向线下活动交易延伸，属于值得继续追踪的商业化更新，但不需要重复新增产品卡或融资事件。","Residual IRL watchlist: https://www.prnewswire.com/news-releases/partiful-launches-ticketing-bringing-paid-events-into-the-social-platform-where-people-already-make-plans-302789410.html"
"Partiful is turning party invites into a payments business - Startup Fortune","2026-06-02 monitor · Residual IRL watchlist","已覆盖/继续观察","线下真人社交","优先判断是否补 IRL 产品或融资/新闻时间线","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","medium","known","2026-06-02T17:39:57.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","Residual IRL watchlist: https://startupfortune.com/partiful-is-turning-party-invites-into-a-payments-business/"
"Bumble is launching a new paid group-dating feature as it fights to stay competitive with Tinder","2026-06-02 monitor · Residual IRL watchlist","已覆盖/继续观察","线下真人社交","优先判断是否补 IRL 产品或融资/新闻时间线","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","medium","new","2026-06-02T15:38:04.000Z","Bumble Plans 是头部 dating app 把付费线下组局做成产品化入口的 IRL 商业化信号，说明约会平台正在把线上匹配延伸到线下履约；但 Bumble 已在财报/AI dating 边界里覆盖，这次更适合作为 IRL 需求与 monetization 观察，不重复升级主表或融资时间线。","Residual IRL watchlist: https://www.businessinsider.com/bumble-launching-plans-paid-group-dating-feature-2026-6"
"Meta Advantage+ Shopping Costs Surge 31% as DTC Brands Rethink Paid Social Mix – Online Store News","2026-06-02 monitor · 投放 / 付费获客证据","投放平台背景","投放/付费获客证据","补 paid-acquisition evidence audit","用于判断是否存在明确广告投放、素材、获客成本、ROAS 或投放后下载变化；不直接升级产品或融资结论。","medium","new","2026-06-02T00:44:24.000Z","Caden Lane / D2C 广告归因文章是电商品牌投放与 Meta signal stack 的平台背景信号，可用于 paid-acquisition evidence audit 的补证方法论；当前不指向 AI 社交、语言交换或 IRL 产品的投放行为，不能升级为产品级明确买量证据。","投放 / 付费获客证据: https://onlinestorenews.com/meta-advantage-shopping-costs-surge-31-as-dtc-brands-rethink-paid-social-mix/"
"How Cuts Clothing Rebuilt Its Meta Creative Stack to Escape the ROAS Plateau – D2C Times","2026-06-02 monitor · 投放 / 付费获客证据","已覆盖/继续观察","投放/付费获客证据","补 paid-acquisition evidence audit","用于判断是否存在明确广告投放、素材、获客成本、ROAS 或投放后下载变化；不直接升级产品或融资结论。","medium","known","2026-06-02T00:00:00.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","投放 / 付费获客证据: https://d2c-times.com/how-cuts-clothing-rebuilt-its-meta-creative-stack-to-escape-the-roas-plateau/"
"Meta is building an AI Pendant and this time it has a working wearables business behind it — TFN","2026-06-01 monitor · Coverage signal watchlist","已覆盖/继续观察","覆盖缺口信号","补 source linkage / candidate deep-dive / funding-news review","用于追踪未闭环 signal-candidate；出现融资、上线、下载、收入或官方证据时再升级。","medium","known","2026-06-01T13:57:16.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","Coverage signal watchlist: https://techfundingnews.com/meta-is-building-an-ai-pendant-and-this-time-it-has-a-working-wearables-business-behind-it/"
"How Ghia Rebuilt Its Entire Video Ad System Around Mood, Not Message – D2C Times","2026-06-01 monitor · 投放 / 付费获客证据","投放平台背景","投放/付费获客证据","补 paid-acquisition evidence audit","用于判断是否存在明确广告投放、素材、获客成本、ROAS 或投放后下载变化；不直接升级产品或融资结论。","medium","new","2026-06-01T00:00:00.000Z","Caden Lane / D2C 广告归因文章是电商品牌投放与 Meta signal stack 的平台背景信号，可用于 paid-acquisition evidence audit 的补证方法论；当前不指向 AI 社交、语言交换或 IRL 产品的投放行为，不能升级为产品级明确买量证据。","投放 / 付费获客证据: https://d2c-times.com/how-ghia-rebuilt-its-entire-video-ad-system-around-mood-not-message/"
"Meta’s Advantage+ Creative Is Rewriting DTC Ad Economics in 2026 – Ecommerce Times","2026-05-31 monitor · 投放 / 付费获客证据","已覆盖/继续观察","投放/付费获客证据","补 paid-acquisition evidence audit","用于判断是否存在明确广告投放、素材、获客成本、ROAS 或投放后下载变化；不直接升级产品或融资结论。","medium","known","2026-05-31T00:06:57.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","投放 / 付费获客证据: https://ecommerce-times.com/metas-advantage-creative-is-rewriting-dtc-ad-economics-in-2026/"
"AppLovin Launches Its Own TikTok Rival","2026-05-28 monitor · Residual IRL watchlist","已覆盖/继续观察","线下真人社交","优先判断是否补 IRL 产品或融资/新闻时间线","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","medium","known","2026-05-28T21:29:13.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","Residual IRL watchlist: https://wersm.com/applovin-launches-its-own-tiktok-rival/"
"Sesame AI Launches iOS App: Next-Gen Chatbot Mimics Human Conversation - Headlinez News","2026-05-28 monitor · Coverage signal watchlist","已覆盖/继续观察","覆盖缺口信号","补 source linkage / candidate deep-dive / funding-news review","用于追踪未闭环 signal-candidate；出现融资、上线、下载、收入或官方证据时再升级。","medium","known","2026-05-28T15:45:40.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","Coverage signal watchlist: https://headlinez.news/sesame-ai-launches-ios-app-next-gen-chatbot-mimics-human-conversation/"
"OpenAI turns on cost-per-action ads inside ChatGPT","2026-05-28 monitor · 投放 / 付费获客证据","已覆盖/继续观察","投放/付费获客证据","补 paid-acquisition evidence audit","用于判断是否存在明确广告投放、素材、获客成本、ROAS 或投放后下载变化；不直接升级产品或融资结论。","medium","known","2026-05-28T14:40:31.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","投放 / 付费获客证据: https://digiday.com/marketing/openai-turns-on-cost-per-action-ads-inside-chatgpt/"
"How Meta’s New Burst Testing Mode Is Cutting DTC Creative Waste 42% – D2C Times","2026-05-27 monitor · 投放 / 付费获客证据","投放平台背景","投放/付费获客证据","补 paid-acquisition evidence audit","用于判断是否存在明确广告投放、素材、获客成本、ROAS 或投放后下载变化；不直接升级产品或融资结论。","medium","new","2026-05-27T00:00:00.000Z","Caden Lane / D2C 广告归因文章是电商品牌投放与 Meta signal stack 的平台背景信号，可用于 paid-acquisition evidence audit 的补证方法论；当前不指向 AI 社交、语言交换或 IRL 产品的投放行为，不能升级为产品级明确买量证据。","投放 / 付费获客证据: https://d2c-times.com/how-metas-new-burst-testing-mode-is-cutting-dtc-creative-waste-42/"
"Teamily AI Officially Enters the Singapore Market, Launching its Personal AI Agent OS -- Redefining Personal AGI Through Self-Improving AI+Human Social Network","2026-05-26 monitor · Coverage signal watchlist","已覆盖/继续观察","覆盖缺口信号","补 source linkage / candidate deep-dive / funding-news review","用于追踪未闭环 signal-candidate；出现融资、上线、下载、收入或官方证据时再升级。","medium","known","2026-05-26T01:00:00.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","Coverage signal watchlist: https://www.prnewswire.com/apac/news-releases/teamily-ai-officially-enters-the-singapore-market-launching-its-personal-ai-agent-os--redefining-personal-agi-through-self-improving-aihuman-social-network-302781009.html"
"Teamily AI Officially Enters the Singapore Market, Launching its Personal AI Agent OS -- Redefining Personal AGI Through Self-Improving AI+Human Social Network - Siam News Network","2026-05-26 monitor · Coverage signal watchlist","已覆盖/继续观察","覆盖缺口信号","补 source linkage / candidate deep-dive / funding-news review","用于追踪未闭环 signal-candidate；出现融资、上线、下载、收入或官方证据时再升级。","medium","known","2026-05-26T01:00:00.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","Coverage signal watchlist: https://www.siamnewsnetwork.net/pr-news/teamily-ai-officially-enters-the-singapore-market-launching-its-personal-ai-agent-os-redefining-personal-agi-through-self-improving-aihuman-social-network/"
"How Caden Lane Rebuilt Its Meta Signal Stack to Scale Past $30M – D2C Times","2026-05-26 monitor · 投放 / 付费获客证据","已覆盖/继续观察","投放/付费获客证据","补 paid-acquisition evidence audit","用于判断是否存在明确广告投放、素材、获客成本、ROAS 或投放后下载变化；不直接升级产品或融资结论。","medium","known","2026-05-26T00:00:00.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","投放 / 付费获客证据: https://d2c-times.com/how-caden-lane-rebuilt-its-meta-signal-stack-to-scale-past-30m/"
"How Obvi Is Rebuilding Its Entire Meta Ad Stack Around Incremental Lift – D2C Times","2026-05-25 monitor · 投放 / 付费获客证据","已覆盖/继续观察","线下真人社交","优先判断是否补 IRL 产品或融资/新闻时间线","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","medium","known","2026-05-25T00:00:00.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","投放 / 付费获客证据: https://d2c-times.com/how-obvi-is-rebuilding-its-entire-meta-ad-stack-around-incremental-lift/"
"How Chomps Rebuilt Its Google-to-Meta Funnel to Hit 5.1x ROAS – D2C Times","2026-05-25 monitor · 投放 / 付费获客证据","已覆盖/继续观察","研究/政策风险","补 research risk，不进产品主表","用于修正 AI companion 安全、青少年和依赖风险判断。","medium","known","2026-05-25T00:00:00.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","投放 / 付费获客证据: https://d2c-times.com/how-chomps-rebuilt-its-google-to-meta-funnel-to-hit-5-1x-roas/"
"AppLovin launches Gist, a social app that could change everything","2026-05-23 monitor · Residual IRL watchlist","已覆盖/继续观察","线下真人社交","优先判断是否补 IRL 产品或融资/新闻时间线","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","medium","known","2026-05-23T20:27:29.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","Residual IRL watchlist: https://ppc.land/applovin-launches-gist-a-social-app-that-could-change-everything/"
"K-culture boom fuels global rise of AI Korean-learning app | AJU PRESS","2026-05-22 monitor · 语言交换 / 跨文化社交","已覆盖/继续观察","融资/商业化","补 funding timeline 或 funding-news review","核对日期、金额、轮次和证据源后再升级进近两年融资/新闻统计。","medium","known","2026-05-22T02:33:16.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","语言交换 / 跨文化社交: https://www.ajupress.com/view/20260522112052250"
